Year,RCP26,RCP45,RCP60,RCP85
1981,6.7,8,6.8,7
1982,1.8,-10,0.4,-4.1
1983,-30.4,-31.6,-34.6,-31.2
1984,-25.1,-23.7,-26.8,-15
1985,-3.4,3.6,-5.5,1.5
1986,-22.5,-23,-24.2,-24.2
1987,-9.8,-13.5,-16.6,-10.7
1988,-1.2,0.3,-2.6,-2.4
1989,8.8,3.9,17.4,-3.9
1990,1.7,-2.4,0.8,-5.2
1991,3.5,5.9,1.7,5.1
1992,-22.3,-27.7,-23.2,-27.7
1993,-19.4,-9.8,-18.5,-12.6
1994,-9,-5.2,-11.5,-5.2
1995,-16.7,-12.2,-17.1,-9.4
1996,4.6,4.9,3.3,8.1
1997,-1.8,4.3,6.6,10.8
1998,6.5,7.8,4.3,5.3
1999,5.2,2.1,5.6,3.2
2000,0.5,0.8,9.2,4.9
2001,-1.2,-0.9,10.6,7.5
2002,18,9,13.9,9.7
2003,20.1,24.3,17.6,22.6
2004,15.4,18.5,2.8,11.5
2005,19.5,12.6,18.9,11.7
2006,15.1,0.7,29.1,11.2
2007,11.9,8.3,25.8,27.3
2008,23.6,30.6,-6.1,17.6
2009,38.6,28,31,23.1
2010,20.1,26.1,18.2,26
2011,25.8,30.3,32.3,27.9
2012,25.7,32.5,56.9,38.6
2013,40.3,28,16.2,28.6
2014,39.7,33.5,28.8,42
2015,49.2,44.3,37.5,43.1
2016,53.7,42.4,31.5,42.4
2017,49.6,27.5,38.8,49.4
2018,38.2,33.8,39.1,45.3
2019,28.7,48.9,40.8,37.2
2020,31.1,27.1,51.4,37.1
2021,61.2,42.6,35.6,33.4
2022,45.2,48.6,50.3,56.1
2023,47.3,33.5,39.8,60.4
2024,62.7,48.4,40.3,68.6
2025,53.3,50.5,59.4,65.7
2026,45.2,67.8,81.8,52.9
2027,67.5,65.6,43.4,56.4
2028,74.7,58.7,46.4,59.6
2029,46.5,74,47.8,62.3
2030,57.5,53.4,52.3,81.8
2031,78.4,52.6,74.4,79
2032,68.4,85,69,81.4
2033,70.5,95.3,50.6,99.8
2034,87.9,69.7,49.5,79.5
2035,71.9,97.6,56.9,93.6
2036,56,76.6,58.4,101
2037,79.4,67.6,58.9,95.1
2038,84.6,97.6,74.4,131
2039,66.5,63,88.1,93.5
2040,68.9,74.3,68.6,106.9
2041,97.4,98,52,118.8
2042,93.4,110.8,79.5,104.4
2043,67.5,102.7,78.8,95.3
2044,49.2,94.7,78.6,104.4
2045,54.7,95.6,80.4,89.5
2046,59.4,110,78,133.2
2047,55.4,89.6,77.6,137.4
2048,81.6,118.5,67.3,124.4
2049,80.8,91.9,51.6,140.9
2050,77.5,97.8,75.8,136.8
2051,72.9,115.5,93.1,165.5
2052,79.9,116.6,107.1,128.6
2053,93.6,140,88.6,178.7
2054,74.4,91.8,89.4,172.5
2055,84.8,105.6,92,164.4
2056,65.3,93.8,109.5,164.9
2057,59.8,136,106.5,187.6
2058,76,116,118.9,191
2059,62.5,140.1,111.4,186.8
2060,87.3,134.5,93,189.8
2061,85.7,165.3,119.4,219.9
2062,85.9,131,135.5,223.1
2063,47.7,147.3,134.9,209.2
2064,98.8,124.7,146.1,223.2
2065,82,128.1,144.8,240.7
2066,83.5,149,148.8,246.7
2067,57.8,133.3,95.1,246.5
2068,84.8,141.3,132.3,235.8
2069,79.1,169,132,213.8
2070,79.8,151,114.6,214.8
2071,88.3,139.3,150.5,252.2
2072,80.9,137.4,141,276.5
2073,99.1,152.2,183.1,258.5
2074,74.9,118.2,182.6,277.9
2075,84.2,152.7,148,338.5
2076,83.4,137.1,156.8,282.4
2077,82.1,136.4,140,292
2078,65.2,164.8,181.5,310.3
2079,81.7,168.6,181.3,331
2080,61.7,187.5,181.8,335.5
2081,74,162.4,168.5,331.4
2082,78.9,204,124.4,298.6
2083,73.1,186.1,180.6,351.3
2084,80.8,156.9,196.8,302.9
2085,68.6,158.8,219.2,344.6
2086,82.5,134.8,197.6,357.2
2087,83.2,153,202.3,351.4
2088,73.6,133.9,199.6,360.5
2089,59,164.7,253.8,400.9
2090,62.8,151.2,200.1,426.7
2091,82,158.4,211.1,406.3
2092,72.5,188,228.5,434.7
2093,57.2,153.1,188.1,405.1
2094,55.6,170.5,246.3,409
2095,92.7,167.9,239.2,430.2
2096,73.7,168.7,220.8,424.2
2097,55.9,185.2,235.7,461.3
2098,93.6,146.2,203,444.9
2099,67.1,177.3,281.3,406.5
