Year,RCP26,RCP45,RCP60,RCP85
1981,-1.8,-1.2,-1.5,0.9
1982,6.5,4.7,8.2,4.9
1983,11.9,10.2,17.5,10.3
1984,7.4,7.7,7.6,7.9
1985,2,2.4,3.2,3.2
1986,12.6,10.6,11.1,11.3
1987,3.3,3.1,1.6,3.4
1988,4.6,4.2,6.5,4.3
1989,4.9,5.3,-0.4,5
1990,-2.7,-2.7,3.9,-2.3
1991,-1.7,-1.9,-2.5,-1.6
1992,9.8,9.5,10.4,9.3
1993,4.2,4,1.6,4.3
1994,2.4,-1.1,2.7,-1
1995,0.8,-0.2,6.9,0.1
1996,-1,-1.3,0.4,-1
1997,-4.2,-0.6,-5,-3.1
1998,-1.9,-2,-0.8,-1.9
1999,-1.5,-0.5,-2.5,-0.5
2000,-7.1,-6.2,-5.3,-6.4
2001,-2.5,-1,-2.6,-0.8
2002,-5.2,-5.9,-4.5,-5.3
2003,-7.2,-5.5,-10.2,-5
2004,-4.1,-4,-7.9,-4
2005,-4.5,-3.8,-3.7,-4
2006,-0.5,-3.5,0.3,-2
2007,-1.6,-2.8,-1.1,-2.8
2008,-2.6,-2.4,2.1,-4.1
2009,-7.8,-1.1,-0.6,-1.3
2010,-4.6,-4.3,-8.1,-2.4
2011,-2.7,-7.6,-7.5,-2.1
2012,-6.5,-5.1,-4.1,-4.8
2013,-7.8,-2.8,-5.5,-8.3
2014,-6.7,-4.5,-6.6,-6.5
2015,-11,-5.6,-2.8,-7.5
2016,-9.2,-7.5,-7,-7.4
2017,-7.5,-3.9,-0.4,-9.7
2018,-7.4,-4.5,-8.1,-4.5
2019,-9.1,-7.7,-8.9,-6.8
2020,-7.7,-0.9,-2.2,-9
2021,-11.7,-7,-12.6,-4.4
2022,-8,-7.7,-8.8,-10.9
2023,-11.7,-9.4,-10.4,-12.4
2024,-11.3,-11.9,-3.3,-10.9
2025,-9.8,-9.8,-6.9,-9.4
2026,-9,-10.5,-11.7,-5.7
2027,-9.1,-14.3,-7.4,-11.5
2028,-12.3,-10.7,-8.1,-9.9
2029,-8,-9.8,-7.3,-13.1
2030,-9.8,-7.2,-10.5,-14.5
2031,-10.4,-12.4,-6.1,-9.6
2032,-9.3,-9.1,-6.2,-13.2
2033,-10.6,-16.4,-10.6,-12.5
2034,-12.8,-16.1,-13,-13
2035,-11.2,-14.7,-11.7,-14.3
2036,-12.7,-14.2,-10.8,-14.7
2037,-11.2,-12.9,-7.3,-12.5
2038,-10.9,-16.3,-13.6,-16.3
2039,-13.2,-12.8,-12.1,-17.2
2040,-10.6,-13.2,-11.2,-15.6
2041,-13.3,-16.2,-7.8,-15.7
2042,-12.8,-15.6,-9.6,-17.6
2043,-12.5,-18.1,-13.9,-18.5
2044,-7.4,-15.9,-17,-17.8
2045,-13.5,-17.7,-13.4,-18.7
2046,-13.2,-16.2,-11,-18.6
2047,-11.8,-19.2,-11.8,-17.2
2048,-13,-16.2,-14.2,-19
2049,-11.9,-17.1,-11.1,-20.8
2050,-15.6,-17.9,-12.4,-22.1
2051,-18.5,-18.6,-19,-22.2
2052,-12.7,-18.7,-14.9,-19.4
2053,-17.1,-18,-15.4,-24
2054,-13.5,-17.8,-18.1,-22
2055,-13.4,-19.7,-18.7,-21.6
2056,-14.8,-18.5,-16.5,-23
2057,-13.2,-17.2,-12.5,-22.3
2058,-14.2,-18.9,-9.7,-25.1
2059,-13.3,-18.8,-17.6,-22.9
2060,-16.7,-20.4,-17.6,-24
2061,-15,-20.5,-16.8,-22.7
2062,-15.6,-21.9,-20,-24.8
2063,-9.1,-19.3,-19.8,-25.1
2064,-14.1,-21.1,-18.3,-26
2065,-10.9,-17.7,-18.4,-26.2
2066,-13,-21.8,-19.8,-24.5
2067,-14.3,-23.5,-19.7,-25.2
2068,-16.4,-20.4,-15.9,-26.1
2069,-15.5,-22.7,-21.8,-27.1
2070,-12,-21.8,-16.5,-26.2
2071,-10.9,-21.6,-20.5,-27.4
2072,-14.5,-22.5,-18.5,-27.4
2073,-13.6,-21.9,-23.4,-28
2074,-9.1,-20.5,-23.1,-27.2
2075,-14.1,-21.4,-22.1,-27.3
2076,-16.4,-21.4,-20.6,-28.1
2077,-7.4,-22.1,-20,-28.1
2078,-8.1,-22.2,-23.4,-28.4
2079,-15.2,-22.3,-23.9,-28.2
2080,-15.2,-23.6,-24.5,-28.8
2081,-12.1,-23.3,-23.1,-28.5
2082,-13.9,-24.5,-22.8,-28.2
2083,-12.8,-22.2,-23,-29.1
2084,-10.6,-23.2,-22.7,-28.8
2085,-12.3,-22.2,-23.1,-29.7
2086,-11.6,-23,-24,-28.8
2087,-12.2,-23.8,-23.5,-28.7
2088,-15.8,-24,-24.8,-29.3
2089,-14.1,-22.9,-26,-28.4
2090,-15.1,-22.8,-26.5,-29.7
2091,-11.9,-23.9,-25,-29.2
2092,-13.2,-24.7,-23.4,-30.1
2093,-9.2,-23.2,-24.2,-29.9
2094,-8.4,-20.6,-23.2,-30
2095,-12.9,-23.6,-26.1,-29
2096,-12.3,-22.9,-26.1,-29.6
2097,-11.7,-23.7,-26,-30.7
2098,-13.2,-23.4,-25.2,-30.6
2099,-11.3,-24.1,-26.7,-30.4
