Year,RCP26,RCP45,RCP60,RCP85
1981,-3,-1.6,-2.9,-0.1
1982,6.9,6.7,9.7,6.7
1983,16.4,13.5,18.5,12.2
1984,11.1,11.7,9.1,11
1985,3.6,5.5,5.4,6
1986,13.7,12.1,14.9,12.9
1987,4.3,4.2,0.5,4.3
1988,6.7,5.3,4.9,5
1989,4.2,5.6,1.2,4.6
1990,-1.4,-1.6,5,-1.3
1991,0.3,0.7,-0.8,0.6
1992,6.5,7.7,9.3,7
1993,4.4,3.6,6.6,4.1
1994,2.2,0.3,2.8,0.4
1995,0.3,-0.2,4.9,0.1
1996,-0.7,-0.8,0.5,-0.8
1997,-2.5,-1.2,-3.6,-2.6
1998,-2.8,-2.4,-3.5,-2.3
1999,-3.8,-3.9,-4.8,-3.6
2000,-5.6,-6.1,-2.4,-6.1
2001,-2.4,-0.2,-2.6,-0.3
2002,-3.8,-6.4,-4.4,-6.1
2003,-8.9,-6.9,-12,-6.5
2004,-3.9,-3.6,-8.2,-4
2005,-6.2,-5.4,-7.4,-5.7
2006,-1.7,-4.7,-4.7,-2.9
2007,-1.8,-4.8,-5.9,-3.2
2008,-5.5,-3.7,-1.3,-5.6
2009,-5.5,-2.1,-1,-1.5
2010,-6.7,-4,-8,-4.3
2011,-3.8,-8.3,-5.9,-3.9
2012,-8.1,-4.4,-5.9,-5.8
2013,-10,-2.8,-7.9,-9.4
2014,-10,-6.8,-9.2,-9
2015,-10,-3.8,-5.6,-7.8
2016,-10.4,-9.7,-8.3,-8.6
2017,-7.6,-7.2,-2.3,-11.9
2018,-11.9,-8.2,-11.5,-7.5
2019,-11.4,-6.8,-8.7,-8.7
2020,-12.8,-4.3,-5.4,-11.5
2021,-11.7,-8.7,-13.3,-5.9
2022,-14,-10.9,-12.4,-11.1
2023,-11.6,-9.9,-11.5,-14
2024,-10.1,-12.5,-6.7,-11.5
2025,-12.3,-11.2,-10.5,-11.4
2026,-9.7,-13.3,-15.4,-6.8
2027,-11.3,-14,-12.2,-13.7
2028,-14.5,-13.4,-13.4,-11.1
2029,-11,-12.2,-12.4,-14.3
2030,-11.6,-8.2,-12.3,-16
2031,-11.1,-13.2,-6.8,-10.6
2032,-12.2,-11.9,-12.4,-15.4
2033,-12.4,-17.9,-12.2,-15.7
2034,-12.2,-15.9,-14.1,-17.4
2035,-14.3,-17,-14.7,-15
2036,-14.3,-15.5,-14.9,-17.3
2037,-12.2,-14.5,-12.8,-15.9
2038,-13.8,-19.6,-16,-19.6
2039,-18.1,-15.5,-17.5,-19.6
2040,-13.6,-16,-15.8,-18.6
2041,-15.5,-17.9,-12.3,-18.5
2042,-15.5,-18.2,-17.8,-19.6
2043,-14.3,-18.4,-18,-21
2044,-10.9,-18.8,-19.4,-20.6
2045,-16,-19.4,-21.5,-20.7
2046,-14,-20.3,-18.8,-21.9
2047,-16.5,-19.9,-18,-20.7
2048,-16.3,-18.6,-20.1,-22.1
2049,-16.5,-19.9,-15.8,-23.9
2050,-17.3,-18.7,-17.6,-23.4
2051,-16.9,-20.6,-21.3,-23.7
2052,-13.8,-22.3,-18.4,-23.3
2053,-19.9,-20.3,-21,-24.6
2054,-17.4,-20.7,-21.9,-25
2055,-17,-20.8,-20.7,-23.7
2056,-16,-21.3,-20.2,-26.2
2057,-14.1,-20.1,-18.8,-24.8
2058,-16.3,-20.8,-15.4,-26.8
2059,-15.9,-22,-23.7,-26.5
2060,-14.2,-21.4,-20.2,-26.4
2061,-17.2,-21.5,-19.6,-26
2062,-16.8,-21.8,-22.4,-26
2063,-11.9,-21.4,-21.8,-25.8
2064,-17.3,-21.1,-21.2,-27.8
2065,-12.7,-19.8,-23.9,-28.3
2066,-15.6,-22.5,-23.1,-27.1
2067,-15.7,-24.3,-24.1,-27.2
2068,-18.4,-23.1,-23,-28.1
2069,-16.4,-24.2,-25,-28.9
2070,-13.2,-22.4,-24.8,-27.8
2071,-15.5,-23.2,-22.9,-28.3
2072,-14.4,-23.9,-23.1,-28.8
2073,-13.9,-23.3,-26.1,-29
2074,-15,-22.9,-26,-28.3
2075,-16.3,-23.6,-25.6,-29.2
2076,-18.2,-23.7,-25.8,-29.5
2077,-11.6,-25,-26.2,-30.1
2078,-11.5,-24.5,-26.5,-29.5
2079,-16.1,-24.6,-27.6,-29.6
2080,-15.9,-25.2,-27.6,-30
2081,-12.5,-25.4,-26.6,-29.6
2082,-18.1,-26.5,-27.9,-30
2083,-14.9,-25.8,-27.3,-30.3
2084,-13.6,-24.2,-27.1,-30.1
2085,-14.1,-23.6,-26.8,-30.3
2086,-13.9,-24.7,-28.9,-29.7
2087,-12.6,-24.7,-26.8,-30
2088,-18.1,-25.1,-27.5,-30.1
2089,-15,-25.8,-28.5,-30
2090,-15.1,-25,-28,-30.5
2091,-14.3,-24.4,-28,-30.2
2092,-12.9,-25.3,-28.2,-30.3
2093,-11.3,-25.4,-27.6,-30.4
2094,-11.2,-24.4,-27.8,-30.4
2095,-15.2,-25.4,-28.9,-30.4
2096,-16.6,-25.4,-28.7,-30.5
2097,-14,-25.6,-27.8,-30.6
2098,-16.1,-22.9,-27.3,-30.5
2099,-12.7,-24.3,-29.9,-30.6
