Year,RCP26,RCP45,RCP60,RCP85
1981,0,0,0.1,0
1982,0.2,0.1,0.2,0.1
1983,0,0,0,0
1984,0.2,0.2,0.1,0.1
1985,0.2,0.1,0.1,0.1
1986,0,0,0.2,0
1987,0,0,-0.1,0
1988,0.2,0.1,0,0.1
1989,0,0,0.1,0
1990,0,0,0,0
1991,-0.1,0,-0.1,0
1992,0,0,0,0
1993,-0.1,0,0.1,0
1994,0,0,0.1,0
1995,0,0,0,0
1996,0,0,0.1,0
1997,0.1,0.1,0.1,0
1998,0,0,-0.2,0
1999,0,0,-0.2,-0.1
2000,0,-0.1,0,-0.1
2001,-0.1,-0.1,-0.3,-0.1
2002,0,0,0,0
2003,0,0,-0.2,0
2004,0,0,0.1,0
2005,0,-0.1,-0.1,-0.1
2006,0.1,-0.1,-0.1,0
2007,0,-0.1,-0.1,0
2008,-0.1,0,-0.1,0
2009,-0.1,0,0,0.1
2010,0,0,0,-0.1
2011,-0.1,0,0.1,0
2012,0,0,0,0
2013,-0.2,-0.1,0,0
2014,-0.1,0,-0.3,0.1
2015,0,0,0,0
2016,0,-0.1,-0.1,0
2017,0.1,0,-0.1,-0.1
2018,-0.1,-0.1,-0.1,0
2019,-0.1,0,0,-0.1
2020,-0.1,0,0,-0.1
2021,-0.1,-0.1,-0.2,0
2022,-0.2,0,-0.1,0
2023,-0.1,-0.1,-0.1,-0.1
2024,-0.2,-0.1,-0.2,-0.1
2025,-0.1,0.1,-0.1,-0.1
2026,0,-0.2,-0.1,-0.1
2027,-0.2,-0.1,-0.1,-0.1
2028,-0.1,-0.2,-0.1,-0.1
2029,-0.1,-0.1,-0.3,-0.1
2030,0,-0.1,-0.3,0
2031,-0.1,-0.1,-0.1,-0.2
2032,-0.1,-0.1,-0.1,-0.2
2033,-0.1,-0.1,0,-0.1
2034,0,-0.1,-0.2,-0.1
2035,-0.1,-0.1,-0.1,-0.1
2036,-0.2,-0.2,-0.4,-0.1
2037,-0.1,-0.2,-0.2,-0.2
2038,-0.1,-0.2,-0.2,-0.2
2039,-0.2,-0.2,-0.1,-0.2
2040,-0.2,-0.1,-0.3,-0.2
2041,-0.3,-0.1,-0.2,-0.2
2042,-0.2,-0.1,-0.4,-0.2
2043,-0.2,-0.1,-0.4,-0.2
2044,-0.2,-0.3,-0.2,-0.2
2045,-0.1,-0.1,-0.3,-0.2
2046,-0.1,-0.1,-0.3,-0.2
2047,-0.1,-0.1,-0.5,-0.3
2048,-0.3,-0.1,-0.4,-0.3
2049,-0.3,-0.3,-0.3,-0.2
2050,-0.1,-0.2,-0.3,-0.4
2051,-0.1,-0.2,-0.1,-0.2
2052,-0.3,-0.2,-0.3,-0.3
2053,-0.2,-0.1,-0.4,-0.4
2054,-0.3,-0.2,-0.3,-0.2
2055,-0.2,-0.3,-0.1,-0.3
2056,-0.1,-0.3,-0.4,-0.4
2057,-0.1,-0.2,-0.1,-0.3
2058,-0.2,-0.1,-0.4,-0.4
2059,-0.1,-0.2,-0.3,-0.4
2060,0,-0.1,-0.3,-0.4
2061,-0.2,-0.1,-0.4,-0.3
2062,-0.2,-0.2,-0.3,-0.4
2063,-0.3,-0.1,-0.3,-0.4
2064,-0.2,-0.1,-0.2,-0.3
2065,-0.3,-0.3,-0.5,-0.3
2066,-0.3,-0.3,-0.3,-0.3
2067,-0.2,-0.4,-0.4,-0.3
2068,-0.2,-0.4,-0.2,-0.4
2069,-0.2,-0.2,-0.4,-0.5
2070,-0.3,-0.1,-0.6,-0.5
2071,-0.4,-0.3,-0.3,-0.5
2072,-0.3,-0.2,-0.3,-0.4
2073,-0.2,-0.2,-0.5,-0.3
2074,-0.3,-0.3,-0.4,-0.5
2075,-0.2,-0.3,-0.7,-0.4
2076,-0.1,-0.2,-0.3,-0.5
2077,-0.2,-0.2,-0.7,-0.5
2078,-0.3,-0.3,-0.5,-0.5
2079,-0.3,-0.2,-0.5,-0.6
2080,-0.2,-0.2,-0.3,-0.5
2081,-0.2,-0.3,-0.5,-0.5
2082,-0.2,-0.2,-0.5,-0.6
2083,-0.2,-0.3,-0.3,-0.6
2084,-0.1,-0.3,-0.4,-0.6
2085,-0.3,-0.2,-0.5,-0.4
2086,-0.1,-0.3,-0.4,-0.5
2087,-0.2,-0.3,-0.4,-0.6
2088,-0.2,-0.3,-0.6,-0.5
2089,-0.1,-0.2,-0.4,-0.6
2090,-0.1,-0.4,-0.6,-0.7
2091,-0.2,-0.4,-0.4,-0.6
2092,-0.3,-0.4,-0.5,-0.6
2093,-0.2,-0.3,-0.6,-0.7
2094,-0.3,-0.4,-0.5,-0.6
2095,-0.2,-0.4,-0.7,-0.8
2096,-0.2,-0.1,-0.6,-0.7
2097,-0.3,-0.2,-0.5,-0.7
2098,-0.3,-0.3,-0.5,-0.7
2099,-0.2,-0.2,-0.5,-0.8
