Year,RCP26,RCP45,RCP60,RCP85
1981,0.6,-1.1,3.6,-1.2
1982,2.9,1.9,4.9,0.8
1983,9.2,7.4,10.7,6.5
1984,6.2,6.4,6.7,6
1985,2.4,2.6,1.4,3.7
1986,5.2,4.8,4.6,5.4
1987,5,4,0.5,4.6
1988,4.9,3.9,3.1,2.9
1989,4.3,3.5,4.2,3.4
1990,-0,-0.2,0.7,-0.4
1991,-1.9,-1.5,-1.5,-1.7
1992,5.4,7.6,4.7,6
1993,3.1,3.1,4.2,3
1994,0.6,0.1,1.4,0.2
1995,-0.6,-2,0.8,-1.5
1996,-3.5,-2.7,-2.9,-1
1997,0.4,0.9,-1.3,0.6
1998,-2.1,-0.7,-0.1,-1
1999,-1.8,-2.7,-1.6,-2.8
2000,-2.3,-3.2,0.4,-3.5
2001,-1.8,-0.9,-3.2,-0.3
2002,-5,-5.9,0,-5.8
2003,-4.2,-3.3,-4.1,-3.7
2004,-2.5,-1.6,-7.7,-1.8
2005,-2.9,-3.1,-2.5,-3.3
2006,-1,-5.1,-4.2,-1
2007,-4.3,-5.7,-2.6,-5.9
2008,-5.8,-2.7,-3.3,-8.4
2009,-6.6,-5.1,-4.2,-2.7
2010,-6.2,-5,-8.5,-4.2
2011,-8.5,-7.4,-1.9,-5.8
2012,-6,-6.5,-8.9,-9.4
2013,-13.7,-5.5,-8.6,-5
2014,-6.3,-8.1,-8.8,-12.5
2015,-10.6,-6.3,-6.1,-7.5
2016,-10.8,-10.1,-7.6,-9
2017,-10.1,-9.9,-4.1,-11.7
2018,-11.2,-9.5,-7.8,-8.8
2019,-12.2,-11.1,-9.2,-6.5
2020,-12.5,-3.4,-5.4,-9.1
2021,-13.7,-10,-14.1,-8.2
2022,-11.5,-8.8,-11,-10.7
2023,-13.1,-11.1,-3.8,-14.8
2024,-15,-12.7,-4.7,-11.6
2025,-11.4,-16.3,-16.4,-11.2
2026,-8.6,-13,-11.2,-8.5
2027,-8.4,-15,-15.3,-12.7
2028,-12.5,-9.1,-8.6,-11.1
2029,-11.7,-10.4,-12.5,-14.9
2030,-13.5,-7.9,-14,-19.3
2031,-12.7,-13.4,-12.8,-12.7
2032,-13.3,-15.3,-8.5,-16.4
2033,-7.8,-19.3,-11.4,-18
2034,-15.7,-18.6,-16.5,-18.6
2035,-13,-15.4,-11.7,-15.2
2036,-17.1,-17.8,-10.2,-17
2037,-17.2,-15.6,-12.5,-18.4
2038,-14.9,-18,-15.1,-20.5
2039,-17.4,-14.7,-20,-21
2040,-13.3,-14.2,-19.1,-18.8
2041,-20.5,-20.8,-8.9,-19.4
2042,-15.3,-18.3,-12.1,-20.8
2043,-16.4,-20.4,-16.5,-20.3
2044,-12.8,-16.2,-11.9,-24.2
2045,-18.6,-20.8,-19.2,-20.4
2046,-18.7,-23.6,-19,-20.9
2047,-16.5,-18.8,-16.6,-21.6
2048,-21.6,-22.5,-17.6,-26
2049,-15.4,-17.2,-20.3,-25.4
2050,-18.8,-16.5,-16.8,-25
2051,-18,-22.1,-21.1,-23.7
2052,-14.7,-20.8,-18.6,-29
2053,-15.4,-17.1,-16,-26.5
2054,-22,-23.3,-18.9,-31.5
2055,-17.1,-23.1,-22.5,-29.1
2056,-16.4,-24.2,-22.4,-30.9
2057,-15,-21,-22.1,-25.7
2058,-16.7,-21.9,-19.8,-33.7
2059,-20.3,-21.8,-16.9,-29.7
2060,-15.1,-20.5,-18,-28.9
2061,-14.8,-24.8,-18.8,-29.5
2062,-16.5,-22.6,-22.8,-31.5
2063,-14.5,-22,-22.3,-36.6
2064,-18.2,-24.4,-18.2,-34.3
2065,-15.3,-21.3,-26.9,-33.7
2066,-17.5,-25.7,-25.5,-37.1
2067,-16.8,-28.6,-29.9,-33.9
2068,-22.8,-23.7,-23.7,-37.7
2069,-15.6,-25.9,-31.6,-40
2070,-12.1,-22.6,-26.1,-36.5
2071,-15.7,-27.7,-20.9,-42.3
2072,-20.8,-26.9,-21.8,-38.9
2073,-18.6,-30.1,-29.6,-41.9
2074,-16.3,-26.2,-27.3,-43.7
2075,-14.1,-28.1,-26.7,-41.4
2076,-17.8,-27.4,-28.1,-44.9
2077,-12.4,-29.3,-25.6,-43
2078,-14.4,-27.5,-30.5,-45.6
2079,-20.4,-30.1,-31,-47.8
2080,-16.8,-32.1,-32.3,-46
2081,-14.2,-32.2,-29.3,-46.7
2082,-17.7,-31.3,-28,-46.9
2083,-19.3,-28.3,-29,-50.3
2084,-17.3,-28.9,-36.3,-45.2
2085,-15,-27.2,-26.6,-50.2
2086,-17.5,-28.1,-30.9,-43.7
2087,-16.5,-24.1,-31.8,-53.6
2088,-19.2,-28.5,-33.8,-49.7
2089,-16.5,-32.1,-30.8,-49.1
2090,-13.1,-27.5,-31.2,-52.1
2091,-13.1,-27.8,-42.7,-53.3
2092,-11,-31,-32.2,-52.8
2093,-12.6,-25.8,-25.7,-56.7
2094,-13.9,-27.9,-31.7,-56.6
2095,-13.3,-34.2,-41.1,-54
2096,-12.8,-30.3,-31.7,-55
2097,-13.8,-30.6,-36.5,-60.8
2098,-21.3,-29.9,-34.9,-56.7
2099,-13.5,-30.1,-40.1,-55.4
