Year,RCP26,RCP45,RCP60,RCP85
1981,2,1.7,0.8,1.9
1982,-2.9,-3.5,-3.2,-3.3
1983,-7.3,-9.2,-8.4,-5.5
1984,-1.2,-4,-2.9,-1
1985,-2.5,-5.1,-2.8,-5.7
1986,-3.7,-5.7,-1.6,-7.3
1987,-3.5,-3.3,-1.8,-3.6
1988,-2,-3.7,-2.3,-2.2
1989,-5.6,-2.9,-5.8,-5.5
1990,0.1,-0.9,-1.4,-1.6
1991,-0.1,-0.7,-0.6,-0.6
1992,-4.9,-6.3,-3.6,-5.3
1993,-0.1,-0.9,-0.4,-0.6
1994,1.2,2.1,-1.6,1.8
1995,-4.2,-0.3,0.5,-0
1996,3.7,2.3,3.4,2.1
1997,1,-0.3,6.5,2.5
1998,4.5,3.3,3.9,4.2
1999,-1.1,1.9,-2.6,1
2000,-0.5,0.2,-1.2,0.9
2001,2.2,1.2,0.9,1.6
2002,3,4.7,-1.3,4.9
2003,5.3,5.8,4.5,4.6
2004,6,3.7,5.6,4
2005,-1.2,-0.7,-1.8,-0.7
2006,2.7,0.7,2.2,3.3
2007,5.5,7,1.2,5.6
2008,5.5,2.2,2.3,7.9
2009,4.5,-0.7,4.2,1.7
2010,4.4,4.7,6.3,1.7
2011,4,0.3,0.6,4.5
2012,3.3,2.9,10.8,7.8
2013,5.8,1.7,9,2.1
2014,-0.6,4.3,4.4,13
2015,10,7.9,1.2,5.2
2016,10.2,8.8,7.5,7.2
2017,12.5,10.5,2.3,12.3
2018,4.1,5.7,8.6,5.3
2019,11.8,10.7,7.5,6.5
2020,15.1,2.3,1.6,4.5
2021,14.4,7.3,12.1,5.5
2022,13.9,5.3,13.2,8.7
2023,13.1,9.4,4.7,8.6
2024,15.4,9.6,5.9,7.4
2025,5.2,13.5,12.7,9.1
2026,10.1,10.1,9.4,7.4
2027,10.9,10.7,14.9,8.3
2028,7.8,3.3,13,11
2029,14.2,7.9,10.9,10.7
2030,7,8.1,8.1,13.8
2031,10.6,8.3,7.8,8.3
2032,7.9,10.3,4.8,14.7
2033,4.2,17.6,14.9,15.1
2034,10.6,19.8,11.1,15.1
2035,8.4,9.1,14.5,15.5
2036,13.3,14.4,9,13.2
2037,13.4,10.3,14.1,13.6
2038,13.5,15.4,14.2,21
2039,11.4,10.4,17.5,15.3
2040,11.7,10.6,16.9,13.5
2041,18.2,16.1,8.9,17.5
2042,12.2,15.3,8.1,15
2043,13.1,20.2,12.8,17.1
2044,12.9,13.1,8.6,16.8
2045,17.9,18,19.2,16.5
2046,17.4,21.6,18.8,18.9
2047,11.5,18,13.4,16.5
2048,16.7,15.3,15.4,19.7
2049,16.5,13.8,12.9,17.2
2050,19.4,11.1,13.6,17.4
2051,12.7,15.1,19.5,20.8
2052,10.2,15.9,20.4,19.8
2053,11.1,15.6,13.6,24
2054,13.8,15.4,13.9,28.2
2055,19.4,21.1,17.6,26.2
2056,11.4,21.7,24.5,28.4
2057,7.6,20.1,21,19.2
2058,17.6,19.5,15.7,31.1
2059,14.3,19.8,16.4,22.5
2060,16.6,18.3,16.9,27.2
2061,13.6,21,21.5,26.2
2062,12.9,22.3,27.8,26.7
2063,12.8,20.9,19.5,27.8
2064,18.1,20.1,20,30.7
2065,14.4,17.7,23.8,29.3
2066,14.1,22,23.2,33
2067,16.7,26.5,25.8,32.6
2068,16.1,21.3,28,27.4
2069,13,21,28,33.6
2070,13.4,17.8,22.4,32.8
2071,15.5,24.8,20.2,33.2
2072,11.6,24.3,23.5,33
2073,17.2,25.6,30.8,32.3
2074,14.1,24,23.8,35.7
2075,14.9,26.6,24.7,35.4
2076,16.7,26.2,29.7,38.4
2077,12.1,23,22.5,37.2
2078,12.7,24.6,25.4,42.3
2079,17.8,23.4,26.8,41
2080,17.2,26.2,28.6,37
2081,8.3,27.5,21.7,41.2
2082,15.5,27.4,24,40.9
2083,14.7,27.7,27.9,40.6
2084,21.1,18.8,31.2,44.4
2085,12.3,19.7,25.8,45.3
2086,13.4,24.6,31.5,39.4
2087,16.2,20.8,26.4,50.1
2088,21.5,20.5,33.1,47
2089,18.4,26.8,31.6,41.3
2090,12.1,19.9,33.7,46
2091,11,19.8,34,49
2092,12.3,32.2,25.9,46.5
2093,12.1,23.2,25.2,47.4
2094,14.3,18.6,30.6,51.8
2095,9.1,28,37.6,46.1
2096,11.2,22.1,33.4,51.2
2097,12.2,28.4,27.9,53.1
2098,15.7,28.9,28.2,51.3
2099,11.8,28.1,32.8,49.5
