Year,RCP26,RCP45,RCP60,RCP85
1981,-0.5,-0.2,-0.1,-0.5
1982,-2.8,-1.8,-1.7,-1.2
1983,-1.6,-3.8,0.3,-1.5
1984,-1.5,-0.8,-0.1,-0.1
1985,1,-0.9,-1.5,-1.4
1986,-2.4,0.5,-0.9,-0.8
1987,-3.5,-2.8,-3,-3.2
1988,-2.9,-4.6,-3.2,-3.7
1989,-4,-1.1,-4.3,-3.5
1990,-2.2,-1.6,-2.6,-1.6
1991,0.3,-0.5,1,-0.2
1992,-1.1,-2.8,1.6,-1.1
1993,3.2,-1.1,3.4,-0.6
1994,-0.1,0.8,-0.4,0.3
1995,-1,-0.4,-0.6,-0.7
1996,0.8,1.4,1,-0.8
1997,1.3,0.1,3,0.6
1998,0.2,0.1,-2.9,0.5
1999,1.1,2.2,-0.6,1.9
2000,2.4,1.8,1.6,2.8
2001,4.2,-1,4.6,-0.4
2002,1.2,3.5,0.4,3.8
2003,2,3,1.1,2.9
2004,1.3,1.4,0.9,1.7
2005,0.1,1.6,-0,1.6
2006,-0.4,3.1,2.4,3.3
2007,-1.4,3.2,0.5,2.7
2008,1.6,1.1,0.6,4.5
2009,3.6,-1.9,0.7,0.7
2010,0.4,4.6,2.8,2.4
2011,1.5,-0.1,4,1.3
2012,2.5,-0.8,2.3,5
2013,-1.9,0.1,3.9,0.5
2014,1.1,1,1.2,7.4
2015,5.1,4,-2.8,2.5
2016,6.1,3.8,7.3,5.4
2017,6.4,2.7,2.2,2.1
2018,4.2,3.7,4.9,3.6
2019,5,8,3.1,3.2
2020,6.3,3.2,0.3,1.8
2021,6,4,5.1,4.8
2022,6.3,2.6,4.4,6.4
2023,8.7,3.8,3.9,6.3
2024,5.5,5.7,0.7,4.4
2025,3.7,6,7.8,5.3
2026,4.5,4.7,4.2,3.7
2027,2.3,6.1,5.3,3.8
2028,3.5,1.8,8.1,6
2029,5,4.8,3.1,4.3
2030,6.1,4.6,3.1,6.3
2031,4.9,5.6,3.7,7.1
2032,5.5,3.6,3.3,10.9
2033,-1.5,7.3,9.8,5.9
2034,7.8,7.6,5.9,6.7
2035,2.7,5.7,6.8,9.6
2036,6.2,7.6,8.6,7.3
2037,6.8,7.6,4.1,8.1
2038,7.3,7.2,6.7,7.5
2039,4.8,4.5,3,7.9
2040,2.6,6.6,6.2,6
2041,9.1,6.2,0.3,8.2
2042,4.2,8.3,9.3,7.2
2043,9.7,10.1,5.5,8.7
2044,7,7.5,2.2,6.1
2045,8.6,8.6,10.9,10.7
2046,5.8,8.7,4.6,9
2047,4.2,6.9,5,8.1
2048,7.4,8.3,6.1,13
2049,6.2,7.7,6.3,9.6
2050,9.1,5.8,7.4,9.3
2051,11.2,9.8,8.4,10.3
2052,4.8,9.4,11.7,12.1
2053,4.3,6.8,7.3,9.5
2054,4,9.3,6.6,12.7
2055,13.6,7.3,9.4,14.9
2056,7.3,9.6,13.6,11.6
2057,4.3,10,11,13.8
2058,7.9,11.1,9.9,16
2059,8.9,12.2,9.4,14.8
2060,9.8,9.9,10.1,15.7
2061,7.9,12.7,8.7,14.8
2062,7.2,9.6,14.2,16.3
2063,5.9,13,9.8,18.9
2064,8.6,12,12.1,18
2065,11,10.8,9.9,17
2066,6.8,11.8,11.5,18.1
2067,9.3,12.4,13,18.6
2068,8.2,10.8,12.1,14.7
2069,8.1,8.3,10.6,20
2070,5.3,13.8,9.9,20.1
2071,8.6,14.6,10.9,19.3
2072,5.7,12.7,10.8,19.9
2073,10,13.1,15.5,17.4
2074,7.8,12,11.8,18.5
2075,9.5,10.7,13.3,19.1
2076,12.2,13.4,7.1,22.8
2077,8,12.4,8,19.7
2078,7,14.1,9.5,18.8
2079,9.3,11.7,13.4,18.6
2080,10.6,11.7,16.1,21
2081,5.1,13.7,13.3,22.7
2082,5.5,12.7,13.8,21.1
2083,5.2,13.6,15.7,21.1
2084,11.9,11.2,16.4,22.8
2085,4.6,11.7,16.5,21.8
2086,6,10,16.7,20.9
2087,8.5,10.4,18,23.1
2088,10.4,10.3,18.8,23.3
2089,3.5,12.5,12.9,19.1
2090,5.6,10.5,15.9,24.4
2091,8.3,11.2,15.9,23.8
2092,4.8,14,15,21.2
2093,7.6,13.3,15,25.4
2094,7,10.3,21.7,23.8
2095,7.7,15.8,21.2,26.6
2096,7.1,12.1,16.8,27.4
2097,8.7,13.9,15.4,25.8
2098,5.3,12.4,14.7,28.1
2099,7.2,12.6,13.7,27.9
