Year,RCP26,RCP45,RCP60,RCP85
1981,-1.9,-1.6,-1.1,-2.3
1982,-0.3,0.1,0.7,-0.1
1983,5.9,5.8,6.1,4.3
1984,3.9,3.8,5.4,1.8
1985,2.8,3.8,1,5.3
1986,3.2,3.9,1.4,5.9
1987,-0.1,0,-3.6,0.8
1988,-2.2,-0.3,-1.8,-1.1
1989,-0.3,0.7,-0.4,0.5
1990,-0.1,0.2,1.2,-1.3
1991,-0.4,-2.8,-0.4,-0.9
1992,4,3.4,2.4,3.4
1993,0.1,0.1,-0.4,-0.1
1994,1.5,-0.8,2.2,-1.4
1995,0.6,-0.2,0.6,0.4
1996,-2.4,-1,-2.6,-1.4
1997,-0.4,-0.2,-0.4,-1.2
1998,-2.7,-2.7,-2.7,-3.2
1999,0.7,0.6,0.2,1.9
2000,2.7,1,2.7,-0
2001,-0.7,-0.2,-0.8,-0.4
2002,-3.3,-1.1,3.2,-1
2003,-3.1,-2.9,0.3,-0.8
2004,-1.5,-1.2,-5.7,-2.2
2005,4.8,2.7,5,2.3
2006,-5.1,-0.2,-1.7,-0
2007,-5.5,-3.9,-2.6,-3
2008,-4.3,-0.8,1.5,-5.6
2009,-1.5,-0.6,-3.4,-2.5
2010,-0.5,-1.7,-6.6,-3.4
2011,-4,-0.9,0.8,-3
2012,-1,-1.4,-5.1,-4.1
2013,-1.4,-3.1,-4.4,-1.8
2014,-3.8,-0.2,-4.2,-7.4
2015,-4.9,-2.7,-5.4,-4.7
2016,-6.9,-6.3,-1.9,-3.4
2017,-1.9,-8.1,0.7,-7.4
2018,-2.8,-1.9,-1.9,-3.2
2019,-3.5,-6.1,-5,-1.5
2020,-8.8,-0.7,0.9,-3.6
2021,-7.9,0.5,-7.8,-2.8
2022,-8.8,-1.5,-6.6,-4.1
2023,-7.1,-6.2,-2.7,-2.8
2024,-6,-6.9,-4.7,-3.1
2025,-4.5,-4.7,-10.4,-2.6
2026,-1.7,-3.7,-8.1,-5.2
2027,-5.1,-5.9,-10.3,-4.9
2028,-5.8,-4.4,-3.8,-6.1
2029,-4.8,-1.8,-5.9,-8.7
2030,-4.7,-5.4,-5.1,-7.5
2031,-4,-5.2,-4.1,-1.8
2032,-4.4,-4.8,-5.1,-5.5
2033,-3.3,-9,-7.3,-8.6
2034,-1.9,-7.6,-6.8,-9.3
2035,-6,-4.6,-6.1,-5.8
2036,-6.2,-6.4,-5,-8.1
2037,-7.5,-3.4,-6,-6.5
2038,-3.5,-9.5,-9.1,-13.7
2039,-7.1,-5.6,-12.6,-7.7
2040,-4.3,-5.4,-12,-7.8
2041,-12.3,-11.4,-6.3,-9.1
2042,-7.4,-8.3,-2.8,-7.6
2043,-5.2,-12.1,-8.2,-10.8
2044,-6,-5,-7.3,-11.6
2045,-9.5,-11.8,-7.5,-5.7
2046,-6,-11.9,-5.3,-8.7
2047,-7.5,-6.7,-8.2,-9.5
2048,-10.1,-5.1,-10.6,-8.4
2049,-9.5,-5.8,-5.7,-5.9
2050,-8.3,-5.7,-10,-8.7
2051,-10.6,-7.3,-8.3,-9.9
2052,-6,-5.9,-10.8,-8.9
2053,-5.6,-9.1,-6.9,-14.7
2054,-6.4,-7,-6.5,-16
2055,-9.7,-6.2,-7.2,-11.8
2056,-5.5,-14.9,-10.2,-15.4
2057,-2.9,-10.1,-10.9,-8.2
2058,-9.7,-11.8,-13.2,-16.7
2059,-7.7,-9,-9,-10.5
2060,-10.2,-7.2,-6.5,-12.3
2061,-9.7,-11.8,-9.6,-17.2
2062,-6.3,-10.8,-10.6,-9.4
2063,-5.5,-9.7,-11,-13.6
2064,-10.6,-10.1,-10.5,-13.5
2065,-6.3,-9.6,-17.3,-15.6
2066,-8.8,-11.3,-12.7,-13.9
2067,-5.4,-13,-13,-14
2068,-7.9,-13,-12.7,-13.6
2069,-9.1,-14,-12,-18.7
2070,-7.9,-8.1,-11.4,-15.9
2071,-3.6,-11.7,-12.4,-16
2072,-7.8,-11.2,-4.9,-16.3
2073,-3.7,-12.2,-13.2,-16.1
2074,-9,-13,-14.3,-19.5
2075,-9.4,-17.3,-15.9,-17.1
2076,-9.8,-12.6,-16.3,-19.8
2077,-5.1,-11.1,-14.4,-19.1
2078,-7.5,-12.2,-16.2,-20.4
2079,-8.8,-13.2,-17.7,-19.9
2080,-8.2,-14.8,-14.4,-18.1
2081,-3.8,-12.2,-12.3,-19.1
2082,-7,-15.3,-13,-21.6
2083,-9.2,-13.6,-14.2,-21.7
2084,-11.4,-13.4,-16.5,-19.4
2085,-9.8,-12.5,-16.9,-21
2086,-7.3,-11.3,-17.9,-21.7
2087,-8.6,-10.4,-12.3,-25.9
2088,-9.8,-10.9,-17.2,-21.2
2089,-10.7,-13.9,-18.1,-21.1
2090,-7.1,-9.7,-20.2,-23
2091,-1.2,-11,-20.6,-23.6
2092,-7.9,-14.6,-18.4,-28.8
2093,-5.9,-9,-13,-20.6
2094,-9.6,-9.8,-17.8,-25.2
2095,-5.1,-12.5,-21.6,-24.6
2096,-4.2,-9.7,-17.1,-25.2
2097,-5.5,-14.7,-12.6,-27
2098,-5.4,-16.2,-14.4,-20.8
2099,-8.9,-15.3,-20.9,-24.1
