Year,RCP26,RCP45,RCP60,RCP85
1981,-35.9,-36.9,-18.3,20.4
1982,207,197.2,187,207.2
1983,288.5,205.5,496.7,203.6
1984,144.7,153.6,204.7,161.7
1985,183.2,206.7,113.9,251.2
1986,207.3,214.8,220.6,219.3
1987,96.5,91.7,39.7,93.8
1988,219.9,178.1,94.1,134.7
1989,55.1,171.9,55.4,137
1990,32.1,5.9,65.7,-21.9
1991,-12.2,11.6,-54.2,0.7
1992,227,231.6,264.9,202.7
1993,33.4,23.3,54.1,13.9
1994,132.5,-156.9,158.3,-85.1
1995,115.4,46.7,145.2,71.2
1996,-44.1,-17.9,-27.8,-5.4
1997,-78.6,-37.9,-91.6,-87.1
1998,37.1,38,71.2,33.1
1999,-116.5,-98.8,-184.3,-64.7
2000,-138.5,-214.5,-86.3,-183.7
2001,-69.3,8.7,-93.6,-34.5
2002,-186.1,-183.5,-114.9,-146.3
2003,-205.5,-174.3,-218.6,-110.5
2004,-207.9,-116.1,-203,-145.4
2005,-98,-23.2,-94,-21.4
2006,-142.4,-273.3,-176.9,-158.8
2007,-34.5,-177.7,-153.5,-194.7
2008,-157.5,-111.6,-215.5,-306.7
2009,-272.3,-50.1,-36.6,-200
2010,-207,-196.9,-304.6,-112.6
2011,-193.9,-248.1,-272.6,-141.5
2012,-259.3,-174.6,-273.3,-287
2013,-275.8,-151.2,-286.1,-317.2
2014,-326.6,-196.9,-342.9,-358.8
2015,-316.7,-169.3,-130,-345.9
2016,-413.2,-372.1,-249.2,-422.5
2017,-256.5,-289.9,-196.4,-451.5
2018,-380.5,-283.2,-382,-357.5
2019,-464.6,-233.2,-304.1,-265.4
2020,-410.9,-173.2,-117.1,-336.6
2021,-474.8,-349.4,-421.6,-242.6
2022,-463.6,-320.5,-390.2,-429.4
2023,-493.6,-355,-318.4,-515.3
2024,-455.9,-531.8,-341.8,-389.4
2025,-425.2,-472.4,-472.6,-557.9
2026,-246,-478.7,-452.1,-318.1
2027,-483.7,-510.2,-521.2,-450.1
2028,-451.9,-453.4,-316.7,-472.2
2029,-446.1,-398.2,-487.9,-570.9
2030,-409.4,-317.2,-588.6,-649.8
2031,-462.5,-426.4,-307.6,-400.8
2032,-462.9,-415.9,-230.3,-615.5
2033,-367.3,-709.5,-357.7,-592.8
2034,-506.9,-623.3,-500.9,-495.5
2035,-455.4,-573.1,-497.7,-560.2
2036,-547.1,-591.6,-422.4,-564.5
2037,-526.5,-468.1,-303.8,-716.6
2038,-605.4,-731.4,-478.1,-728.1
2039,-628.7,-596.1,-627.4,-748.1
2040,-545.8,-636.6,-613.3,-677.7
2041,-634.1,-683.6,-317.7,-611.4
2042,-519,-611,-520.6,-715.4
2043,-530.2,-780.7,-572.3,-780.1
2044,-414,-650.2,-524.5,-742.5
2045,-433.4,-720.6,-634.6,-782.5
2046,-610,-660.6,-544.4,-791.6
2047,-536.5,-755.9,-580.7,-801.5
2048,-711,-696.5,-600,-831.8
2049,-676.6,-672.4,-482.5,-928.3
2050,-682.8,-563,-631.6,-935.7
2051,-651.7,-719.1,-706.1,-925.5
2052,-493.3,-732.3,-686.4,-961.9
2053,-568.9,-910,-765.5,-1034.9
2054,-517.9,-821.9,-908.1,-958.4
2055,-553.6,-910.3,-576.7,-1147.8
2056,-654.6,-878.7,-763.2,-1015.2
2057,-497.1,-736.1,-690.8,-984.8
2058,-586.4,-793.5,-655.7,-1254.2
2059,-544,-814.3,-664.7,-1144.9
2060,-486,-786.6,-711.1,-1149.4
2061,-668,-867.2,-742.7,-1092.7
2062,-627.3,-1041.9,-830.2,-1118.2
2063,-536.3,-837.3,-662.7,-1234.5
2064,-660.4,-953.8,-767.7,-1312.7
2065,-645.6,-874.5,-798.6,-1349
2066,-700.3,-988.6,-910.5,-1336.5
2067,-575.1,-1054.8,-1029.3,-1184.6
2068,-722,-922.5,-764.9,-1335.3
2069,-689.2,-925.9,-1141.9,-1470.2
2070,-527.5,-758.5,-946.1,-1340.4
2071,-574.9,-1027,-814,-1472.6
2072,-656.2,-922.9,-869.5,-1429.6
2073,-649.4,-955.3,-1096.3,-1451.9
2074,-559.4,-905.8,-964,-1513
2075,-702.1,-1043.1,-1139.9,-1414.9
2076,-664.2,-1006.9,-916.4,-1536.4
2077,-584.1,-1006.5,-824.4,-1656.1
2078,-598.3,-1098.5,-1032.4,-1557.9
2079,-617,-1066.5,-1162.6,-1596.9
2080,-547.4,-1003.8,-1275.7,-1621.9
2081,-525.4,-1067.8,-1097.3,-1713.1
2082,-621.3,-1187.6,-1005.7,-1661.9
2083,-629.9,-1108.2,-1027.2,-1673
2084,-707.5,-1108.8,-1367.9,-1764.6
2085,-517.5,-858.6,-1025.1,-1743.9
2086,-496.3,-1030.7,-1331,-1726.8
2087,-698.6,-1130.1,-1159.1,-1833.1
2088,-756.5,-984,-1340.1,-1833.8
2089,-644.3,-1089.1,-1246.4,-1691.4
2090,-594.9,-1031.1,-1071.6,-1886.6
2091,-599.9,-1040.1,-1516.9,-1922.9
2092,-505.7,-1154.8,-1091.8,-1981.8
2093,-417.6,-1041.7,-1027.5,-1903.3
2094,-515.3,-967.4,-1163,-1906.6
2095,-479.1,-1109.4,-1341.8,-1855.7
2096,-536.7,-1030.3,-1186.3,-2067.4
2097,-580.2,-1256.8,-1337.4,-1973.7
2098,-603.3,-1035,-1161.2,-1994.3
2099,-551.3,-1131.4,-1367,-2037.6
