Year,RCP26,RCP45,RCP60,RCP85
1981,-0.3,-0.3,-0.4,-0.3
1982,-0.6,-0.2,-0,-0.3
1983,-1.7,-1.6,-1.6,-1.4
1984,-0.3,-0.4,-0,-0.7
1985,-1.8,-1.3,-2.1,-1.4
1986,-0.4,-0.9,0.5,-0.9
1987,-0.6,-0.9,-0.5,-1.1
1988,-1.4,-0.8,-2.2,-0.7
1989,-0.4,-0.2,-0.4,-0.4
1990,-0.3,-0,-0.6,0
1991,0.3,-0.5,-0.2,-0.4
1992,-0.9,-0.9,-1.5,-0.8
1993,-0.5,-0.1,-0.4,-0.3
1994,1.4,0.6,0.4,0.5
1995,-0.6,-0.2,-0.9,-0.3
1996,0.6,0.8,0.2,0.8
1997,-0,0.2,-0.1,0.5
1998,0.4,0.2,0.1,0.1
1999,-0.3,-0,-0.4,0
2000,1,1.2,1.1,1.2
2001,0.1,-0.5,0.1,-0.5
2002,0.8,0.7,0.1,0.7
2003,0.6,0.5,1.9,0
2004,0.2,0.7,2.6,0.9
2005,0.4,0.2,0.8,0.2
2006,0.8,1,1.3,0.8
2007,0.8,1.4,0.3,1.2
2008,1.1,1,0.8,3
2009,1.7,1.7,0.4,1
2010,1.2,1.1,0.1,0.4
2011,2.7,2.5,2.5,1.8
2012,2.5,1.9,2,2
2013,2.3,1.5,0.8,1.6
2014,2.1,1.9,2.4,3.3
2015,1.3,1.5,0.8,1.4
2016,2.5,2.6,1.2,2.5
2017,2.7,2.4,0.3,2.8
2018,2.6,1.4,4.4,1.6
2019,2.8,2.6,-0.2,1.9
2020,1.9,1.1,0.6,3.7
2021,3.7,3.4,0.9,2.2
2022,2.8,2.1,1.7,2.8
2023,2.2,2,1.5,3.9
2024,3.5,3.3,1.5,3.2
2025,3.5,3.3,3.5,4
2026,2.3,3.8,2,3.2
2027,3.3,4.4,4.1,3.8
2028,3.1,2.6,1.6,4
2029,2.3,3.2,1.9,3.3
2030,3.4,2.4,3.3,4.7
2031,3.2,2.7,2.8,3.6
2032,3.1,4.1,0.5,3.4
2033,4,4.7,2.2,4.3
2034,4.8,4.8,2.5,3.6
2035,4.6,3.8,2,5.3
2036,2.2,3.7,2.7,4.4
2037,4.3,3.5,2.8,3.7
2038,4.3,5.2,1.4,4.9
2039,5.4,4.2,4.4,5.5
2040,4.2,5.1,4.2,4.9
2041,5.7,6.1,1,5
2042,4.1,6.1,1.8,6.3
2043,4.2,5,1.6,5.1
2044,4.3,6.3,3.2,6.7
2045,3.2,5.9,3.5,5.3
2046,4.8,6.5,3.6,5.4
2047,5.1,5,2.5,6.2
2048,4.3,5.3,2.9,6.9
2049,6.3,4,4.4,6.4
2050,4,3.9,4.6,7
2051,7,6.7,4.6,9.1
2052,5.2,6.1,4.1,8.4
2053,4,7,5.2,9.9
2054,6.5,7.3,5.3,7.9
2055,5.1,7.3,3.6,9.2
2056,4.5,6.9,3.3,9.9
2057,2.9,4.5,6.3,7.4
2058,3.7,5.1,4,8.3
2059,3.9,6.4,5.6,8.8
2060,6,6.4,5.1,9.3
2061,5.1,7.8,7.1,10.5
2062,5.9,7.3,6.3,10
2063,4.2,7,4.7,11.2
2064,4.5,7,5,12.2
2065,4.3,5.9,7.5,9.6
2066,3.9,6.7,7.1,12.5
2067,5.1,9.6,6.9,12.3
2068,5.7,7.6,7,12.7
2069,4.3,7.4,6,14.3
2070,4.7,6.8,6,13.5
2071,5.2,8.3,5,17
2072,4.2,7.4,4.5,13
2073,5.1,8.6,8.1,18.7
2074,4.3,6.3,6.6,16.8
2075,4.2,8.8,8.5,16.2
2076,4.5,9.6,7.3,17.5
2077,4,8.4,4.3,16.2
2078,4.3,9.7,7.9,20.7
2079,5.9,7.3,6.6,18.2
2080,4.1,8.6,7.1,19.3
2081,4.1,8.7,9.5,17.7
2082,3.7,8.4,6.9,19.1
2083,2.6,9.6,7.3,19.1
2084,5.6,9.4,9.4,20.5
2085,3.9,8.1,7,20.9
2086,5.2,7,8.1,18.9
2087,4.9,8.1,8.5,21.2
2088,6.7,7.9,7.8,23.4
2089,5.7,11.4,10.5,24.6
2090,4.4,6.9,7.9,25.3
2091,3.4,9.2,11.9,27.8
2092,2.6,7.1,10.7,26.8
2093,3.4,8.4,9.9,27
2094,3.2,8.4,13.6,26.4
2095,5.1,12.2,10.5,28.3
2096,3.5,8.9,10.8,24.7
2097,5.1,10.7,11.1,28
2098,5.1,8.2,8.5,31.1
2099,5.8,9.7,13.3,28.5
