Year,RCP26,RCP45,RCP60,RCP85
1981,-1.9,0.1,-1.3,-0.5
1982,-2.6,-3.3,-1.2,-2.2
1983,-7.8,-6.3,-9,-6.2
1984,-3.3,-3.1,-0.4,-4.8
1985,-7,-4.5,-6.6,-5.6
1986,-7.4,-5.5,-0.8,-5.7
1987,-3.9,-3.7,-3.6,-4.1
1988,-4.1,-3.6,-4.4,-3.6
1989,-4.1,-3.9,-4.2,-4.1
1990,-0.7,0.4,-0.9,1
1991,1.2,-1.1,0.5,0.7
1992,-6.1,-6.7,-8.2,-6.3
1993,-3.3,-3.3,1.3,-3.1
1994,2.8,3.1,-1.2,2.4
1995,-3.3,-1.7,-4.5,-2.1
1996,2.1,2.1,2.3,2
1997,4.5,3.3,2,3.7
1998,1.1,-0.5,1.3,0.2
1999,1.5,1.3,1.1,0.9
2000,5.7,6.6,5.8,6.8
2001,-1.7,-2.3,-1.5,-1.8
2002,4.4,5.7,4.2,5.1
2003,3.9,4.2,3.5,3.3
2004,4.4,4.4,4,4.7
2005,3.5,0.3,3,-0.2
2006,2.4,8.8,11,8.1
2007,8.7,5,3.8,7.4
2008,10.6,9.9,10.8,17.9
2009,11.7,5.4,4.3,7.1
2010,8.9,6.3,10.2,5.8
2011,11.6,11.6,14.4,9.8
2012,15.3,9,21.5,14.1
2013,16.1,7.7,6.9,13.8
2014,12.4,13.4,16.1,15.8
2015,12.9,11.2,9.2,11.6
2016,16.9,12.6,13.8,18.8
2017,18.9,16.9,6.5,22.5
2018,16.7,10.3,18.6,11.2
2019,18,15.6,9.2,10
2020,18.2,10.1,9.2,19.9
2021,25.4,18.4,14.3,14.1
2022,19.4,14.3,19.9,23.6
2023,18.1,13.1,9.3,20.9
2024,21.1,23.6,11.4,19.4
2025,20.2,23.3,25.9,21.2
2026,17.4,23.6,25.1,16.5
2027,25.5,29.6,28.6,22.3
2028,18.6,17,15.4,25.5
2029,22,19.7,16.3,24.7
2030,24,17.9,22.6,33.7
2031,29.5,27.2,21.8,23.6
2032,25.9,26.4,12.2,26.8
2033,20.1,32.5,9.8,29.9
2034,29.9,25.7,24.1,27.4
2035,21.5,32.4,12.3,28.4
2036,25.7,27.5,16.1,33.3
2037,30.9,22.6,20.3,28.8
2038,23.5,31.8,25.9,40.5
2039,33.3,28.9,30.7,35
2040,24.8,29.1,31.1,35
2041,34.9,42.9,17.6,35.3
2042,27,35.1,23.6,40.6
2043,27.6,42.4,27.1,39.3
2044,22.5,42.3,23.2,44.5
2045,23.4,41.2,27.6,38.8
2046,32.1,46.7,35,40.2
2047,28.3,35.4,23.4,43.9
2048,31.8,45.1,25.4,46.3
2049,40,35.7,25.7,50
2050,36.3,27.1,26.5,50.7
2051,35.1,43.4,36.7,55.4
2052,32.2,47.6,43.8,51.9
2053,30.4,47.5,37.5,65.9
2054,43.1,49.2,46.1,67.6
2055,38.1,50.1,26.5,67.8
2056,29.3,49.1,37.5,65.4
2057,28.7,42.2,36,63
2058,33.8,50,41.4,77.2
2059,23.7,45.5,39.4,64.2
2060,37.2,43.8,33,67.6
2061,33.3,57.8,43.6,75.1
2062,39.9,60.4,51.1,74.5
2063,22,43.8,37.7,81.6
2064,32.1,55,37.4,90.3
2065,31.7,48.1,66.4,87.5
2066,25.6,61.6,53.3,87.7
2067,30.3,66.2,58.1,86.2
2068,39.6,59,53.1,91.1
2069,31.6,61.1,82.6,97
2070,27,56.7,47.2,82.5
2071,27.8,58.7,51.3,102.3
2072,32.2,56.3,39.9,98.2
2073,34.5,64,65.8,109.5
2074,30.8,54.8,65.2,102.6
2075,39.6,56.9,56.2,112.6
2076,35,59.2,59.4,101.9
2077,26,64.2,48.9,119.3
2078,28.8,67.6,58.9,127.2
2079,35.4,63.8,75.1,122.5
2080,27.6,65.1,80.6,123.1
2081,34.3,67.1,77.2,117.6
2082,28.3,73.8,54.4,121.6
2083,24.7,63.2,66,123
2084,32.4,64.1,85.2,125.3
2085,25.6,54.6,76.5,129.8
2086,34,56.4,75.4,136
2087,33.7,63.3,72.6,136.3
2088,38.1,55.1,75.3,135.5
2089,25,72.4,92.7,139
2090,33.8,63.1,65.3,136.3
2091,27.7,64.7,109.6,140.8
2092,20.8,66.2,77.3,154.3
2093,21,62.7,58.4,154.3
2094,27.3,58.7,89.8,156.7
2095,24.7,69.8,99.7,144.9
2096,28.6,71.3,80.9,146.2
2097,36,74.1,88.8,162
2098,35.4,59.2,65.5,166.8
2099,32,70.9,97.5,158.5
