Year,RCP26,RCP45,RCP60,RCP85
1981,-10,-5.2,-6.3,-7.6
1982,-26.1,-22.3,-26.1,-21.9
1983,-78.3,-60.5,-90.2,-59.3
1984,-44.6,-40.8,-2.2,-47.2
1985,-69.7,-43.8,-47.2,-46.4
1986,-60.5,-55.3,-10.1,-56.8
1987,-43.7,-37.3,-40.9,-42.9
1988,-46.6,-41.3,-45.4,-33.7
1989,-21.1,-25.3,-14,-26.4
1990,-0.8,11.2,1.4,14.5
1991,10.7,-15.4,-15.4,-13.1
1992,-64.5,-62.8,-86.8,-61.9
1993,-19.3,-22.9,-5.3,-21.7
1994,23.8,27.6,-3.3,20.4
1995,-30.6,-19.6,-31.1,-21.4
1996,19.1,21.1,28,13.9
1997,33.2,25.6,20.9,35.4
1998,3.1,-2.4,-10.4,-0.3
1999,15.2,20.1,18.5,18.6
2000,58.1,75.8,71.5,75.4
2001,-23.5,-32.4,-16.1,-22.8
2002,33.5,54.9,26.4,48.9
2003,38,41.8,36.5,31.8
2004,48.4,47,41,50.4
2005,27.3,-10.9,34,-8.8
2006,32.8,92.2,119.3,80.4
2007,72.7,48.9,34.5,85
2008,93.4,74.3,91.9,200.3
2009,100.4,64.1,43.1,71.2
2010,83.8,79.4,87.8,45.6
2011,115.7,116.8,157.8,85.3
2012,133.1,83.6,225.4,143.6
2013,170.8,97.5,80.5,122.5
2014,120.8,122.2,186.2,160.8
2015,105.7,123.9,106,111.6
2016,161.6,121.8,143.6,190.7
2017,199.8,178.6,46.1,232.1
2018,173.1,116,187,122.2
2019,167.5,158.3,106,91.7
2020,169.2,93.4,77.4,200.5
2021,252.7,176.7,122,140.1
2022,205.8,130.7,211.7,209.2
2023,180.7,138.6,68.1,230.5
2024,209.8,251.2,120.8,196.1
2025,197.8,223.5,240.1,199.9
2026,156.2,253.2,229.4,169.2
2027,259.8,287.5,267.3,224.8
2028,169.9,195,149.2,257.6
2029,219,201,147.7,248.7
2030,254.1,185.5,202.2,332.3
2031,289.6,249.1,179.5,233.7
2032,248.5,259.4,112.8,278.3
2033,182.8,314.1,118,328.6
2034,298.9,276.5,206.8,265.3
2035,216,326.9,125.1,300
2036,249.2,268.4,137.3,337.3
2037,314.7,232.1,176.8,301.9
2038,256.4,329.5,237.2,416.4
2039,355.5,275,294.8,366.9
2040,247,286.4,284.6,356
2041,351.4,452.4,127.4,367.2
2042,278.4,362,200.3,413.1
2043,272,436.8,265.8,412.3
2044,243,412.8,237.2,460.6
2045,225.2,405.7,286.5,381.4
2046,334.3,488.6,377.6,396.2
2047,301.7,373.6,225,435.3
2048,293.8,440.2,256.7,447.2
2049,438,358.2,244.3,519.7
2050,346.3,279.1,261.8,505.9
2051,376.5,448.4,319.2,565.9
2052,289.7,469.2,413.9,545.1
2053,287.8,490.6,339.2,696.6
2054,424.4,494.8,523.5,709.6
2055,356.7,532.4,254.8,682.3
2056,292.1,516.5,359.3,708
2057,292,437.5,345.2,620.9
2058,339.9,489.3,425.1,765.2
2059,254.4,470.2,363.9,666.3
2060,355.4,426.7,322.9,759.1
2061,313.7,617.6,462.2,821.3
2062,395.6,584.6,526,776.6
2063,233.3,438,321.6,812.5
2064,355.4,566.9,355.4,889.8
2065,328.9,475.2,587.8,904.1
2066,224.6,611.3,554,925.6
2067,305,674.3,568.8,890.1
2068,386.8,568.9,499.6,909.7
2069,305.3,604.8,828,1015.7
2070,246.8,613.5,486.6,831.7
2071,288.4,631.4,477.5,1077.9
2072,338.4,573.1,394.9,1044.5
2073,383.4,638.6,607.5,1280.3
2074,331,536.3,642,1129.2
2075,338.5,619,605.3,1182.1
2076,335.1,610.6,633.6,1145.1
2077,274.2,671.8,458.9,1272
2078,298.3,676.1,577.6,1328.3
2079,382.8,636.1,732.5,1360.4
2080,289.7,638,810.3,1325
2081,329.6,672.4,843.2,1257.5
2082,297.3,737.6,552.9,1340.8
2083,232.5,656,643.3,1340.4
2084,328.8,676.4,815.9,1388.5
2085,244.1,542,742.1,1419.4
2086,328.8,550.1,638.2,1462.7
2087,328.2,691.4,829.4,1513.1
2088,404.2,554.4,780.6,1512.4
2089,311.3,733.8,927.5,1496.8
2090,327.8,603.7,675.1,1551.2
2091,277.7,642,1104,1641.3
2092,191.6,684.1,769.4,1642.7
2093,219.8,612.2,547.8,1760.1
2094,257.2,599.6,893.2,1728.3
2095,228.2,793.2,946.9,1629
2096,291,769.9,800.7,1796
2097,385.3,798.9,873.2,1974.1
2098,355.4,622.5,649.9,1806.1
2099,329.6,738.1,1003.1,1814.4
