Year,RCP26,RCP45,RCP60,RCP85
1981,2.4,1.9,1.6,1.6
1982,-4.7,-3.3,-0.5,-3.4
1983,-6.4,-7,-10.6,-6.5
1984,-5.2,-4.3,-5.4,-4.8
1985,-5.6,-3.6,-3.5,-4.2
1986,-7.7,-5.9,-5.7,-5.6
1987,-5.6,-5,-2.2,-5.3
1988,-1,-0.7,-2.8,-1.1
1989,-1,-1.6,-1,-2.1
1990,2.8,3.5,0.6,3.4
1991,-0.4,0.8,-0.7,0.4
1992,-7,-8.5,-8.6,-7.9
1993,-3.7,-3.3,-4,-3.4
1994,-0.1,0.4,0.6,0.2
1995,-3.3,-1.7,-1.9,-2.1
1996,1.7,1.2,1.8,1.5
1997,0.4,1.2,-0.1,1.6
1998,1.1,0.9,-0.8,1
1999,4,1,6.4,2.4
2000,4.6,5.3,4.6,5.1
2001,-2.4,-3.3,-1.7,-2.4
2002,2.6,3.9,1.1,3.8
2003,5,5.3,2.3,4.4
2004,4.7,5,9.3,4.8
2005,5,1.5,3.6,1.2
2006,5.1,13.7,14.2,11.1
2007,8.2,9.4,7.1,8.1
2008,9.4,12.2,9.2,15.3
2009,14.4,9.9,14.3,12.6
2010,15.7,15.3,12.9,12.1
2011,14.4,18.9,20.9,11
2012,15.9,14,24.2,16.3
2013,23.1,11.3,10.8,15.8
2014,20,17.3,21.1,20.9
2015,16.1,15.8,14.6,16.7
2016,23.2,15,15.5,19.9
2017,23.2,20.1,7.5,22.9
2018,20.9,16.5,24,17.3
2019,23,19.5,15.2,17.3
2020,20.5,11.2,11.6,26.4
2021,32.6,21.5,19.1,14.7
2022,21.7,19.5,20.6,25.3
2023,20.4,17.1,18.6,28.3
2024,27.5,27.4,11.2,22.8
2025,26.5,30,27.3,25.1
2026,22.6,26.5,30.1,17.1
2027,23.3,30.2,30.5,23.5
2028,25.2,26.6,16.5,26.2
2029,23,26.1,17.3,29.6
2030,26.9,21.4,26.5,34.7
2031,30.5,25.8,23.1,27.9
2032,25.3,29,21.6,29.6
2033,23.8,37.8,22.3,33.5
2034,26.4,29.1,23.6,30.2
2035,23,30.8,22,33.8
2036,24.9,30.1,21.6,33.2
2037,37.1,25.7,24.5,33.1
2038,28.4,37.5,28.6,41.5
2039,31.1,32.9,26.1,38.4
2040,26.3,27.4,29.3,37.2
2041,30.5,40.5,20,34.4
2042,32.1,41.4,26.8,41.6
2043,31.8,42.5,35,38.2
2044,24.7,39.9,22.3,43.8
2045,25.9,42.4,40,39.1
2046,38.5,50.2,39.1,42.1
2047,28.2,34.7,32,47.3
2048,30.3,40.8,24.3,48
2049,36,36.9,37.9,52.1
2050,31,32.6,32.2,45.5
2051,45.1,42.9,40.1,54.4
2052,31.1,44.9,46.9,52.5
2053,30.4,44.3,34.5,58.5
2054,46.7,46.2,38.2,62.9
2055,37,49.1,35.3,64.9
2056,31.6,54,38.2,62.9
2057,35.2,42.9,41.3,65
2058,32.5,51.1,39.9,69.8
2059,26,47,41.6,60.1
2060,38.7,42.9,35.4,61.5
2061,36.8,56,42.5,70.9
2062,29.6,58.4,51.7,65.6
2063,24.4,47,35.8,68.2
2064,37.6,52.5,50.1,84.4
2065,28.7,47.1,49.7,80.1
2066,29,54.6,55.4,82.2
2067,31.4,64,56.3,77.3
2068,39.3,52.8,50.6,81.2
2069,36,56.1,71.9,85.8
2070,28.5,55.5,51,77.3
2071,30.2,56.8,57.3,91.8
2072,34.5,54.7,43,90.2
2073,42,59.6,63.4,100.7
2074,35.1,55.8,72,95.7
2075,34.1,57.3,59.7,106.1
2076,30.1,58.5,53.5,100.1
2077,30.2,63,51.5,103.5
2078,27.6,62.5,59.3,112.8
2079,36.3,62.1,77.4,107.2
2080,28.6,61.6,75,102.8
2081,30.6,63.9,67.8,108.3
2082,31.5,66.8,58.8,106.7
2083,32.2,62.8,69.2,105.7
2084,30.7,63.5,75.8,110.2
2085,31.6,55.2,76,116.6
2086,33.3,56.5,71.7,113.2
2087,31.7,58.8,82.2,122.4
2088,39,52.6,71.8,122.6
2089,31.3,65.2,86.6,116.6
2090,33.8,62.4,65.4,128.9
2091,31.6,60.6,100,124.6
2092,28,65.5,76.9,129
2093,25.9,59.1,57.6,137.6
2094,27.9,58.8,83.1,135.9
2095,24.8,67.6,85.9,126.8
2096,31,66.8,73,126.8
2097,35,68.9,88.6,144.6
2098,34.9,59.5,77.1,143.2
2099,32.2,65.4,89.4,137.1
