Year,RCP26,RCP45,RCP60,RCP85
1981,0.9,0.8,1.1,0.9
1982,-2,-2.7,-1.2,-2.8
1983,-8.6,-8.2,-9.3,-7.1
1984,-6.9,-5,-4.8,-5.3
1985,-3.1,-2.6,-2.9,-2.6
1986,-8.2,-6.9,-8.2,-6.3
1987,-4.5,-4.8,0.3,-5
1988,-1.4,-1.4,-1.8,-1.3
1989,-0.3,-1.7,0.2,-2.6
1990,2.8,3.1,-0.5,3.3
1991,0.2,-0.3,0.3,0.1
1992,-6.5,-6.7,-7.2,-6.7
1993,-3.6,-4,-1.1,-4.2
1994,-0.4,0.3,-5.3,0.1
1995,-4.9,-3.7,-4.7,-2.6
1996,0.9,1,0.3,1.2
1997,1,0.6,-0,1
1998,2.3,1.5,2.6,1.7
1999,1.9,1.6,1.9,1.6
2000,3.1,3.7,2,4.5
2001,1,-0.3,2.8,0.7
2002,3.6,6.3,3,5.3
2003,4.2,3.4,2.1,3.1
2004,3.9,3.8,8.4,3.6
2005,5.9,3.7,5.8,2.9
2006,6.6,13.4,9.9,11.2
2007,9.2,8.7,11.3,8.1
2008,12.3,11.7,13.8,18.1
2009,13.6,9.9,10.9,9.2
2010,17.1,14.5,21.7,11.7
2011,16.1,16.8,18.1,10.2
2012,19.1,12.7,14.8,17.2
2013,24.7,12.2,13.5,17.2
2014,20.6,15.3,20.9,20.3
2015,19.6,16.4,15,16.4
2016,24.1,17.4,13.9,20.7
2017,19,16.1,12.4,22.5
2018,23.5,17.1,24.8,16.5
2019,21.3,19.5,15.9,16
2020,23.4,11.3,9.7,22.3
2021,27.6,24.1,23.5,17.5
2022,24,17.7,22.3,24.1
2023,24.6,17.7,18.7,29.6
2024,27.6,25.5,16.7,23.2
2025,30.8,27,28.6,26.2
2026,20.2,25.2,31,19.3
2027,27.8,30.8,30.1,26.5
2028,25.3,26.1,29.2,29.3
2029,25.6,25.2,20.8,31.1
2030,29.5,21.9,28,36.3
2031,35.8,27.2,28.2,28.6
2032,30.6,31.1,19.7,34.5
2033,22.5,34.3,25.6,32.2
2034,28.6,32.1,30.5,32.6
2035,27.1,33.9,24.6,33.9
2036,29.9,30.1,23.7,37.3
2037,37,25.7,30.9,34.9
2038,28.2,38.1,28.4,43.9
2039,41.6,33.1,35.9,39.2
2040,31.1,31.8,34.5,43.2
2041,36,38,25,36.6
2042,33.3,40,28.9,46.1
2043,34.1,42.2,35.9,43.2
2044,29.1,43.9,29.9,47.8
2045,23.1,41.7,32.5,42.3
2046,38.4,47.4,37.2,47.4
2047,29.2,35.8,29.3,47.6
2048,37.3,41.5,34.1,54.7
2049,36.2,38.6,33.2,55.9
2050,38.1,32.5,29.9,52.4
2051,44.2,43.4,35.8,55.9
2052,31.2,46.8,51.3,57.9
2053,32.7,43,38.4,61.9
2054,48,46.8,49,62.3
2055,34.1,50.2,33,68.5
2056,30.6,49.2,46.3,66.5
2057,35.5,45.4,46.1,62.5
2058,38.2,46,44.4,75
2059,30.1,51.3,43.3,67.1
2060,37.1,51.4,47.1,70
2061,36.4,58.4,46.8,76
2062,36.7,56.5,51.1,73.7
2063,32.7,47.9,42.7,81.8
2064,35.7,52.9,51.1,88.8
2065,34.5,49.2,54.6,81.7
2066,40,52.5,64.4,87.5
2067,39.7,66,53.9,81.6
2068,38.7,51.5,51.9,91.6
2069,34.2,57.2,68.5,90.9
2070,26.9,57.8,53.5,87.1
2071,33.5,61.7,44.5,100.5
2072,40.4,58.9,46.3,95.4
2073,42.2,59,65.6,104.2
2074,41.5,55.5,66.6,103.8
2075,36.5,59.9,58.6,110.2
2076,33.1,58.6,58.3,106.4
2077,34.9,59.1,49.9,115.2
2078,32.8,62.6,67.6,115.8
2079,38.1,64.9,70.6,114.5
2080,31.6,66.7,82.8,115.4
2081,32.2,67.9,64.2,119.1
2082,38.3,68.4,57.4,114.7
2083,31.3,60.3,66.9,122.5
2084,34.4,63.4,76.8,122.5
2085,35.8,59.7,64.6,130.3
2086,33.2,58.8,74.4,120
2087,33.3,63.4,71.7,134.9
2088,42,57.1,76.7,131.5
2089,38.6,72.6,84,129
2090,37.9,62.7,65,137.7
2091,34.3,63.2,89.1,138.6
2092,30.3,71.7,76.3,135.6
2093,26.9,63.3,61.7,146.3
2094,31.8,62.4,81.9,147.6
2095,29.6,71.6,86.3,146.5
2096,31.4,69.9,82.9,149
2097,36.7,73.3,92,152.6
2098,43.1,62.8,77,151.1
2099,37.4,67.5,91.3,154
