Year,RCP26,RCP45,RCP60,RCP85
1981,-2.5,-1.9,-1.3,-1.4
1982,2.2,4.8,0.8,4.4
1983,9.1,5.6,10.4,5.7
1984,5.3,5,4.8,4.7
1985,3.7,4.7,2.4,5.2
1986,5.1,3.3,4.6,3.7
1987,2,3.5,1,2.8
1988,6.1,4.6,4.3,4.6
1989,2.7,3.7,0.9,3.8
1990,-2,0.5,2.8,-1.8
1991,-3.3,0,-0.1,-0.1
1992,2.7,2.9,6.1,2.3
1993,0.7,0.4,1.7,0.2
1994,-1.1,-1.2,-0.6,-1.2
1995,1.4,-0.7,-1.3,0.4
1996,-0.8,-1.5,0.1,-0.4
1997,-3.9,-1.5,0.2,-1.6
1998,-0.5,-0.1,-2.8,0
1999,-1.5,-1.9,-4.9,-2
2000,-0.7,-4.5,-0.5,-3.2
2001,-0.4,0.3,1.2,0
2002,-2.4,-4.8,-3.6,-4.9
2003,-3.4,-1.9,-2.5,-1.8
2004,1.5,-0.5,-5.1,-0.5
2005,-1.4,-1.6,-1.5,-1.1
2006,2.4,-7.2,-6,-2.8
2007,-1.9,-2.4,-2.5,0.2
2008,-3.5,-0.9,-4.9,-8.5
2009,-8.2,-5.2,0.2,-2.3
2010,-7,-0.3,-2.2,-3.6
2011,-6.2,-5.9,-11.3,-5.2
2012,-8.1,-4.5,-4.5,-7.7
2013,-9.7,-5.7,-5.9,-10.2
2014,-6.3,-7.7,-10.5,-7.3
2015,-7.7,-3.8,-2.2,-2.1
2016,-5,-5.7,-4.9,-7.5
2017,-4.5,-5.5,0.6,-6.3
2018,-7.9,-3.7,-6.7,-7
2019,-10.2,-4.8,-6.8,-6.5
2020,-9.3,-3.6,-3,-9.6
2021,-10,-7,-6.2,-2.9
2022,-7.5,-5.1,-9.4,-6.2
2023,-8.8,-7.5,-5.9,-12.2
2024,-9.5,-12,-3.9,-7.2
2025,-8,-8.9,-5.6,-6.1
2026,-5.5,-12.5,-6.2,-5.6
2027,-11.1,-12,-10.2,-7.1
2028,-8.3,-9,-3.9,-8.6
2029,-7.8,-6.1,-7.5,-10.4
2030,-12.4,-5.8,-7.7,-14.7
2031,-12.4,-8.1,-12.2,-6.5
2032,-11,-10.8,-6.8,-13.6
2033,-6.9,-13.1,-5.8,-13
2034,-9.8,-9.5,-2.5,-9.7
2035,-11.4,-9.6,-9.2,-12.3
2036,-9.8,-10.7,-7.3,-10
2037,-10.5,-10.2,-3.7,-12.3
2038,-14.9,-16.3,-5.4,-13.4
2039,-9.7,-12.7,-10.8,-15
2040,-8.9,-10.9,-14.2,-11.9
2041,-12,-16.9,-5,-12.9
2042,-10.1,-12.7,-7.3,-12.1
2043,-7.7,-17,-11.7,-18
2044,-8.2,-15.7,-7.3,-19.3
2045,-11.7,-18,-20.1,-13.8
2046,-12.7,-16.7,-10.7,-13.9
2047,-11.5,-14,-14.5,-15.1
2048,-13.6,-13.1,-14.5,-14.3
2049,-15.9,-12.7,-16.2,-21.7
2050,-11.1,-8.2,-9.7,-17.8
2051,-18.6,-16.7,-15.5,-18.9
2052,-9.9,-15.7,-8.9,-17.4
2053,-12.8,-10,-15.2,-22.7
2054,-17.3,-20.4,-19.9,-18.1
2055,-12.9,-18.3,-12.5,-22.3
2056,-12.1,-20.3,-8.5,-20.5
2057,-10.9,-15.1,-14.7,-16.6
2058,-13.1,-16.1,-10.7,-22.1
2059,-11.8,-13.4,-9.1,-21.8
2060,-9.7,-14.3,-12.8,-20.5
2061,-13.4,-17.7,-14.2,-20
2062,-11.3,-18.8,-14.9,-23.3
2063,-6.7,-16,-8.5,-24.7
2064,-13.9,-19.8,-8.6,-25.8
2065,-15.2,-16.5,-16.1,-25.2
2066,-13.8,-18.9,-20.5,-26.9
2067,-11,-26.3,-14.3,-23
2068,-14.5,-17.3,-13.1,-25.9
2069,-12,-22.2,-24.6,-34
2070,-9.4,-14.1,-21.6,-28.2
2071,-10.6,-20.6,-14.9,-33
2072,-11.3,-17.6,-12.3,-27.7
2073,-11.9,-20.5,-19.4,-33.7
2074,-10.7,-18.2,-23.7,-31.5
2075,-15.6,-20.2,-21.1,-28.2
2076,-10.9,-21.1,-16.1,-31.8
2077,-12.3,-22.2,-17.1,-34.8
2078,-12.2,-21.3,-22.4,-32.6
2079,-11.8,-18.4,-24.1,-33.2
2080,-10.3,-20.3,-21.8,-35.6
2081,-10.7,-21.6,-19.8,-38.3
2082,-12.2,-23.8,-19.6,-35.1
2083,-10.1,-22.9,-18.3,-39.4
2084,-11.2,-25.2,-24.6,-32.7
2085,-11.5,-18.1,-15.8,-36.3
2086,-11.5,-19.7,-26.1,-31.6
2087,-14.4,-21.1,-24.2,-39.9
2088,-14.2,-19.3,-29.3,-38.5
2089,-14.2,-25.2,-21.4,-39.9
2090,-12.4,-21.1,-19.8,-39.8
2091,-8.9,-19.7,-23.7,-40.7
2092,-8.5,-24.8,-15.1,-40.5
2093,-5.6,-22.1,-20.4,-42
2094,-8.6,-18.5,-20.4,-44.5
2095,-5.9,-24.9,-28.1,-42.1
2096,-10.1,-23.1,-23.9,-41.8
2097,-11,-24.7,-25.1,-44.8
2098,-15.5,-18.2,-24.8,-40.8
2099,-14.1,-20.3,-27.7,-39.8
