Year,RCP26,RCP45,RCP60,RCP85
1981,-6.8,-11.1,13.7,1.9
1982,-19.2,-18.2,-14.8,-21.9
1983,-21.7,-17,-21.9,-18.3
1984,-42.8,-36.7,-65.1,-31.6
1985,-6.1,-21.4,9.6,-17.9
1986,-15.6,-19.8,-12,-17.4
1987,16.2,-2.1,17.6,-2
1988,-3.8,-7.9,-13.5,-9.1
1989,0.4,-4.5,2.4,3.7
1990,16.3,-6.1,35.6,-6.1
1991,-15.4,-22.1,-32.8,-20.4
1992,-36.6,-25.7,-56.6,-31.2
1993,-24.1,-12.2,-5.1,-10.6
1994,0.6,0.3,10.5,-2.4
1995,-21.1,-8.5,10.8,-4.8
1996,17.5,13,-14.8,5.9
1997,12.2,19.7,5.3,12.3
1998,12.1,6.8,17.2,7.8
1999,-2.3,16.6,10.9,11.6
2000,0.3,6.5,-19,9.1
2001,12.6,12.6,-13.9,14.1
2002,18.5,12.7,19.5,8
2003,10.7,3.2,39.8,5
2004,-24.2,-24.1,-27.5,-10.5
2005,25,40.9,25.2,36.5
2006,3.7,13.7,47.3,16.7
2007,7,21,51.7,24.5
2008,26.5,-9.6,42.6,13.8
2009,33.8,4.2,39.9,2.6
2010,29.1,-6.5,90.3,33
2011,20.9,10.1,20.8,20.3
2012,-0.5,-3.7,6.7,8.6
2013,20.9,22.4,30.8,13.2
2014,49.6,18.4,35.7,21.3
2015,10.1,18.7,3,12.1
2016,16,37,-6.6,15.3
2017,31.2,1.2,9.4,14.4
2018,39,37,-0.2,8.4
2019,22.4,2.5,15.3,5.1
2020,30,31.9,10.2,3.5
2021,14.3,41.3,-9.3,8.2
2022,27,15.8,31.9,17.5
2023,44.9,28.1,52.9,40.1
2024,29.8,20.8,49,22.8
2025,52.9,29.3,27.7,30.9
2026,45.7,5.5,25.4,44.9
2027,54.6,24.4,42.8,57
2028,36.9,38.5,30.5,57
2029,24.7,34.9,67.2,34.3
2030,38.8,12.3,33.8,26
2031,69.8,36.8,8.4,49.9
2032,60.8,53.7,28.6,47.4
2033,33.1,32.1,53.3,31.8
2034,50.5,19.7,17.2,32.4
2035,59.2,8.7,99.6,55.3
2036,53.1,34,65.3,44.8
2037,64.4,36.2,44.4,44.3
2038,64,15,6.6,44.8
2039,32.5,67.5,53.3,54.9
2040,28.7,57.9,43.3,55.5
2041,63.4,15.1,89.9,56.3
2042,59.1,45.7,71.7,35.4
2043,46.2,43.5,85.5,66.8
2044,90.4,50.5,48.2,48.5
2045,88.5,51.8,44.7,63
2046,50.4,71,73.3,72.7
2047,61.3,47.9,82.9,63.3
2048,71.2,37.6,68.3,63.9
2049,72.1,61.4,53.4,41.2
2050,71.4,18.5,41.7,88
2051,18.1,56.7,41,76.7
2052,51.9,37.2,53.3,59.8
2053,57.2,39.6,102.2,62
2054,60.1,69.4,86.1,73.4
2055,56.4,72.9,10.3,57.7
2056,18.8,66,52.1,39.9
2057,48.6,59.7,53.2,73.8
2058,66.3,46.4,57.2,95
2059,43.1,34.1,83.9,92.4
2060,20.2,57.9,80.7,63.5
2061,64,77,65.6,69.4
2062,57.1,36.3,-17.4,50.9
2063,81.8,73.1,47.7,100.3
2064,70.1,41.5,74,70.1
2065,81.4,80.6,9.8,104.3
2066,72.8,49,33,75.4
2067,77.8,80.9,78.4,67.5
2068,42.8,61.4,86.7,108
2069,60.8,76.1,66.6,99.2
2070,92.2,11.8,64.2,109.8
2071,61.4,61.4,82.7,96.4
2072,58.1,54.5,67.6,68.1
2073,17,46.6,102.1,93.1
2074,78.2,80.6,41.6,116.9
2075,51.7,55.8,119.4,73
2076,30.3,52.2,62.6,81.6
2077,112.2,48.1,103.9,101.3
2078,105.5,49.3,82.6,85.4
2079,58.7,58.5,69.3,130.8
2080,64,75.1,121.5,87.3
2081,37,61.2,95.4,103.1
2082,37.9,44.9,107.3,122.5
2083,37.7,100.6,63.1,129.4
2084,54.9,105.9,65.2,118.5
2085,22.9,67.1,84.4,118.5
2086,47,60.2,58.8,96.1
2087,66.7,86.8,96.5,121.1
2088,48.2,64.7,77.8,125.1
2089,63.6,62.4,48,95.4
2090,61.6,57.2,49.4,136.4
2091,68.4,80,114.1,118.8
2092,47.2,67.6,43.4,148.4
2093,41.5,71.6,94.3,110.2
2094,59.3,77.5,71.9,131.4
2095,47.3,80.9,92.9,125.1
2096,35.8,59.3,64.6,111.7
2097,47.5,65.1,138.4,120.8
2098,65.8,50.6,156.4,141.4
2099,61,41.6,77.9,161.3
