Year,RCP26,RCP45,RCP60,RCP85
1981,-10.6,-15.2,10.7,5.3
1982,-1,-2.2,-12,-8.2
1983,-14.8,-14.9,-19.3,-21.2
1984,-39.4,-41,-63.2,-45.1
1985,-23.4,-25.5,7.4,-17.7
1986,0.3,-1.1,-18.9,-2.4
1987,-3.7,-12.9,20.1,-20
1988,-0.6,-7.3,-4.7,-7.8
1989,23.2,15.1,-0,11.8
1990,27.1,-1.1,23.4,-2.9
1991,1.3,-13.4,-36.6,-18.2
1992,-41.3,-20.5,-54.4,-27.2
1993,-27.9,-27.8,0.7,-10
1994,-7.2,-9.5,7.4,-15.1
1995,-20.6,-20.1,22.8,-5.2
1996,6.5,0.5,-32.3,-7.2
1997,6.9,21.1,8.4,12.1
1998,-2.7,13.9,17.8,23.1
1999,5,17.1,9.7,16.7
2000,-14,-14.1,-12.8,-9.2
2001,21.2,26.1,-13.2,29.3
2002,15,10.1,15.1,7.4
2003,1.1,3.8,37.7,7.9
2004,3.5,2.8,-29.6,4.1
2005,7.7,17.6,39.7,13.6
2006,18.7,0.5,47.7,18.5
2007,1.5,13.6,44.8,0.3
2008,16.7,0.9,42.8,-1.5
2009,29.6,7.5,40.7,3.6
2010,15.8,5.2,86.7,34.7
2011,12.6,6.3,4.2,28.8
2012,-6.4,24.1,8.4,10.9
2013,21.3,28.2,40.3,22.3
2014,44,33.1,31.1,1.1
2015,0.4,31.3,6.5,-4.4
2016,8.4,25.7,-14.7,-3.7
2017,17.7,-1.9,23,20.7
2018,20.2,24.5,2,16.3
2019,30.6,9.6,14.7,10.9
2020,44.4,25.1,5.4,-1.9
2021,8,23.6,-8.2,7.8
2022,14.9,37,43.7,24.1
2023,41,27.2,40.3,22.5
2024,44.1,23.4,38.2,0.5
2025,28.9,42.5,27.2,44.5
2026,34.7,26.9,8.8,30.2
2027,33.3,27.3,36.7,42.7
2028,36.9,35.9,27.9,49.5
2029,18.7,28.7,53.2,42.7
2030,36.2,18.7,33.4,42.3
2031,32.5,27.9,-3.4,34.7
2032,58.5,20.4,23.1,50.8
2033,64,48.3,39.4,47.6
2034,25.5,27.5,11,12.3
2035,56.4,14.2,100.2,44.4
2036,68.1,48.4,61,34.9
2037,77.9,57.5,45.1,31.1
2038,68.5,36,-7.2,38.6
2039,21.8,64.8,40.4,51.3
2040,37.6,54.9,43.6,51.8
2041,60.4,25.3,85,59.9
2042,40.7,40.8,54.1,26
2043,50.1,27,90,63.1
2044,66.6,53.2,42.1,64.3
2045,89,58.2,46.8,54.3
2046,48.5,43.9,64.6,60.1
2047,57.4,47.6,78.7,58.8
2048,58.2,24.4,58.2,57.5
2049,50.1,53.5,39.6,57.4
2050,71,31.6,46.5,72.2
2051,42.9,46.6,39.2,62.9
2052,59.3,46.7,58.4,65.3
2053,56.9,60.4,87.5,48.6
2054,51.2,86.7,82.4,89.8
2055,62.7,65.6,0.9,51.5
2056,27.9,75.5,50.8,64
2057,56.8,70.3,44.1,52.7
2058,52.9,45.2,58.6,60.7
2059,46.3,36.8,71.1,73.4
2060,24.9,57.3,65.9,70.8
2061,32.7,53.5,65.9,74.7
2062,56.3,56.5,-12.8,65.5
2063,93.6,49.6,47.3,95
2064,55.5,64.4,64.5,79
2065,67,80,2.8,73.7
2066,69.4,58.3,33.8,80.2
2067,77,67.3,80.9,66.4
2068,31.7,70,85.2,96.5
2069,79.3,54.5,59.6,72.9
2070,61.2,36.2,44.3,109.7
2071,63.9,66.5,79.6,88
2072,55.8,62.6,62,66.4
2073,23.1,68.6,103.2,102
2074,56.9,79.7,43.6,94.1
2075,45.3,56.5,131.8,65.1
2076,35.8,60.1,64.6,81.8
2077,88,59.4,113.1,100.4
2078,71.8,45.1,70.8,72.6
2079,42.2,82.3,52.4,94.5
2080,40.9,60.5,105.5,81.8
2081,41.1,63.8,95,84.1
2082,48.1,48.9,106.5,115.5
2083,49.8,66.3,60,101.6
2084,32.9,88.1,81.8,97.5
2085,45.9,74.4,78,116
2086,33,52.7,52.9,103.2
2087,63.2,100.5,91.7,136
2088,58.7,70.7,86.6,113.9
2089,39.3,49.3,35,103.5
2090,56.3,78.8,53,118.9
2091,56,69.5,110.5,109.5
2092,46.5,48.5,35.9,120.8
2093,23.6,74.3,95.5,137.1
2094,59.9,104.4,71.4,139.3
2095,59.3,73.6,93.1,121.1
2096,40.2,56.4,54.4,121.1
2097,31.1,60.4,132.3,131.3
2098,59.2,63.5,156.5,129.1
2099,51.9,52.2,82.3,138.2
