Row,Ref,RCP26_2050s,RCP45_2050s,RCP60_2050s,RCP85_2050s,RCP26_2080s,RCP45_2080s,RCP60_2080s,RCP85_2080s
Tm,1.6,1.9,2.6,2.3,3.3,1.9,3.3,3.9,5.7
Tx,6.7,1.8,2.4,2.1,3.1,1.8,3.1,3.6,5.5
Tn,-2.3,2,2.7,2.4,3.5,2,3.4,4.1,6.1
Pr,778.6,54.5,53.3,54.7,69.9,48.6,65.2,79.8,111.6
CDD,103.3,71.1,108.8,94.5,156.4,70.1,149.2,190.7,334.9
HDD,6093.4,-588.8,-794.8,-698.2,-1012.3,-579,-1023.2,-1132,-1716.7
Cold_day,34.3,-14.1,-19.5,-17.2,-23.4,-13.4,-23.4,-25.3,-30.1
Cold_night,34.7,-16.8,-21.6,-21.3,-25.7,-15.9,-25.5,-28.2,-31.2
DTR,8.7,0.2,0.2,0.1,0.1,0.2,0.1,-0.1,-0.2
FD,188.8,-17.1,-21,-19.4,-27.5,-16.4,-28.3,-31.4,-48.4
GSL,163,14.2,17.9,17.3,22.9,13.9,24.1,28.6,41.4
GS_StartDay,126.8,-6.5,-8.2,-8,-10,-6,-11.1,-14.1,-19
GS_EndDay,288.8,7.6,9.2,9.1,12.5,7.6,12.4,14.7,22
Hot_day,36.6,32.2,44.2,38,57.3,31.7,59.4,69.3,112.5
Hot_night,35.2,34.4,45.5,40.6,62.6,34.7,62.3,71.3,123.7
HWDI_days,8.9,3.7,5.1,3.7,7.2,3.6,7.3,7.7,19.1
HWDI_period,29.2,30.2,43.6,34.6,58.7,29.8,61.2,70.7,128
HWDI_strength,279.7,296,435.9,334.9,593,293.7,623.3,703.1,1394
ID,113.6,-12.2,-16.7,-12.5,-20,-11.6,-21.2,-21.3,-36.7
SU,26.3,13.7,20.1,17.4,26.7,13.8,26,32.4,49.6
tnCSDI,1.6,-1.4,-1.6,-1.8,-1.7,-1.3,-1.6,-1.9,-1.7
TNn,-33.6,3,4.4,3.7,5.7,3.1,5.7,6.8,10.4
TNx,20.9,1.6,2.2,2,3.1,1.5,2.8,3.4,5.3
TR,3.3,2.4,4.5,5.4,8.3,2.4,7,12.7,22.6
TXn,-25.1,2.9,4.2,3.3,5.4,2.8,5.3,6.2,9.6
TXx,31.1,1.6,2.4,2.1,3.3,1.6,3.1,3.6,5.8
txWSDI,3.6,12.1,18.3,15.9,27,12.6,27.7,36.8,74.4
pr95pDays,6.4,0.9,1,1.1,1.4,0.8,1.2,1.6,2.4
pr95pTOT,162.7,24.1,26.8,31.4,38.8,20.6,33.5,49.6,67.8
pr99pDays,1.3,0.2,0.3,0.2,0.5,0.2,0.4,0.5,0.8
pr99pTOT,48.2,8.4,9.1,10.8,16,6.2,13.3,21.3,32.7
prCDD,16.9,-1.5,-1.6,-1.6,-1.6,-1.6,-1.7,-1.6,-2
prCWD,7.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,0
PRCPTOT,737.5,48.9,50,51.2,65.6,45.5,60.6,75.4,106.3
R1mm,128,4,3.4,2.9,4,4,4.4,3.8,6.4
R5mm,47.9,3.1,2.8,2.4,3.6,2.7,3.4,3.6,5.5
R10mm,20.2,1.7,1.7,1.9,2.4,1.5,2.1,2.8,3.8
R20mm,4.9,0.6,0.7,0.9,1,0.5,0.8,1.3,1.7
R25mm,2.5,0.3,0.4,0.5,0.6,0.2,0.5,0.9,1.1
RX1day,37,0.5,0.7,0.8,1.7,0.2,1.3,2.6,4.3
RX5day,63.7,1.9,1.9,2,3.5,1.2,2.7,4.5,7.2
SDII,5.7,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.5
