Year,RCP26,RCP45,RCP60,RCP85
1981,-0.3,-0.5,-0.1,-0.3
1982,-0.3,0.3,-0.2,-0.4
1983,-1,-0.8,-1.1,-0.8
1984,-1.7,-1.3,-2,-1.1
1985,-1.1,-1.4,-0.4,-1.3
1986,-0.6,-0.8,-0.9,-0.7
1987,0.8,0.2,0.9,0.2
1988,-0.4,-0.7,-0.5,-0.5
1989,0.4,0.4,0.7,0.5
1990,1.1,0,1.3,0
1991,0.1,-0.4,-0.6,-0.5
1992,-1.5,-1.2,-1.8,-1.2
1993,-0.7,-0.4,-0.5,-0.3
1994,0.1,0,0.2,0
1995,-1.2,-0.7,-0.5,-0.6
1996,0.4,0.4,-0.7,0.2
1997,0.5,1.2,-0.2,0.9
1998,-0.5,-0.6,0.3,-0.5
1999,-0.4,0.5,0.4,0.2
2000,-0.3,-0.2,-0.5,0.1
2001,0.1,0.4,0.2,0.4
2002,0.6,0.3,1.1,0.1
2003,0,-0.1,1.6,0
2004,-0.5,-0.5,-0.8,-0.1
2005,1.2,1.5,1.2,1.3
2006,-0.3,0.1,1.2,0.6
2007,-0.1,0.4,2.5,0.4
2008,0.7,-0.6,1.4,0.5
2009,0.3,-0.1,1.8,0.4
2010,1,0,2.9,0.8
2011,0.3,0.2,0.6,0.5
2012,0.1,-0.2,0.2,-0.1
2013,0.2,0.8,1.4,0.3
2014,1.8,0.4,1.2,0.3
2015,0.1,0.5,0.6,0
2016,0.1,1,-1,0.6
2017,1,-0.1,0.4,0.8
2018,1,0.9,0.3,0.3
2019,0.3,-0.3,-0.5,0.1
2020,0.9,1.2,0.2,0.6
2021,1.2,0.7,0.4,0.3
2022,0.7,0.7,1.6,0.9
2023,1.4,0.7,1.8,1.8
2024,0.8,1,1.3,0.8
2025,1.5,0.6,1.6,0.9
2026,1.6,0.4,1.5,1.4
2027,1.7,0.8,0.9,2.1
2028,1.5,1.5,0.5,2
2029,1.2,0.6,2.3,1
2030,1.7,0.7,1.3,1.8
2031,2.2,1.3,-0.2,1.5
2032,2.1,2,0.7,1.9
2033,1.3,1.5,1.8,1.1
2034,1.7,0.7,-0.1,0.9
2035,2,0.7,4.5,1.9
2036,1.4,0.4,2.3,1.3
2037,1.4,1.3,2.1,1.1
2038,2.3,0.4,0.6,1.6
2039,1,3,2.3,2.1
2040,1.6,1.7,1.5,2.1
2041,2.3,0.2,2.3,2.2
2042,1.8,1.6,3.2,0.9
2043,1.3,1.1,3.2,2.1
2044,3,1.4,1.6,2.3
2045,3.4,1.8,1,2.2
2046,1.7,2.2,2.1,2.9
2047,1.3,1.5,2.4,2.4
2048,2.6,1,2.9,2.2
2049,1.6,2.1,1.8,1.1
2050,2.8,1.1,2,2.7
2051,0.5,1.5,2,2.8
2052,2.4,1.5,1.8,2.4
2053,0.9,1,3.1,1.9
2054,1.9,2.7,3.6,3.3
2055,1.9,2.8,0.5,1.8
2056,1,2.7,1.8,1.5
2057,1.9,2,2.2,3
2058,3.4,1.7,1.8,3.2
2059,0.8,1.1,3.4,2.8
2060,0,2,2.8,2.4
2061,1.7,2.7,2.2,2.7
2062,1.4,1.6,-0.3,2.1
2063,3.4,3,2.4,3.8
2064,2.4,2,2.6,2.9
2065,2.4,2.8,0.7,3.8
2066,2.5,1.3,0.5,2.5
2067,2.2,2.9,2.3,2
2068,1.5,2.8,3,4.2
2069,2.9,2.5,2,3.4
2070,2.8,0.8,3.1,3.9
2071,3,2.1,3,3.4
2072,1.5,1.9,3.1,2.7
2073,0.1,1.7,3.6,2.6
2074,3.1,2.8,2.1,4.5
2075,1.8,2.8,3.4,2.9
2076,1.4,0.9,2.7,3.1
2077,4,1.7,2.6,4.3
2078,3.6,2,2.5,3.1
2079,1.7,1.9,2.5,4
2080,1.8,3.1,4.6,3.1
2081,1.7,2.6,4.1,3.7
2082,0.9,1,4,3.6
2083,1.7,3.4,2.3,4.1
2084,1.6,3.8,2.6,4.7
2085,0.8,2.1,3.2,4.3
2086,1.4,2.2,2.8,4.1
2087,2.3,3.4,4,4.1
2088,1.8,2.3,3.3,4.1
2089,1.4,1.8,1.9,3.6
2090,2.1,2.1,2.3,4.8
2091,1.8,2.5,4.1,4.2
2092,1.4,2.8,1.7,5.4
2093,1.7,2.7,2.9,4.6
2094,1.3,2.8,2.4,4.9
2095,1.5,2.5,4.1,4
2096,0.4,1.9,2.3,4.3
2097,0.9,2.1,5.8,4.3
2098,2.7,2.3,5,4.7
2099,2.4,1.8,3.1,5.7
