Year,RCP26,RCP45,RCP60,RCP85
1981,-0.6,-1.1,-0.2,-0.5
1982,-1.4,-0.9,-1.6,-0.9
1983,-0.9,-0.3,-0.1,-0.4
1984,-1.8,-1.7,-1.3,-1.7
1985,-1,-1.2,-2.3,-1
1986,1,0.3,0.6,0.3
1987,1.8,0.4,2.5,0.4
1988,-1,-1,-0.4,-1.2
1989,-1.1,-0.4,1.5,-0.1
1990,1.4,0.5,2.9,0.4
1991,-0.1,0,-1.3,-0
1992,-2.4,-1,-3.5,-1.2
1993,-1.5,-1,1,-0
1994,0.4,1.2,-2,0.9
1995,-1.4,-1.2,-0.3,-1.2
1996,-0.1,-0.1,-0.8,-0.1
1997,0.9,0.5,0.3,0.8
1998,-0.2,-0.6,0,-0.5
1999,0.5,0.8,-0.2,0.7
2000,-0.1,-0.8,0.1,-0.4
2001,1.3,1,-1.4,0.9
2002,-0.5,-0.1,0.2,-0.1
2003,0.5,0.1,-0.3,0.3
2004,0,0.1,0.2,0.4
2005,0.3,0.5,0.8,0.5
2006,1.8,2.6,2.6,1.3
2007,-0.8,0.4,0.5,1.8
2008,2.6,2.1,0.5,0.6
2009,2.8,1,2.9,2.3
2010,3.1,2.9,4.6,1.8
2011,0,0.4,-0.2,2.5
2012,0.1,1.2,3.8,0.7
2013,1.4,0.6,2,1.5
2014,2.6,1,1.8,2.7
2015,1.1,1.6,1.8,-0.9
2016,1.1,2.1,-1.3,1.8
2017,1.3,-0.2,0.3,1
2018,0.8,1.6,1.3,2.4
2019,1.3,0.9,3.4,1.2
2020,3.1,3.7,1.4,1.5
2021,1.6,1.7,1.1,1.4
2022,3.5,2.9,2.9,1.4
2023,3.7,4.6,2.2,3.5
2024,2.9,1.6,-0.1,1.1
2025,1.1,3.8,1.7,2.1
2026,1.9,1.7,2.1,3.5
2027,2.6,1.6,3.1,2.9
2028,3.2,2.8,0.7,4
2029,4.1,2.4,3.6,3
2030,3.4,3,3,3.5
2031,1,2.3,-0.5,2.3
2032,5.1,2.8,1.1,3.3
2033,3.8,2.9,0.4,2.7
2034,2.4,1.9,2.2,3.3
2035,4.7,1.5,0.4,3.7
2036,4.5,2.4,3.2,2.1
2037,3,1.2,1.6,3.1
2038,4,2.4,1.7,4
2039,4.2,4.1,1.3,4.6
2040,3.2,2,2.2,4.1
2041,3,1,6.3,3.8
2042,2.6,2.5,3.8,3.5
2043,0.1,2.9,4.3,3
2044,3.9,3.5,5.7,3.9
2045,4.6,4,2.6,3.8
2046,3.9,5.1,4,3.7
2047,3.1,2.9,5.2,4.1
2048,8.4,2.3,3.6,5.7
2049,3.6,2.8,4.2,4.2
2050,3.1,2,4.3,3.9
2051,2.2,2.7,1.4,4.6
2052,3.7,3.8,4,5.2
2053,2.9,3,3.2,5.1
2054,4.1,4.9,5.6,5.4
2055,3.7,4,1.4,5
2056,2.7,2.6,5.1,4.1
2057,2.6,3.4,4.3,5.6
2058,3.8,3.2,4.4,4.4
2059,2.9,2.7,2.1,6.3
2060,0.2,3,6.2,4.6
2061,3.6,4.3,4.3,5.3
2062,3.4,2.8,6,6
2063,4,3.5,4.1,5.5
2064,2.1,4.2,4.5,5.7
2065,4.1,6.7,6.1,6.2
2066,2.1,3.6,2.7,6.4
2067,3.6,3.4,6,6.4
2068,1.8,4.7,4.7,6.8
2069,4.6,3.4,5.7,5.2
2070,3.9,3.9,5.5,5.5
2071,3.5,4.2,5,7.1
2072,4.3,3.7,2.5,5.4
2073,0.8,3.6,8.5,5.3
2074,5.4,4.2,6.6,6.2
2075,3.4,4,5.4,5.1
2076,1.4,3.8,5.2,6.5
2077,5,3.6,6.2,9
2078,3.9,4,4.1,5.2
2079,2.1,4.9,4.4,7.2
2080,2.1,5.9,9.2,7.3
2081,3.5,3.1,5.3,7.7
2082,2.4,3.9,5.9,7.6
2083,1.4,2.8,7.1,7
2084,2.2,5.4,6,7.8
2085,0.3,3.8,4,7.9
2086,2.8,4.3,1.9,7.1
2087,2.8,5,6.8,8.3
2088,2.2,3.7,5.5,8.5
2089,2.7,4.5,5.3,8.1
2090,3.5,3.5,4.7,6.6
2091,1.9,6.5,5.9,8.2
2092,3.3,5.5,5.4,10.7
2093,1.7,5.2,7.5,10.2
2094,3.8,4.2,6.6,8
2095,3.4,2.9,5.2,9.7
2096,1.3,2.9,5.9,8.2
2097,3.3,6.1,7.9,7.8
2098,3.2,3,6.4,8.6
2099,3.3,4,6.4,10
