Year,RCP26,RCP45,RCP60,RCP85
1981,1.6,1.9,0.3,1.9
1982,-2.4,-3.8,-2.6,-2.5
1983,-4.7,-4.7,-6.1,-4.7
1984,-2.9,-2.5,-5,-1.3
1985,0.4,1.4,1.5,1
1986,-5.9,-5.8,-5.7,-5.6
1987,-2.6,-2.7,-1.5,-2.4
1988,2.1,1.6,-1.5,1.1
1989,-0.8,-0.9,5,-0.8
1990,-0.5,0.9,-2.1,0.9
1991,1.5,2.6,-0,2.2
1992,-6.5,-7.6,-2.6,-7.8
1993,-4.6,-4.4,-3.8,-4.3
1994,-2,-1.8,-2.7,-0.9
1995,-1.8,-0.8,-3.2,-0.4
1996,0.6,0.9,1.8,1.4
1997,0.9,2.6,1.9,3.1
1998,1.5,1.3,1.6,0.3
1999,1.1,0.1,-0.8,0.3
2000,1.3,0.8,0.9,1.2
2001,0.7,-1.2,2.8,0.7
2002,2.4,1.4,1.3,1.4
2003,5.3,5.9,2.7,5.3
2004,3.5,3.7,1.4,3.5
2005,4.1,2.5,4.7,1.6
2006,4.7,-1.2,5.6,3.7
2007,0.8,3.1,4.1,5
2008,5.1,6.8,-1.3,6.5
2009,8.1,6.3,7.5,5.4
2010,6.4,8.2,6.2,6.2
2011,6.2,7.2,6.5,4.7
2012,8.6,8.7,7.6,7.8
2013,8.1,4.4,2.3,8
2014,10.2,7.4,8.1,7.4
2015,10.6,10.1,9,7.5
2016,10.4,6.6,5.6,10.1
2017,8.9,6.9,7,9.2
2018,8.5,6.9,8,10.1
2019,7,10.7,7.6,6.3
2020,8,5.8,9,13.3
2021,11.1,8.1,8.2,8.4
2022,8.1,7.2,8.6,12.2
2023,13.1,5.5,11.1,13.8
2024,12.7,9.7,6.9,15.2
2025,12.3,14.2,13.9,12.5
2026,11.3,10.1,11.9,9.9
2027,12.4,14.6,7.3,12.9
2028,10.4,11.1,8.8,12.5
2029,10.5,14,7.9,14.9
2030,12.8,12,11.3,17.3
2031,17.6,10.6,13.4,13.1
2032,9.5,15.9,11.9,16.9
2033,15.1,18.6,9.6,10.5
2034,14.9,15,11,16.4
2035,14.9,17.1,7.8,18
2036,12,14.4,7.5,19.3
2037,14.7,12.4,11.4,16.5
2038,11.9,17.4,16.7,21.7
2039,16.7,15,17.2,16.3
2040,12.3,15.6,13.4,17.9
2041,15.1,18.8,10.2,21.4
2042,20.9,21.9,12.6,21.6
2043,16.9,19.5,14.7,17.9
2044,12.3,19,15.1,18.2
2045,8.4,18.7,17.2,15.7
2046,12.2,21.3,15.1,21.1
2047,16.2,17.4,14,22.9
2048,12.7,19,9.4,24.3
2049,15.9,16.9,11,25.2
2050,14.8,16.5,12.6,24.3
2051,19,19.9,18.4,29.3
2052,14.3,23.1,17.8,26
2053,17.3,24.4,15.6,29.9
2054,17.2,19.5,18.6,31.7
2055,17.4,20.7,15,28.9
2056,15.3,19.3,20,27.8
2057,13.3,21.5,18.3,33.9
2058,15.4,25.3,19.1,33.7
2059,13.4,23.9,18.8,28.3
2060,19.2,26.1,19.8,30.5
2061,15.3,28.1,21.6,34.9
2062,14.1,26.7,27.4,35.5
2063,8.5,25.7,26.9,35.5
2064,15.9,23.7,24.3,35.6
2065,13.8,19.7,22.5,40.4
2066,13.1,22.8,28.4,35.8
2067,10.3,26.4,15.1,37.3
2068,17.2,26.8,25.3,39.8
2069,14.8,30.9,21.9,36.6
2070,15.7,28.1,21,34.8
2071,12.7,23,22,41
2072,16.1,25.4,23,41.2
2073,20.7,22.7,29.7,45.3
2074,15.4,25.7,30,43.1
2075,18.3,25.8,29.4,49.9
2076,15.1,26.6,28.3,41
2077,14.4,26.1,22.9,49.8
2078,8.7,30.6,33.4,50.5
2079,16.5,28.8,32,46.1
2080,13.5,31.3,34.6,50.8
2081,12.3,23.9,28.2,50.6
2082,15.8,33.2,23.8,48.3
2083,12.8,27.4,31.5,48.6
2084,16.7,25.5,37.1,50.7
2085,14,25.8,39.2,50.3
2086,16.1,22.2,38.1,56.4
2087,16.1,27,33.4,52.3
2088,13.6,24.5,33.3,53.5
2089,12.7,30.3,43.6,56.2
2090,17,26.5,32.1,58.1
2091,14.8,25.9,37.4,57
2092,16.1,28.4,37,57.8
2093,10.2,25.6,35.4,57.7
2094,9.5,30.7,39.3,60.2
2095,15,27,37.8,57.7
2096,12.4,27.9,34.4,58.7
2097,12.9,28.6,42.1,59.2
2098,17.3,26.6,35.2,63.4
2099,14.1,32.2,45.8,60.1
