Year,RCP26,RCP45,RCP60,RCP85
1981,0,-0,-1.6,-0.3
1982,-2.9,-1.6,-1.5,-1.6
1983,-0.4,-0.5,-1.1,-0.5
1984,-1.5,-0.7,-0.6,-0.5
1985,-0.4,-0.4,-1,-0.3
1986,-0.2,-0.7,-1.2,-0.7
1987,-0.3,-0,0.1,-0.1
1988,-1,-1,-1.2,-0.8
1989,0.4,-0.4,0.1,-0.4
1990,0.4,-0.1,-0.9,0.2
1991,0.2,-0,-0,0.1
1992,-0.4,-0.4,-0.3,-0.5
1993,0.8,0.5,0.7,0.3
1994,-1.2,-0,-0.3,-0
1995,-0.3,-0.5,-0.8,-0.5
1996,-1.2,-0.7,-1.1,-0.7
1997,0.2,0.4,0.4,0.5
1998,-0.4,-0.5,0.6,-0.4
1999,1.1,0.7,0.9,1.1
2000,0.5,0.7,-0.2,0.7
2001,-0.6,-0.5,0.2,-0.5
2002,0.1,0.4,0.1,0.3
2003,0.7,0.9,1.6,1
2004,-0.3,-0.1,0.1,-0
2005,1.4,1.4,1.6,1.3
2006,-0.1,1.3,0.7,0.7
2007,-0.5,0.9,-0,1
2008,-0.2,1,1.3,0.6
2009,1.2,0.2,-0.8,0.7
2010,0.7,0.9,2,0.5
2011,0.5,0.1,1.4,0.7
2012,1.2,0.6,1.6,-0
2013,0.8,0.1,1.5,1.5
2014,1.9,1.5,0.7,1.6
2015,1,0.9,-0.4,1.1
2016,0.9,1,0.3,1.1
2017,1.6,0.8,-0.9,2.2
2018,1.3,-0.4,2.9,1.9
2019,3,2,1.8,1.8
2020,2.1,2,0.9,2
2021,0.9,1.4,2.4,1.1
2022,2.4,1.6,1,1.9
2023,2.2,1.8,1.6,2.3
2024,2.2,0.9,1.7,2.6
2025,1.5,1.6,1.8,2.3
2026,1.4,1.8,2.7,2.5
2027,1,2.6,1.9,1.5
2028,2.2,2.1,2.3,2.1
2029,2.4,0.8,3.1,1.6
2030,1.4,1.9,2.4,2.8
2031,1.9,2.1,0.5,2.6
2032,1.8,1.4,1.4,3.4
2033,2.7,1.7,2.1,2.7
2034,2.2,3.1,3.4,2.5
2035,2.8,2.9,2.1,2.5
2036,2.7,2.5,1.6,4.1
2037,2.4,2.6,1.7,2.8
2038,3.6,3.3,1.9,3
2039,2.2,3.2,2.5,4.9
2040,2.4,3,1.7,2.8
2041,2.2,2.4,2.9,3.4
2042,3.4,2.9,3,3.9
2043,3,3.7,3.5,3.7
2044,1.3,3.1,3.3,4.3
2045,2.7,3.8,1.9,4.3
2046,3,3.9,3.3,3.9
2047,3.8,4.3,4.7,4.1
2048,3.2,4.3,2.5,5
2049,3.4,4.5,3.8,5.8
2050,3.4,4.1,3,6.3
2051,3.1,4.2,5,5.4
2052,3,4.8,3.3,5.4
2053,2.7,4.3,6,6
2054,4,3.8,6,6.1
2055,2.7,5,3.3,5.9
2056,2.8,5.4,5,5.6
2057,3.2,4.7,4.1,6.2
2058,2.5,3.9,2.3,6.7
2059,1.9,3.6,4,6.8
2060,3.3,4.2,4.5,7
2061,3.3,3.9,5.4,6.5
2062,3.1,4,5.8,6.2
2063,2.5,4.2,2.7,7
2064,2.9,5,4.1,7.3
2065,3.2,4.6,4.8,7.1
2066,3.5,5.8,5.1,7.6
2067,2.9,6.3,5.8,6.5
2068,2.7,5.3,5,7.5
2069,4.1,4.9,5.5,7.9
2070,2.6,4,4.6,7.1
2071,3.3,5.1,5.4,9
2072,2.3,4,5.1,8.2
2073,2.4,4.8,5.2,8.6
2074,3.9,5.3,6,7.7
2075,3.8,5.3,5.6,9.1
2076,3.6,5.5,5.7,9.3
2077,3.2,6.5,6.1,10.2
2078,2,5.5,6.4,9.2
2079,3.4,5,7.1,9.9
2080,2.7,5,7.3,10.3
2081,2.8,5.3,6.9,9.9
2082,3,6.5,5.7,10.3
2083,3.3,5.5,5.1,10.3
2084,1.6,6.1,6.8,10.7
2085,2.7,5.3,7.5,10.7
2086,3.4,5.5,7,9.5
2087,3.2,5,6.8,10.6
2088,3.6,5.9,8,11.3
2089,3.9,6,7.5,11.4
2090,3.2,6.9,7.8,11.5
2091,3.4,5,8.3,10.8
2092,3.2,6.1,8.5,11.2
2093,2.1,6.2,8,11.5
2094,2.5,5.9,8,11.3
2095,3.4,6.4,9.8,10.9
2096,3.6,6.6,7.5,12.5
2097,3.4,5.5,9.8,12.5
2098,2.6,4.8,6.9,12.9
2099,2.1,5.6,9.2,13.3
