Year,RCP26,RCP45,RCP60,RCP85
1981,0.5,0.4,0.4,0.4
1982,-0.5,-0.5,-0.1,-0.5
1983,-0.6,-0.7,-0.9,-0.8
1984,-0.7,-0.6,-0.7,-0.4
1985,0,0.1,-0.1,0.1
1986,-0.5,-0.5,-0.9,-0.5
1987,-0.4,-0.3,-0.1,-0.3
1988,-0.1,-0.1,-0.4,-0.1
1989,0.2,0.1,0.5,0.1
1990,-0.1,0.2,0.1,0.1
1991,0.1,0.2,-0.2,0.2
1992,-0.5,-0.6,-0.5,-0.7
1993,-0.2,-0.2,-0.2,-0.1
1994,0,-0,-0.4,-0
1995,-0.5,-0.5,-0.7,-0.4
1996,-0.1,0.1,0.3,0.1
1997,0.4,0.3,0.2,0.4
1998,0.2,0.2,0.5,0.2
1999,0,-0.3,0.1,-0.1
2000,0.4,0.4,0.3,0.4
2001,0.3,0.2,0.2,0.2
2002,0,0.1,0,-0
2003,0.2,0.3,0.2,0.3
2004,0.2,0.2,0.2,0.2
2005,0.3,0.2,0.2,0.1
2006,0.7,0.2,0.5,0.5
2007,0.6,0.4,0.8,0.4
2008,0.3,0.5,0.1,0.2
2009,1,0.8,0.6,0.3
2010,0.9,0.8,0,0.6
2011,0.3,0.5,0.8,0.5
2012,0.8,0.5,1.2,0.6
2013,0.7,0.7,0.3,0.5
2014,0.9,0.8,1,0.9
2015,0.8,0.9,0.7,0.9
2016,1,0.6,1.1,0.9
2017,1,0.6,1.6,1.1
2018,1.4,0.8,1.1,1.1
2019,0.8,1.2,1.1,0.7
2020,0.8,0.6,1,1
2021,1.6,1,0.9,1
2022,0.9,1.1,0.8,1.2
2023,1.6,0.7,0.8,1.6
2024,0.8,1.5,1.1,1.5
2025,1.2,1,0.8,1.3
2026,1,1.2,1.3,0.9
2027,1.6,1.9,1.1,1.3
2028,1.3,1.3,1.6,1.5
2029,0.8,1.4,1.2,1.2
2030,1.8,1.1,1.6,1.8
2031,1.2,1.2,1.1,1.7
2032,1.4,1.8,1.8,1.7
2033,1,1.9,1.4,2
2034,1.3,1.2,1.6,1.7
2035,1.7,2,1.5,1.9
2036,1.2,1.3,1.2,1.8
2037,1.7,1.4,1.5,2.3
2038,1.7,2.3,1.6,2.3
2039,1.8,1.3,1.2,1.8
2040,1.2,1.8,1.8,2.3
2041,1.2,1.7,1.1,2.3
2042,2.2,2.4,2,2.6
2043,1.4,1.7,1.5,2.2
2044,1.5,1.8,1.8,1.9
2045,1.5,2,2,2.4
2046,1.5,2.1,2.2,2.6
2047,1.7,2.3,1.9,2.9
2048,1.5,2.2,2,2.6
2049,1.7,1.9,1.5,2.7
2050,1.7,1.3,2,2.4
2051,2,2.3,2.3,3
2052,1.7,2.4,2.3,2.4
2053,1.9,2.9,2,3.7
2054,1.8,2.4,2.3,3.4
2055,1.4,1.7,2.2,2.8
2056,1.1,1.7,2.4,3.3
2057,1.2,2.1,1.9,3.3
2058,1.8,2.1,2.7,3.7
2059,1.4,2.6,1.9,3.6
2060,1.9,2.3,1.8,3.5
2061,1.8,3.3,3,3.8
2062,1.2,2.2,2.3,3.7
2063,1.3,2.8,2.4,3.9
2064,1.6,2.6,2.6,3.7
2065,1.8,2.2,2.6,4.1
2066,1.7,2.9,2.7,4.1
2067,1.6,2.7,2,3.9
2068,1.5,3,2.7,4.3
2069,1.4,2.9,2.1,4.2
2070,1.6,3.1,2.3,4.1
2071,1.3,2.4,3,4.3
2072,1.1,2.1,2.4,4.4
2073,1.7,2.7,3.4,4.6
2074,1.8,2.7,4,4.8
2075,1.8,2.8,2.8,5.1
2076,1.2,2.9,3.8,4.6
2077,2.1,2.8,2.8,4.8
2078,1.3,2.8,3.1,5.2
2079,1.9,3.4,3.4,5.2
2080,1.5,2.8,3.6,4.6
2081,1.3,2.8,3.6,5.4
2082,1.6,3.9,2.7,5
2083,1.2,3,3.5,5.1
2084,1.3,3,3.7,5.2
2085,1.9,3.4,4.2,5.3
2086,1.6,2.5,3.3,5.7
2087,1.7,2.6,4.1,5.5
2088,1.2,2.9,3.5,5.9
2089,1.9,3.4,4.4,6.3
2090,1.5,2.8,3.2,6.1
2091,1.5,2.6,3.6,5.8
2092,1.8,2.8,4,6.2
2093,1.5,2.7,3.1,5.8
2094,1.5,2.9,3.9,5.7
2095,1.3,3,3.6,6
2096,1.6,3.2,4,6.1
2097,2,3.1,4.2,7.1
2098,1.6,3.1,3.6,6.9
2099,1.2,3.1,5,6.7
