Year,RCP26,RCP45,RCP60,RCP85
1981,0.3,0.2,0.3,0.2
1982,-0.3,-0.4,-0.1,-0.3
1983,-0.4,-0.7,-1,-0.7
1984,-0.6,-0.6,-1.1,-0.6
1985,0,-0.1,-0.1,-0.2
1986,-0.3,-0.4,-0.6,-0.4
1987,-0.4,-0.4,-1.2,-0.4
1988,0,-0.1,-0.4,-0.1
1989,0.3,0,0.8,-0.1
1990,0,0.1,0.2,0
1991,0.1,0,-0.1,0
1992,-0.5,-0.5,-0.9,-0.5
1993,-0.4,-0.4,-0.4,-0.5
1994,-0.3,-0.3,-0.7,-0.3
1995,-0.4,-0.3,-1,-0.3
1996,0.2,0.3,-0.2,0.3
1997,0.2,0.2,0.2,0.3
1998,-0.1,0,0.3,-0.1
1999,-0.1,-0.2,0.8,-0.1
2000,0.2,0.2,0.3,0.2
2001,0.5,0.4,1,0.4
2002,0.3,0.3,0.6,0.2
2003,0.3,0.5,0.8,0.4
2004,0,0,-0.1,0
2005,0.3,0.3,1,0.2
2006,0.3,0.1,0.5,0.4
2007,0.4,0.8,1.1,0.5
2008,0.4,0.6,-0.1,0.3
2009,1.1,0.9,1.9,0.3
2010,0.9,0.9,0.3,0.8
2011,0.8,0.4,1.4,0.8
2012,1,1,2.9,0.7
2013,1.2,1.3,0.2,1.1
2014,1.8,1,2.2,1.2
2015,0.9,1,2.4,1.1
2016,1.6,1,1.7,1.2
2017,1.4,0.7,2.5,1.6
2018,1.6,1.4,3.1,1.4
2019,1.4,1.7,2.3,1.2
2020,1.3,0.9,2.9,1.2
2021,1.9,1.7,1.5,1.5
2022,1.3,1.4,1.9,1.8
2023,2.2,1,1.2,2.7
2024,1.9,2.1,1.8,2.3
2025,2,1.6,2.9,2.8
2026,1.4,1.7,2.7,1.7
2027,3,3,3.3,2.5
2028,2,1.7,2.6,2.8
2029,1.6,2.9,2.9,2.2
2030,2.1,1.5,2.4,3.4
2031,2.3,1.8,4.2,2.9
2032,1.9,3.7,4,3.7
2033,2.2,3.7,3.8,3.3
2034,2,2,3,3.7
2035,2.7,3.7,3.1,3.5
2036,2.5,2.3,3.4,4.4
2037,2.7,2.1,2.9,4.2
2038,2.4,5,3.2,5.5
2039,2.6,2.4,4.6,3.9
2040,3.1,3.5,4,4.7
2041,2.3,2.9,3.7,6.7
2042,3.3,4.4,5.5,5
2043,2,3,4.6,5
2044,2.6,3.9,5.3,4.5
2045,2.6,4,4.5,5.2
2046,2.9,4,4.1,5.8
2047,3.1,4.3,5.2,7.5
2048,3,4.4,3.9,6
2049,2.3,3.6,3,6.8
2050,2.6,3.4,4.8,5.8
2051,3.4,5.4,5,8.1
2052,3.2,5.2,5.9,6.9
2053,3.3,5.5,2.8,9.9
2054,2.2,4.7,5.5,9.5
2055,2.1,4.4,4.6,8.1
2056,2.5,4.1,7.2,10.2
2057,2.5,4.2,6.7,9.7
2058,2.6,5.1,6.1,9.6
2059,2.2,5.8,8.1,10
2060,3,6.2,6.4,9.6
2061,2.3,7.3,7.8,12.2
2062,3.1,5.4,7.4,13.5
2063,2.2,6,9.3,12.6
2064,3,5.7,7.7,12.5
2065,3.7,5.3,8.6,14.5
2066,2.5,6.6,7.7,12.5
2067,2.9,6,5.8,14.4
2068,3.6,6.5,10.5,15.2
2069,2.3,6.9,7.4,13.4
2070,3.7,7.2,7,12.4
2071,3.3,5.9,10.7,16.5
2072,2.2,5.4,9.1,15.8
2073,3.5,8.7,11.7,18.4
2074,3.7,6,11.8,17
2075,3.4,7.3,8.4,21.8
2076,2.7,7.4,11.4,18.6
2077,2.5,7.3,9,19.1
2078,2.6,7.9,11,19.6
2079,3.3,8.1,12.6,21.5
2080,2.4,8,11.7,21.1
2081,1.8,8.5,12.5,22.2
2082,2.7,11,6.8,20
2083,2.6,7.3,14.1,21.2
2084,2.3,7.6,10.9,22.5
2085,2.6,8.8,16.4,22.4
2086,2.8,8,13.4,26
2087,3.2,7.5,16.6,24
2088,2.4,6.2,12.6,24.5
2089,2.6,8.8,15,25.2
2090,2.8,7.4,13.8,26.6
2091,2.7,6.9,13.6,29.1
2092,2.7,7.1,16.3,30.6
2093,2.5,7.4,11.4,28.4
2094,2.6,7.9,16.9,30
2095,2.1,8,16.1,30.9
2096,2.4,8.8,17,29.4
2097,2.8,8.1,16.1,33.5
2098,2.7,7.6,14.6,33.1
2099,2.6,7.8,21.1,29.8
