Year,RCP26,RCP45,RCP60,RCP85
1981,-0.2,-0.1,-1.2,-0.3
1982,-2.6,-1.3,-1.8,-1.4
1983,-1.5,-1.1,-1.7,-1.1
1984,-1.8,-1.2,-1.9,-1.1
1985,-1.3,-1.2,-2.8,-0.8
1986,-0.3,-0.8,-0.6,-0.6
1987,-0.3,0.1,0.3,0
1988,-0.5,-0.3,-1,-0.2
1989,-0.4,-0.9,-0,-0.9
1990,1,0.8,-0.8,0.9
1991,-0.8,-0.8,-0.2,-0.8
1992,0.1,0,-0.4,-0.1
1993,0.5,0.4,0.2,0.2
1994,-0.5,-0.2,-0.1,-0.3
1995,-0.5,-0.7,-1.4,-0.7
1996,-1.3,-0.7,-1.4,-0.6
1997,0.1,0.1,-0.5,0.3
1998,-0.3,-0.4,-0,-0.3
1999,1.6,0.4,1.9,0.5
2000,1.6,1.5,0.8,1.3
2001,-1.4,-1.5,-0.1,-1.4
2002,0.5,0.9,0.3,0.4
2003,0.2,0.8,1,0.8
2004,0.5,0,1.1,0
2005,1.1,1,1,0.9
2006,0.2,1.3,0.9,0.8
2007,0.2,1.8,1.3,1.5
2008,0.1,0.5,1.6,-0.4
2009,1.1,0.4,-0.4,0.2
2010,1.2,1.7,2,1
2011,1,-0.2,2.1,0.3
2012,2.1,0.4,1.2,1.4
2013,1,0,1.2,1.5
2014,2.1,1.5,0.8,1.8
2015,1.2,0.9,-1.4,1
2016,0.8,1.4,0.5,0.9
2017,1.5,0.7,-1,2.4
2018,1.7,-0.2,2.7,1.6
2019,2.6,1.7,0.8,1.5
2020,2.5,1.7,0.6,2.3
2021,1.2,1.2,2.2,0.7
2022,2.1,1.2,1.1,1.8
2023,2.4,1.2,2.6,2.1
2024,1.3,0.7,1.7,2.3
2025,1.2,1.7,2.1,2.4
2026,1.3,1.9,2.6,2.5
2027,1.3,3.2,0.9,1.6
2028,2.3,2.6,1.9,1.9
2029,1.1,0.2,2.8,1.2
2030,0.4,1.4,1.3,3
2031,1.2,1.8,-0.1,2.7
2032,1.7,1.2,1.3,3.3
2033,2.6,1.4,1.6,2.1
2034,2.2,3.1,3.3,2.5
2035,2.1,2.9,2,2.4
2036,3.3,2.5,1.4,3.6
2037,2.3,3.5,1.6,2.3
2038,3,3.4,0.9,3.5
2039,2.3,3,2.2,4.8
2040,1.9,2.9,2.2,2.2
2041,2,2.4,2.7,3.1
2042,2.9,2.6,3.2,3.8
2043,3.1,3.6,3.4,4.1
2044,1.5,2.9,2.8,4.1
2045,2.7,3.5,2.4,4.7
2046,2.2,3.7,1.8,4.1
2047,3.6,4.4,4.3,3.6
2048,1.9,4.6,1.3,4.4
2049,2.3,3.7,2.7,4.6
2050,4.1,4.4,2.5,5.7
2051,2.7,3.7,4.8,5.2
2052,3.1,4.5,2.4,5
2053,2.7,4.3,4.7,5.2
2054,2.4,3.1,5.6,5
2055,3.1,4.8,3.4,5.3
2056,2.5,4.4,4.3,5.2
2057,2.9,4.1,3.9,5.5
2058,2.5,3.7,2.4,5.8
2059,2.9,3.8,3.1,6.9
2060,3.1,4.1,3.3,5.6
2061,3.1,3.4,4.2,5.4
2062,3.3,4.6,4.5,5.6
2063,2.7,5,1.9,7.1
2064,3.1,4.5,3.4,6.8
2065,3.4,4.4,3.9,6.5
2066,4.2,6,4.8,7.1
2067,2.2,5.4,4.5,6.4
2068,3.7,5,4,7.3
2069,3.2,4.1,4.6,7.4
2070,3.2,3.9,4.4,7
2071,3.6,4.6,5.1,8.2
2072,2,4.2,5.3,7.3
2073,2.8,3.8,4.8,7.6
2074,2.9,4.5,6.1,6.9
2075,3.6,4.6,6.5,8.2
2076,3.1,4.1,6.4,8.7
2077,2.8,5.5,4.9,9.5
2078,2.7,5.1,5.6,9
2079,2.7,4.1,5.7,8.8
2080,2.7,4.8,6,9.2
2081,1.8,4.9,6.1,9.6
2082,2.9,6.1,5.4,9.5
2083,2.3,5.7,5.6,9.8
2084,1.9,5.8,6,9.8
2085,2.6,4.8,5.5,8.9
2086,2.9,5.1,6.4,9.1
2087,3.2,4.4,6.4,9.3
2088,3.6,5.9,7.3,10.3
2089,3.7,5.8,6.4,11
2090,2.7,5.9,7.2,10.1
2091,2.8,5,7.4,10
2092,2.2,5.7,6.6,9.8
2093,2.1,5.6,7.8,9.9
2094,1.7,5.7,7.3,10.3
2095,2.7,5.4,7.5,10.6
2096,3.8,6.2,6.6,10.9
2097,2.4,5.1,8.2,11.1
2098,2.4,5,5.3,10.8
2099,1.7,5.7,8.2,12.2
