Year,RCP26,RCP45,RCP60,RCP85
1981,-0.2,-0.2,0.2,-0.2
1982,-0.1,-0.1,-0,-0.1
1983,-0.2,-0.9,-1,-0.9
1984,-0.6,-0.5,-0.4,-0.5
1985,0.1,0.3,0.3,0.3
1986,-0.8,-0.7,-0.4,-0.7
1987,-0.4,-0.3,-0.1,-0.3
1988,-0.1,-0,-0.8,-0
1989,0.3,0.3,0.9,0.1
1990,-0.1,0.1,-0.4,0.2
1991,0.5,0.4,0.6,0.5
1992,-0.6,-0.7,-0.6,-0.8
1993,-1,-0.6,-1,-0.5
1994,-0,-0.1,-0.2,-0.1
1995,-0,0.1,-0.3,0.1
1996,0.4,0.4,0.7,0.4
1997,-0.3,-0.3,0.4,-0.2
1998,0.1,0.1,0.3,0.1
1999,-0.3,-0.5,-0.3,-0.4
2000,0.6,0.6,0.3,0.5
2001,0.3,0.1,0.4,0.3
2002,0.2,-0,0.3,-0
2003,0.7,0.7,0.1,0.7
2004,0.7,0.6,0.8,0.5
2005,0.3,0.1,0.1,0.1
2006,0.9,0.2,0.7,0.7
2007,0.7,0.9,1,0.4
2008,0.8,0.7,-0,1
2009,1.2,0.9,0.4,0.6
2010,0.8,0.9,0.7,0.9
2011,0.9,0.9,1.1,0.9
2012,1.2,0.9,1.2,0.9
2013,0.7,0.9,0.7,0.9
2014,1,1.4,1.3,1.4
2015,1,0.9,0.9,0.8
2016,1.5,0.3,1.3,1.1
2017,1.5,1.1,2.2,1.4
2018,0.7,0.7,0.9,1
2019,0.9,1.3,1.6,1.1
2020,1.2,0.7,1.4,1.6
2021,1,1.1,0.9,0.9
2022,0.7,0.9,1.3,1.2
2023,1.4,0.7,1.4,1.7
2024,1.5,1.7,0.7,2.4
2025,1.3,1.7,1.2,2
2026,1.4,1.1,1.5,0.8
2027,1.6,1.9,1.7,1.2
2028,1.8,1.3,2.2,2
2029,0.9,1.8,0.7,1.4
2030,1.7,1.4,1.1,1.9
2031,1.7,1,1.7,1.9
2032,1.4,1.8,1.6,2
2033,1.5,2.4,1.8,1.9
2034,1.5,1.3,1.9,1.5
2035,1.4,2.1,2,1.9
2036,1.4,1.6,1.1,2.3
2037,1.7,1.7,0.8,2.4
2038,1.7,2.5,1.8,2.5
2039,2.1,1.6,1.8,1.7
2040,1.5,2.3,1.8,2.7
2041,1.7,2.4,1,2.6
2042,2.3,3,2.5,2.9
2043,1.6,2,1.6,2.3
2044,1.3,1.7,2,2
2045,1.8,2.1,1.4,2.3
2046,2.1,2.4,2.2,3
2047,1.3,2.1,1.8,2.9
2048,1,2.7,2.6,2.8
2049,1.5,2,1.4,2.8
2050,1.7,1.8,1.3,3
2051,2.8,3,2.6,3.7
2052,1.6,2.8,2.6,2.8
2053,1.9,3.3,1.6,4
2054,2.2,2.9,2,3.7
2055,1.5,2.3,2.1,3.2
2056,2.2,2.1,2.2,3.7
2057,1.3,2.3,2.8,3.6
2058,1.6,2.2,2.6,3.9
2059,1.6,2.8,3.1,3.9
2060,2.5,2.7,3,3.9
2061,2,3.6,3.3,4.4
2062,1.8,2.7,2.6,3.7
2063,1.6,3,2.6,3.8
2064,1.7,2.8,2.2,4
2065,1.9,2.2,3.2,4.6
2066,1.8,2.8,3.1,4.8
2067,1.6,3.1,2.1,4.7
2068,1.5,2.7,2.6,4.7
2069,1.5,3,2.6,4.2
2070,2,3.8,2.2,4.5
2071,1.9,2.8,2.9,4.2
2072,1.4,2.6,2.7,4.9
2073,2.3,2.5,2.9,5
2074,1.9,3.2,3.2,5.2
2075,1.6,3.4,3,5.7
2076,2.1,3.3,4.5,5.4
2077,2.4,3.6,3.4,5.6
2078,1.3,3.4,2.9,5.6
2079,2.5,4.4,3,5.8
2080,1.2,3.4,3.4,5.6
2081,1.6,2.9,3.6,6.2
2082,1.8,4.1,3.5,5.7
2083,1.3,3.7,4,5.7
2084,1.7,2.8,5.1,5.9
2085,1.5,3.6,3.7,6
2086,2.4,2.8,3.8,6.6
2087,2.1,2.8,4.9,6.1
2088,1.6,2.7,3.4,6.1
2089,2.2,3.6,5,6.5
2090,1.4,3.2,3.6,6.7
2091,2,3.1,4.1,6.5
2092,1.6,3.3,5.2,6.7
2093,1.9,3.4,3.1,6.3
2094,1.5,3.2,4.3,5.7
2095,1.4,3.3,4.2,6.7
2096,1.2,3.6,4.5,6.3
2097,2.4,3.8,4.3,7.8
2098,1.8,3.2,3.8,7.6
2099,1.4,3.6,5.8,7.9
