Year,RCP26,RCP45,RCP60,RCP85
1981,0.1,0.1,0.1,-0.1
1982,-0.6,-0.6,-0.6,-0.6
1983,-0.8,-0.8,-1.3,-0.8
1984,-0.6,-0.6,-0.6,-0.6
1985,-0.5,-0.6,-0.3,-0.7
1986,-0.7,-0.8,-0.7,-0.8
1987,-0.3,-0.3,-0.1,-0.3
1988,-0.6,-0.5,-0.3,-0.3
1989,-0.2,-0.5,-0,-0.5
1990,-0.1,0,-0.2,0.1
1991,0.2,0,0.2,0
1992,-0.6,-0.7,-0.7,-0.6
1993,-0.2,-0.1,-0.2,-0.1
1994,-0.3,0.4,-0.4,0.1
1995,-0.4,-0.2,-0.4,-0.2
1996,0.1,0.1,0.1,0
1997,0.2,0.1,0.3,0.3
1998,-0.1,-0.1,-0.1,-0.1
1999,0.5,0.3,0.5,0.2
2000,0.3,0.5,0.3,0.5
2001,0.2,0,0.3,0.2
2002,0.5,0.5,0.3,0.4
2003,0.6,0.5,0.6,0.3
2004,0.6,0.4,0.6,0.4
2005,0.1,0.1,0.2,0.1
2006,0.5,0.7,0.5,0.5
2007,0.3,0.5,0.5,0.5
2008,0.4,0.5,0.6,0.9
2009,0.9,0.1,0.2,0.6
2010,0.8,0.6,1.1,0.4
2011,0.5,0.9,0.9,0.5
2012,0.8,0.5,0.9,0.8
2013,0.7,0.5,0.9,0.9
2014,1.1,0.7,1.1,1.1
2015,1,0.6,0.5,1.1
2016,1.4,1.1,0.7,1.3
2017,0.8,0.9,0.7,1.4
2018,1.3,0.9,1.1,1
2019,1.4,0.8,0.9,1
2020,1.2,0.5,0.5,1
2021,1.5,0.9,1.4,0.7
2022,1.4,1,1.3,1.3
2023,1.3,1,1,1.6
2024,1.4,1.6,1.1,1.3
2025,1.3,1.4,1.4,1.6
2026,0.8,1.5,1.6,1
2027,1.6,1.5,1.6,1.4
2028,1.4,1.5,1.3,1.5
2029,1.5,1.3,1.5,1.7
2030,1.3,1,1.7,1.9
2031,1.4,1.3,1,1.3
2032,1.5,1.3,0.8,1.8
2033,1.2,2.1,1.2,1.9
2034,1.8,1.8,1.8,1.7
2035,1.5,1.8,1.5,1.8
2036,1.6,1.7,1.4,1.8
2037,1.7,1.5,1,2
2038,1.8,2.1,1.7,2.4
2039,1.8,1.9,1.9,2.2
2040,1.8,2,1.8,2.1
2041,1.9,2.1,1.1,2.1
2042,1.6,2,1.7,2.1
2043,1.7,2.4,1.9,2.4
2044,1.4,2.1,1.7,2.2
2045,1.4,2.3,1.9,2.4
2046,1.9,2,1.9,2.5
2047,1.6,2.3,1.7,2.5
2048,2.2,2.1,2,2.6
2049,2.1,2.1,1.5,2.9
2050,2.1,1.7,1.9,3
2051,2,2.4,2.3,3.1
2052,1.5,2.3,2.2,3
2053,1.6,2.9,2.3,3.3
2054,1.5,2.6,2.9,3
2055,2,2.9,1.8,3.5
2056,1.7,2.6,2.4,3.3
2057,1.6,2.4,2.1,3.2
2058,2,2.7,1.9,3.9
2059,1.7,2.7,2.3,3.6
2060,1.7,2.6,2.3,3.7
2061,2,2.9,2.4,3.6
2062,1.9,3.1,2.8,3.6
2063,1.5,2.6,2.1,4
2064,2.1,2.9,2.6,4.3
2065,1.9,2.7,2.7,4.2
2066,2.1,3.1,3.1,4.2
2067,1.9,3.2,3.2,3.7
2068,2.2,2.8,2.4,4.3
2069,2.1,2.9,3.8,4.7
2070,1.7,2.4,3,4.2
2071,1.8,3.2,2.5,4.7
2072,2,2.9,2.6,4.6
2073,1.9,3.2,3.4,4.6
2074,1.7,2.7,3.2,4.9
2075,2.4,3.4,3.4,4.8
2076,2.1,3.2,3,5
2077,1.9,3.1,2.8,5.3
2078,1.8,3.6,3.4,5.2
2079,1.9,3.5,3.7,5.2
2080,1.8,3.2,4.2,5.4
2081,1.7,3.4,3.6,5.5
2082,1.9,3.8,3.1,5.4
2083,2,3.4,3.1,5.5
2084,2.2,3.4,4.3,5.6
2085,1.5,2.6,3.4,5.3
2086,1.6,3.3,4.3,5.5
2087,2.2,3.4,4,5.9
2088,2.1,3,4.2,5.8
2089,1.6,3.5,4.1,5.6
2090,1.9,3.3,3.7,6
2091,1.9,3.4,4.8,6.4
2092,1.8,3.7,3.6,6.2
2093,1.3,3.3,3.3,6.2
2094,1.5,3.1,4.2,6.5
2095,1.5,3.3,4.5,6.2
2096,1.9,3.3,4.4,6.6
2097,1.9,4,4.5,6.6
2098,2,3.3,3.5,6.7
2099,1.6,3.6,4.7,6.8
