Year,RCP26,RCP45,RCP60,RCP85
1981,0.1,0,0,-0.2
1982,-0.6,-0.5,-0.6,-0.3
1983,-0.9,-0.9,-1.4,-0.8
1984,-0.7,-0.8,-0.7,-0.5
1985,-0.3,-0.4,-0.3,-0.5
1986,-0.6,-0.7,-0.8,-0.7
1987,-0.1,-0.3,-0.2,-0.2
1988,-0.7,-0.3,-0.3,-0.3
1989,-0.1,-0.3,-0.1,-0.1
1990,0.2,0.2,-0.2,0.2
1991,0.5,0.2,0,0.2
1992,-0.6,-0.6,-0.7,-0.6
1993,-0.5,-0.4,-0.1,-0.2
1994,0.1,0,-0.5,-0
1995,-0.2,-0.2,-0.5,-0.2
1996,-0.2,-0.2,0,0.2
1997,-0,0,0.3,0.3
1998,0.4,0.2,-0.1,0.2
1999,0.4,0.3,0.4,0.3
2000,0.5,0.6,0.2,0.6
2001,-0.3,-0.5,0.4,-0.3
2002,0.4,0.5,0.5,0.6
2003,0.4,0.2,0.7,0.2
2004,0.3,0.3,0.6,0.4
2005,0.6,0.5,0.2,0.4
2006,0.2,0.9,0.5,0.4
2007,0.4,0.7,0.6,0.5
2008,0.8,0.3,0.6,1
2009,1.1,0.4,0.1,0.3
2010,0.8,0.6,1.1,0.5
2011,0.5,0.6,0.9,0.4
2012,1.2,0.6,0.8,0.7
2013,1.3,0.6,0.8,0.8
2014,1.3,0.7,1.3,1.1
2015,1.2,0.6,0.6,0.6
2016,1.3,0.8,0.6,1.1
2017,1.4,0.9,0.7,1.3
2018,1,0.7,1,1.1
2019,1.5,1.1,0.9,0.8
2020,1.3,0.8,0.5,1.1
2021,1.2,0.9,1.5,0.9
2022,1.3,1,1.3,1
2023,1.5,0.9,1,1.7
2024,1.8,1.8,1.1,1.2
2025,1.4,1.4,1.6,1.1
2026,1.2,1.3,1.6,1.2
2027,1.7,1.7,1.7,1.6
2028,1.7,1.5,1,1.5
2029,1.7,1.4,1.6,1.9
2030,1.4,1,1.7,2
2031,1.6,1.2,0.9,1.4
2032,1.3,1.3,0.9,1.7
2033,1.6,2.3,1.3,1.8
2034,1.5,1.6,1.9,1.8
2035,1.8,1.7,1.5,2
2036,1.8,1.8,1.6,2.2
2037,1.6,1.6,1.2,2
2038,1.8,2.3,1.7,2.4
2039,1.8,1.9,1.9,2.4
2040,2,2.1,2,1.9
2041,1.8,2.4,1.1,2.3
2042,2.1,2.1,1.8,2.5
2043,1.7,2.4,1.9,2.7
2044,1.4,2.3,1.8,2.5
2045,1.9,2.3,2.1,2
2046,2.2,2.4,2.1,2.7
2047,2,2.2,2,2.5
2048,2.1,2.1,2.1,2.7
2049,1.8,2.1,1.7,3
2050,2,2,2.1,2.7
2051,2.1,2.5,2.4,3
2052,2.1,2.6,2.3,3
2053,1.7,2.6,2.5,3.7
2054,2.1,2.3,2.9,3.3
2055,2.1,2.5,1.9,3.4
2056,1.9,2.8,2.5,3.4
2057,1.8,2.5,2.4,3.4
2058,1.7,2.5,2.1,3.7
2059,2.1,2.6,2.4,3.9
2060,1.9,2.8,2.4,3.7
2061,1.8,2.7,2.6,4
2062,2.1,3,2.8,4
2063,2,2.8,2.1,4
2064,2.4,3.1,2.6,4.3
2065,2.4,2.6,3.1,4.4
2066,1.7,3.1,3.1,4.6
2067,1.8,3.5,3.1,4.2
2068,2.4,3.4,2.7,4.7
2069,2.1,3.2,3.8,4.8
2070,2.1,2.9,3.1,4.6
2071,1.9,3.3,2.6,5.4
2072,2,3,2.7,4.9
2073,1.9,3.3,3.7,4.9
2074,2.3,3.1,3.3,5
2075,1.8,3.1,3.7,5.3
2076,2.2,3.3,3.2,5.3
2077,2.1,3.2,2.9,5.7
2078,1.9,3.1,3.4,5.7
2079,1.9,3.2,3.9,5.6
2080,2.2,3.5,4.3,5.6
2081,1.8,3.7,3.6,5.9
2082,1.9,3.8,3.3,5.8
2083,2,3.5,3.3,6.1
2084,1.7,3.6,4.2,5.9
2085,1.7,3.1,3.5,5.8
2086,2.2,3.3,4.4,5.9
2087,2,3.4,3.7,6.4
2088,2.3,3.2,4.4,6.3
2089,2,3.5,4.1,6
2090,1.8,3.5,3.9,6.5
2091,2,3.4,4.7,6.5
2092,1.9,3.7,3.7,6.8
2093,1.5,3.3,3.6,6.8
2094,1.4,3.3,4.3,6.9
2095,1.6,3.6,4.8,6.5
2096,1.8,3.7,4.6,6.8
2097,2,3.8,4.6,7
2098,2,3.2,3.7,7.2
2099,2,3.4,5,7
