Year,RCP26,RCP45,RCP60,RCP85
1981,0.2,-0.1,0.2,-0.2
1982,-0.3,-0.4,-0.6,-0.4
1983,-0.7,-0.7,-1.2,-0.7
1984,-0.4,-0.5,-0.6,-0.5
1985,-0.2,-0.3,-0.4,-0.4
1986,-0.9,-0.9,-0.7,-0.8
1987,-0.4,-0.3,-0.1,-0.3
1988,-0.3,-0.3,-0.2,-0.3
1989,-0.1,-0.4,-0,-0.4
1990,0.3,0.2,-0.1,0.2
1991,0.2,0.1,0.2,0.1
1992,-0.5,-0.7,-0.7,-0.6
1993,-0.3,-0.4,-0.3,-0.4
1994,-0.1,0.2,-0.3,0.1
1995,-0.2,-0.2,-0.4,-0.2
1996,0.2,0.1,0.1,0.1
1997,-0,-0.1,0.5,0
1998,0.2,-0.1,-0,-0.1
1999,0.5,0.2,0.6,0.2
2000,0.6,0.5,0.3,0.5
2001,0.2,-0.1,0.3,0
2002,0.3,0.4,0.2,0.3
2003,0.6,0.5,0.5,0.3
2004,0.3,0.4,0.7,0.4
2005,0.3,0.1,0.1,0.1
2006,0.4,0.6,0.5,0.5
2007,0.3,0.3,0.3,0.4
2008,0.5,0.3,0.5,0.8
2009,0.9,0.2,0.5,0.5
2010,1,0.6,0.9,0.4
2011,1,0.8,0.9,0.6
2012,1,0.6,1,0.7
2013,1.1,0.5,0.9,1.1
2014,1.1,0.9,0.9,1.1
2015,0.9,0.7,0.5,0.9
2016,1.2,0.9,0.8,1.1
2017,1.2,0.7,0.6,1.2
2018,1.4,0.7,1.2,0.9
2019,1.3,0.9,1,0.9
2020,1.2,0.4,0.7,1.3
2021,1.8,0.9,1.3,0.8
2022,1.4,0.9,1.3,1.4
2023,1.5,1.1,1,1.4
2024,1.4,1.5,0.7,1.4
2025,1.7,1.5,1.4,1.6
2026,1.1,1.2,1.7,0.8
2027,1.4,1.7,1.3,1.4
2028,1.6,1.5,1.2,1.6
2029,1.4,1.3,1.3,1.7
2030,1.6,1,1.4,2
2031,1.6,1.4,1.3,1.2
2032,1.7,1.6,0.9,1.7
2033,1.4,1.9,1.3,1.7
2034,1.6,1.8,1.8,1.6
2035,1.4,1.7,1.4,1.9
2036,1.7,1.6,1.1,1.7
2037,2,1.4,1.1,1.8
2038,1.6,2.1,1.6,2.2
2039,2,1.8,1.8,2.3
2040,1.4,1.6,1.5,2
2041,1.9,2.1,1.1,2
2042,1.8,2.2,1.5,2.1
2043,1.9,2.2,1.8,2.2
2044,1.4,2.1,1.7,2.3
2045,1.5,2.4,1.8,2.3
2046,1.9,2.2,1.6,2.3
2047,1.6,2.2,1.2,2.5
2048,1.9,2.1,1.7,2.7
2049,2.1,2,1.4,2.8
2050,1.9,1.9,1.7,2.7
2051,2.4,2.3,2.2,2.9
2052,1.5,2.4,2.2,2.9
2053,1.8,2.7,2,3
2054,2.5,2.5,2.5,3.2
2055,1.9,2.8,1.8,3.4
2056,1.8,2.8,2.4,3.2
2057,1.8,2.1,2.1,3.2
2058,2,2.8,1.9,3.7
2059,1.6,2.7,2.2,3.3
2060,2,2.3,2.2,3.4
2061,2.2,2.9,2.2,3.6
2062,1.9,3,2.7,3.5
2063,1.7,2.5,2,3.8
2064,2,2.8,2.5,4.2
2065,1.7,2.3,2.6,4
2066,1.6,2.9,3.2,4
2067,1.7,3.4,2.8,3.8
2068,2.3,2.8,2.2,4.1
2069,2.1,2.9,3.6,4.5
2070,1.6,2.6,2.9,4
2071,1.7,2.9,2.4,4.5
2072,2.1,2.8,2.5,4.3
2073,2.1,2.9,2.9,4.9
2074,1.8,2.8,3.1,4.6
2075,1.9,3.1,3.2,5
2076,2.2,3.2,2.9,4.8
2077,1.7,3.1,2.6,5
2078,1.6,3.4,3.5,5.2
2079,2,3.2,3.7,5.3
2080,1.8,3.1,4.1,5.3
2081,1.8,3.3,3.5,5.2
2082,1.8,3.7,2.9,5.1
2083,1.8,3.2,3,5.1
2084,1.8,3.2,3.9,5.2
2085,1.8,2.7,3.4,5.6
2086,1.7,3.1,4.1,5.3
2087,1.9,3.2,4.3,5.8
2088,2.1,3,3.7,5.8
2089,2,3.6,4.1,5.5
2090,1.9,3.3,3.2,5.8
2091,1.7,3.2,4.8,6
2092,1.6,3.5,3.5,6
2093,1.4,3.1,3.1,6.1
2094,1.4,2.9,3.8,6.3
2095,1.4,3.4,4.1,5.7
2096,1.7,3.3,3.7,5.9
2097,1.9,3.6,4.4,6.6
2098,2.2,3,3.2,6.6
2099,1.8,3.3,4.4,6.4
