Year,RCP26,RCP45,RCP60,RCP85
1981,-4.9,-10.3,12,-2.7
1982,-9,-1.5,-11.3,-6.2
1983,-10,-9.6,-10.9,-11.2
1984,-15.2,-14.5,-14.1,-14.3
1985,-13.4,-16.7,-1.1,-17.1
1986,2.2,-5.4,8.2,-5.6
1987,10.8,3.8,10.4,0.8
1988,-5.5,-6.9,-11.4,-7.8
1989,-1.2,1.6,4.2,-0.2
1990,12.1,1.3,21.6,0.4
1991,-4.2,-8.3,-20.3,-9
1992,-24.7,-5.9,-27.9,-9.9
1993,-10.9,-4.6,-10.5,-1.8
1994,2.5,2.3,2.4,1.1
1995,-13.6,-9,0.6,-7.1
1996,-4.8,-0.7,-10,-1.6
1997,6,14.4,-2.8,13.8
1998,3.5,0.5,18.3,-0.5
1999,4,8.5,1.5,6.9
2000,2,-6.6,5.3,1.3
2001,7.9,9.4,-7.8,9.2
2002,-1.6,-0.6,3.5,-2.7
2003,3.6,-5.8,13,0.1
2004,0.2,-1.2,-7,-0.8
2005,11.4,14,8.1,13.4
2006,6.4,18.3,20.8,16.3
2007,-8.4,1.6,22.8,11.9
2008,15.1,5.1,23,2.6
2009,15.2,-1.7,27.6,8
2010,19.6,12.1,27.5,23.9
2011,6.3,7.1,6.3,11.2
2012,3.2,4.9,21.4,-2
2013,1,13.3,30,7.8
2014,17.3,5.6,23.1,10.5
2015,3.9,15.9,14.8,3.1
2016,17,18.5,-9.4,11.8
2017,14.4,4.9,19.9,10.8
2018,8.4,14.2,3.1,6.5
2019,16.6,7.1,-11,12.9
2020,20.6,29.5,29.6,11.4
2021,19,11.5,14.2,11.3
2022,18.7,16,30.6,18
2023,27,24.9,14.6,30.3
2024,26.7,20.1,11.1,10.3
2025,25.1,26.1,35.3,20.7
2026,15.2,14.5,14.2,23.2
2027,33.1,11.7,17.9,27.2
2028,26.1,26.9,3.2,36.4
2029,18.1,9.1,29.8,16.4
2030,37.1,14.7,28.3,22.9
2031,26,24,5.3,20.1
2032,33.7,27.7,21.4,37.7
2033,28,29.2,13.3,15.6
2034,24.1,6.6,10,19
2035,42.2,16.5,31.7,40
2036,31.9,17.8,38.1,20.4
2037,23.7,13.3,38.2,23.9
2038,35.1,21.4,7.2,30.4
2039,18.6,45.7,12.4,44.4
2040,22.4,29.9,25.2,34.5
2041,31.5,6.7,44.3,39.9
2042,25.3,16.5,41.1,19.6
2043,13.4,29.8,51.3,33.3
2044,47.6,28.5,30.5,37.4
2045,62.6,29.9,19.5,33.7
2046,36.4,40,34.9,45.9
2047,35.8,23.5,34.2,43.6
2048,56.4,24.9,36.4,46.8
2049,28.3,28,35.9,30.5
2050,32.7,14.8,25.1,37.6
2051,17,30.7,18.8,41.2
2052,39.5,34.7,41.7,45.1
2053,29.8,27.2,41.8,43.3
2054,38.7,52.5,56.7,58.6
2055,25.9,38.9,12.3,37.4
2056,19.4,34.1,35.7,25
2057,28.5,31.9,29.8,44.5
2058,49.5,31.1,57.9,53.6
2059,20.7,34.1,40.8,56.7
2060,7.2,33.3,49.6,45.8
2061,30.6,51.9,52.1,50
2062,18.6,38.9,26.9,40.3
2063,43.8,41.7,49.2,65.1
2064,23.2,46.5,33.2,53
2065,41.7,58.7,34.2,64.6
2066,27.9,28.4,16.9,52.8
2067,45.6,38.2,47,51.6
2068,14.5,38.3,50.1,58.4
2069,35.9,47.9,65.3,57.5
2070,41.1,27.1,40.7,59.4
2071,37.5,43,46,61.5
2072,34,34.5,44.5,49.2
2073,11.4,34.8,76.6,49
2074,48.7,49.4,37,67
2075,33.1,46.1,61.8,50.3
2076,16.9,31.3,44.1,54.8
2077,45.5,32.8,57.9,87.5
2078,48.6,37.6,46.8,54.8
2079,28.4,43.3,36.9,77.6
2080,17.9,55.5,74.3,68
2081,29,43.2,83.9,71
2082,17.3,30.9,69.5,76.4
2083,23.9,39,53.8,75.1
2084,21.8,68.4,48,85.7
2085,4.8,36.6,68.8,77.9
2086,16,35.7,49.7,75.5
2087,34.9,51.3,70.8,88.8
2088,22.4,42.2,60.9,82.8
2089,19.8,37.7,45.9,74.2
2090,37.7,31.7,44.9,78.6
2091,27.5,48.7,80.2,81.6
2092,30.6,46.9,28.6,105.9
2093,27.5,48.6,51.5,94.6
2094,42.8,52.8,43.1,85.5
2095,27,40.8,47.3,96.1
2096,14.4,20.5,51.1,81.9
2097,16.6,49.4,78.2,72.8
2098,23.6,34.6,73.3,92.6
2099,21.7,37.6,47.1,100.1
