Year,RCP26,RCP45,RCP60,RCP85
1981,-0,-0.2,0.1,-0
1982,-0.1,-0,-0.2,-0.1
1983,-0.1,-0,-0.1,-0.1
1984,-0.2,-0.2,-0.1,-0.1
1985,-0.1,-0.1,-0,-0.1
1986,-0,-0,0.1,-0
1987,0.2,-0,0.2,-0
1988,-0.1,-0.1,-0.1,-0.1
1989,-0.1,-0,0.1,-0
1990,0.2,0.1,0.2,0.1
1991,-0,-0,-0.3,-0
1992,-0.3,-0.1,-0.3,-0.1
1993,-0.1,-0.1,-0,-0
1994,0.1,0.1,-0.1,0.1
1995,-0.3,-0.2,-0.1,-0.1
1996,-0,-0,-0.1,-0
1997,0.1,0.1,0.1,0.1
1998,0.1,-0,-0,-0
1999,0.1,0.1,-0,0.1
2000,0.1,-0,0.1,-0
2001,0.1,0.1,-0.1,0.1
2002,-0,0.1,0.1,0.1
2003,-0,-0.1,0.1,-0
2004,-0,-0,-0,0.1
2005,-0,0.2,0.3,0.2
2006,0.2,0.4,0.3,0.2
2007,-0.1,-0,0.4,0.2
2008,0.4,0.2,0.2,0.1
2009,0.3,-0,0.2,0.2
2010,0.4,0.3,0.4,0.2
2011,-0,-0,-0,0.2
2012,-0,0.2,0.2,0.1
2013,0.1,0.2,0.2,0.1
2014,0.3,0.1,0.2,0.3
2015,0.2,0.2,0.2,-0
2016,0.3,0.2,-0,0.2
2017,0.3,-0.1,0.2,0.2
2018,0.2,0.2,0.1,0.1
2019,0.2,0.2,0.1,0.2
2020,0.4,0.5,0.3,0.2
2021,0.3,0.2,-0,0.2
2022,0.4,0.3,0.2,0.3
2023,0.4,0.4,0.1,0.4
2024,0.4,0.2,0.2,0.1
2025,0.2,0.4,0.4,0.3
2026,0.2,0.1,0.4,0.4
2027,0.5,0.3,0.3,0.4
2028,0.3,0.4,0.1,0.5
2029,0.3,0.2,0.3,0.2
2030,0.5,0.3,0.5,0.4
2031,0.3,0.3,-0,0.3
2032,0.5,0.4,0.1,0.5
2033,0.5,0.4,0.2,0.3
2034,0.3,0.2,0.3,0.3
2035,0.6,0.2,0.3,0.6
2036,0.4,0.4,0.8,0.3
2037,0.3,0.2,0.3,0.3
2038,0.6,0.3,0.2,0.5
2039,0.4,0.6,0.2,0.6
2040,0.3,0.3,0.4,0.4
2041,0.4,0.1,0.6,0.6
2042,0.4,0.3,0.4,0.4
2043,0.1,0.3,0.6,0.4
2044,0.7,0.5,0.5,0.5
2045,0.7,0.4,0.2,0.5
2046,0.5,0.6,0.4,0.6
2047,0.5,0.4,0.5,0.6
2048,0.8,0.4,0.6,0.7
2049,0.4,0.4,0.3,0.5
2050,0.4,0.3,0.4,0.6
2051,0.3,0.5,0.2,0.6
2052,0.3,0.5,0.5,0.6
2053,0.3,0.3,0.5,0.6
2054,0.6,0.7,0.5,0.9
2055,0.3,0.6,0.1,0.6
2056,0.2,0.5,0.5,0.5
2057,0.4,0.5,0.4,0.7
2058,0.5,0.4,0.7,0.8
2059,0.4,0.4,0.4,0.7
2060,0.1,0.5,0.7,0.5
2061,0.5,0.8,0.7,0.6
2062,0.3,0.4,0.6,0.7
2063,0.4,0.5,0.6,0.9
2064,0.4,0.7,0.4,0.7
2065,0.5,0.8,0.6,0.8
2066,0.3,0.5,0.4,0.7
2067,0.7,0.5,0.6,0.7
2068,0.2,0.5,0.8,0.7
2069,0.5,0.6,0.6,0.8
2070,0.6,0.4,0.8,0.8
2071,0.4,0.5,0.7,0.9
2072,0.6,0.5,0.3,0.7
2073,0.1,0.5,0.9,0.7
2074,0.6,0.5,0.5,0.8
2075,0.5,0.5,0.7,0.8
2076,0.2,0.4,0.6,0.8
2077,0.6,0.6,0.5,1.2
2078,0.5,0.4,0.4,0.9
2079,0.3,0.7,0.5,1.2
2080,0.3,0.7,0.9,1
2081,0.4,0.6,0.9,0.9
2082,0.3,0.5,0.7,0.9
2083,0.1,0.5,0.8,1
2084,0.2,0.8,0.5,1.1
2085,-0,0.6,0.7,1.1
2086,0.2,0.4,0.4,0.9
2087,0.4,0.7,0.8,1.1
2088,0.2,0.4,0.9,1.1
2089,0.3,0.6,0.7,1
2090,0.5,0.5,0.6,1
2091,0.3,0.7,0.8,1.2
2092,0.4,0.6,0.5,1.5
2093,0.3,0.6,0.8,1.4
2094,0.5,0.7,0.6,1
2095,0.3,0.4,0.8,1.2
2096,0.2,0.4,0.8,1.2
2097,0.3,0.6,1.2,1.1
2098,0.4,0.5,0.8,1.2
2099,0.4,0.5,0.5,1.5
