Year,RCP26,RCP45,RCP60,RCP85
1981,0.5,1.1,0.3,1.1
1982,-0.5,-0.1,-1,-0.1
1983,-0.3,-0.5,-0.8,-0.5
1984,0.4,0.3,0.8,0.4
1985,-1,-0.8,-2.4,-0.8
1986,-0.1,-0.1,-0.8,-0.2
1987,0.8,1,0.9,1
1988,-0.7,-0.6,-0.2,-0.5
1989,0.7,0.5,-0.4,0.1
1990,0.2,0.4,0.7,0.4
1991,0.1,-0.1,-0.7,-0.1
1992,-1.1,-1.1,0.6,-0.8
1993,0.8,0.7,1.1,0.7
1994,0.2,0.3,0,0.3
1995,0.2,-0.2,0.3,-0.5
1996,0.2,-0.2,0.1,-0.2
1997,0.4,0.1,0.7,0.3
1998,-0.5,-1,-1.5,-0.8
1999,-1,-0.9,-1.4,-0.9
2000,0.1,0,1.1,0.1
2001,-0.9,0,-1.5,0.2
2002,-0.3,0,1.6,0
2003,-0.7,-0.3,-1,-0.3
2004,0.9,0.7,-0.1,0.4
2005,1,0.6,0.3,0.5
2006,-0.2,-0.1,-0.6,-0.5
2007,-1.5,-1.2,-0.7,-0.6
2008,-0.2,-0.4,-1,-0.3
2009,-0.2,0.4,-0.8,0.4
2010,0.4,1.7,-0.5,0
2011,-0.6,-1.1,1.6,-0.2
2012,-0.4,-0.8,0.5,-1
2013,-0.9,-0.2,-1.4,-1.1
2014,-0,-0.3,-0.3,1.3
2015,-0.5,-0.7,0.1,0.3
2016,0.2,0.1,0.3,0.2
2017,-0,-0.3,-0.8,-0.5
2018,-0.3,-0.6,0.2,-0.2
2019,0.9,-0.6,0.7,-0.8
2020,-0.1,-0.4,-0.5,1.3
2021,0.1,-1.6,0.1,-0.4
2022,0.8,0.1,0.6,1
2023,-1.3,-0.7,-0.7,-0.9
2024,-1.4,-0.6,-1,-0.9
2025,0.5,0.6,-0.6,-0.4
2026,-1.2,0.3,-0.2,0.1
2027,-0.4,-0.4,-0.7,-0.1
2028,-0,-0.4,-0.4,-0.8
2029,-0.7,-0.3,0.6,-0.8
2030,0.8,0.4,0.5,0.1
2031,-0.4,-1.2,0.4,-0.6
2032,-0.2,-0.2,1.1,0.2
2033,-1.2,-0.3,-1,-0.1
2034,0.5,-0.2,-0.7,-0.5
2035,-0.9,-0.1,-2,-0.7
2036,-0.8,-0.7,-1.4,0
2037,-1.9,-0.2,-1.7,-0.1
2038,0.4,0.1,-0.1,0.1
2039,-0.3,-1.1,1.1,-0.2
2040,0.5,-0.5,-1,0.8
2041,-0.7,0.2,-0.6,-0.1
2042,-0.8,-1.1,-1.6,-1.1
2043,-0.5,-0.5,-1.1,-0.9
2044,-1.2,-1,-0.6,-0.4
2045,0.6,-0.1,-0.7,-0.7
2046,-0,-0.5,0,-0.4
2047,-0.4,0,-1.6,-1
2048,0.2,0.4,-1.7,0.2
2049,-1.5,-0.7,-0.2,-0.4
2050,-0.9,-0.6,-0.6,-0.8
2051,-0.8,0.2,0.7,-0.2
2052,0.4,-0.1,-0.1,0.2
2053,-0.2,0.3,-0.8,0.2
2054,-1.1,-1.3,-0.7,-1.1
2055,0.1,-0.5,0.8,0.7
2056,-0.1,-1.5,1.3,-0.7
2057,-1,-1.9,-1,-1.1
2058,-0.2,-1.7,0.1,-1.2
2059,-1,-1.3,-1.5,-1.5
2060,-0.2,-0.7,-0.7,-1
2061,0.3,-0.6,-0.5,0
2062,-0.9,-1.3,0.7,-1.2
2063,-1.1,-1.2,-0.2,-1.3
2064,-0.7,-0.4,-1.2,-0.8
2065,-0.2,-1.6,0.2,-1.4
2066,-1,-0.9,-1.2,-0.8
2067,-0.9,-1,-1.2,-1.1
2068,-0.4,-0.4,-1.2,-1
2069,-0,-0.1,-0.5,-1.2
2070,-0.3,0.4,-1.1,-1
2071,-0.6,-1.3,-0.8,-0.7
2072,-0.1,-0.6,-1.2,-1.2
2073,-0.9,-1.2,-0.2,-1.5
2074,-0.4,-1.3,-0.9,-1.9
2075,-1,-0.7,-0.9,-1.6
2076,0.2,-0.8,-1.3,-0.6
2077,-1.1,-0.8,-0.3,-1
2078,-0,1.1,0,-0.2
2079,-0.9,-1.7,-0.1,-0.9
2080,-0.6,-1.1,-1.6,-0.5
2081,-0.7,-0.1,-0.3,-1
2082,-0.1,-0.8,-1.2,-1
2083,-0.8,-1.2,0.9,-1.5
2084,0.3,-0.2,-1.5,-0.3
2085,-1,-0.8,0,-1.4
2086,-0.7,-1.4,-0.8,-1.5
2087,-0.1,-0.4,-0.9,0.1
2088,0.2,-0.4,-1,-1.5
2089,-0.8,-1.2,0.5,-1.7
2090,-0.2,-1.4,0,-1.8
2091,-0.7,-0.9,-1,-1
2092,-0.1,-0.4,-0.3,-0.7
2093,-0,0.4,-1.1,-0.3
2094,-1,-1.7,-0.8,-0.7
2095,-0.5,-0.2,0.6,-0.2
2096,-0.9,-1.3,-1.4,-1
2097,-0.4,-0.9,-2.1,-1.3
2098,-0.9,-0.2,-1.8,-1.4
2099,-0.4,-0.1,-0.6,-1.6
