Year,RCP26,RCP45,RCP60,RCP85
1981,-0.2,-0.2,0,-0
1982,-0.1,-0,-0.2,-0
1983,-0.4,-0.3,-0.3,-0.2
1984,-0.3,-0.3,-0.6,-0.3
1985,0.1,-0,-0.2,-0
1986,0.1,0.1,0.1,0.2
1987,0.1,-0.1,-0.2,-0.2
1988,-0,-0.1,0.2,-0.1
1989,0.2,0.1,0.1,0.1
1990,0.2,0.1,-0.3,0.1
1991,0.1,-0.1,-0.1,-0.1
1992,-0.3,-0,-0.5,-0
1993,0.1,-0,0,0.1
1994,-0,-0,0.1,-0
1995,-0,0.1,0,0.1
1996,0.3,0.1,0,0.1
1997,-0.5,-0.1,-0.3,-0.3
1998,-0,-0.1,0.1,-0
1999,-0,-0,0,-0
2000,-0.1,-0,0,-0
2001,0.2,0.3,0.1,0.2
2002,0.2,0.1,0.3,0.2
2003,-0.2,-0.1,0.3,-0.1
2004,-0.2,-0.2,-0.3,-0.2
2005,-0,0.1,-0.1,0.1
2006,0.1,0.1,0.4,0.1
2007,-0.2,-0.1,0.2,-0
2008,0.8,0.5,0,0.2
2009,0.2,-0,-0.3,-0
2010,0.1,0.1,0.6,0.3
2011,-0.2,-0.2,0,-0.1
2012,-0,-0.2,0,-0
2013,0.3,0.3,-0.1,0.3
2014,0.1,-0,0.1,-0
2015,-0.3,-0.1,-0.3,-0
2016,-0.1,-0.2,-0.1,-0.2
2017,0.1,0.1,0.6,0.3
2018,-0,-0.1,0.1,-0
2019,-0.1,-0.1,-0.1,-0
2020,0.3,-0,0.1,-0.1
2021,-0.1,-0,0.1,-0.2
2022,-0.1,-0.2,0,-0
2023,0.2,0.1,0.3,-0
2024,-0.3,-0,-0.4,-0.3
2025,0.3,0.2,0.3,0.4
2026,-0,-0.1,-0.1,0.1
2027,0.2,0.2,0.4,0.3
2028,-0,-0.1,0.2,0.1
2029,0.3,-0,0.5,0.3
2030,-0.2,0.2,0.3,-0.2
2031,0.2,0.1,-0.2,-0
2032,0.6,0.4,-0.3,0.3
2033,0.4,0.4,0.2,0.3
2034,0.2,0.1,-0.2,0.2
2035,-0,-0.1,0.3,-0
2036,0.3,0.3,0.4,0.3
2037,0.3,0.4,0.4,-0
2038,0.2,-0.1,-0.1,0.1
2039,0.2,-0.2,0.1,0.1
2040,-0,0.2,0.1,0.1
2041,0.2,-0.1,0.4,0.3
2042,0.6,0.1,0,0.1
2043,0.3,0.1,0.1,0.4
2044,0.5,0.5,0,0.1
2045,0.1,-0.1,0.1,0.1
2046,-0,-0,0.3,0.1
2047,0.2,0.2,0.3,0.2
2048,0.2,0.2,0.2,0.3
2049,0.1,0.2,-0.3,-0.1
2050,0.3,0.2,0.1,0.3
2051,0.3,0.4,0.2,0.4
2052,0.2,0.1,0.1,0.1
2053,0.7,0.2,0.3,0.3
2054,0.3,0.1,0.3,0.3
2055,0.2,0.2,-0.2,0.2
2056,-0,-0.2,0,0.2
2057,-0.1,0.2,0.3,0.1
2058,0.1,0.1,0.5,0.1
2059,0.6,0.2,0.3,0.1
2060,0.3,0.5,-0.2,0.2
2061,0.3,0.2,-0.1,0.3
2062,0.2,-0,0.3,-0
2063,0.2,0.2,-0.1,0.3
2064,0.3,0.3,0.3,-0
2065,-0.2,-0.1,0,-0
2066,0.3,0.1,-0.1,-0
2067,0.1,-0.1,0.1,-0.1
2068,-0.1,0.1,0.1,0.2
2069,0.3,0.1,0.6,0.5
2070,0.2,0.1,0.2,0.4
2071,0.2,0.2,0,0.2
2072,0.4,0.4,0,0.5
2073,0.4,0.2,0.2,0.3
2074,0.4,0.4,0.2,0.3
2075,0.1,-0.1,0.8,0.2
2076,0.2,0.4,-0.1,0.5
2077,0.2,0.1,0.3,0.2
2078,0.3,0.2,0.1,0.2
2079,0.1,0.1,0.3,0.2
2080,0.4,0.1,0.3,0.4
2081,0.1,-0,0.1,-0.1
2082,0.5,0.2,0,0.3
2083,-0,0.4,0,0.3
2084,-0,0.4,-0.1,0.2
2085,0.3,0.3,0.6,0.4
2086,-0,-0.2,0,0.2
2087,0.1,0.1,-0.1,0.3
2088,0.3,0.3,-0.1,0.4
2089,0.1,0.2,-0.1,0.4
2090,0.2,-0,-0.1,0.4
2091,0.4,0.4,0.1,0.3
2092,-0,-0,0.3,0.2
2093,-0,0.1,0,0.2
2094,0.5,0.4,0.2,0.6
2095,0.4,0.4,0.2,0.4
2096,0.3,0.3,0.4,0.5
2097,0.4,0.3,0.4,0.5
2098,0.3,0.1,0,0.4
2099,-0.1,-0,0.2,0.5
