Year,RCP26,RCP45,RCP60,RCP85
1981,-0.3,-0.2,-0.4,-0.1
1982,0.9,0.8,1.4,0.6
1983,1.6,1.2,3.6,1.2
1984,2,2.3,2.6,2.3
1985,0.8,0.6,0.7,0.7
1986,1.6,1.1,1.6,1.4
1987,0.2,0.2,-0.7,0.2
1988,0.7,0.3,-0.1,0.2
1989,-0.1,0,-0.2,-0.1
1990,-0.4,-0.3,0.1,-0.3
1991,0.1,0.1,-0.1,0.1
1992,0.7,0.7,3,0.7
1993,-0,0.1,0.1,0.4
1994,0.2,-0.3,0.4,-0.1
1995,-0.1,-0.2,-0.1,-0.2
1996,-0.2,0,-0.4,-0.2
1997,-0.2,-0.4,0.3,-0.4
1998,-0.2,-0.2,-0.2,-0.1
1999,0.1,0,-0.1,0
2000,-0.4,-0.5,-0.5,-0.5
2001,-0,0.2,-0.3,0.1
2002,-0.1,-0.4,-0.1,-0.5
2003,-0.7,-0.5,-1,-0.6
2004,-0.4,-0.3,-0.7,-0.3
2005,-0.6,-0.3,-0.9,-0.2
2006,1.7,-0.2,-0.4,0.2
2007,0.2,-0.1,-0.3,-0.1
2008,-0.2,0.5,0.4,0
2009,-0,0.7,0.8,0
2010,0.1,0.6,-0.5,0.1
2011,-0.2,-0.3,-0.7,-0.1
2012,0.4,0.4,0.1,0.6
2013,-0.5,0.2,-0.4,-0.5
2014,-0.5,-0.4,-0.6,-0.4
2015,-0.5,0.7,-0.4,0
2016,-0.5,-0.3,-0.5,-0.5
2017,-0.3,-0.1,1.4,-0.5
2018,-0.6,-0.2,-0.8,-0.5
2019,-0.3,0,-1,-0.4
2020,-0.5,0,0.5,-0.3
2021,-0.4,-0.2,-0.7,0.2
2022,-0.4,-0.3,-0.7,-0.4
2023,-0.6,-0.6,-0.6,-0.6
2024,0.2,-0.5,-0.4,-0.2
2025,0.4,-0.5,-0.4,-0.5
2026,-0.4,-0.5,-0.8,0
2027,-0.4,-0.5,-0.8,-0.6
2028,-0.6,-0.4,-1.2,-0.5
2029,-0.5,-0.5,-0.6,-0.7
2030,-0.3,-0.3,-0.4,-0.7
2031,-0.5,-0.5,-0.3,0.1
2032,-0.4,-0.2,-0.8,-0.5
2033,-0.5,-0.8,-0.7,-0.6
2034,-0.1,-0.6,-1.1,-0.6
2035,-0.5,-0.6,-0.8,-0.6
2036,-0.5,-0.6,-0.8,-0.6
2037,-0.5,-0.6,-0.6,-0.7
2038,-0.5,-0.7,-0.8,-0.7
2039,-0.5,-0.8,-1.2,-0.7
2040,-0.4,-0.4,-0.8,-0.7
2041,-0.6,-0.7,-0.4,-0.6
2042,-0.6,-0.8,-0.5,-0.7
2043,-0.4,-0.6,-1.2,-0.7
2044,-0.6,-0.6,-0.8,-0.8
2045,-0.6,-0.6,-1.2,-0.7
2046,-0.5,-0.7,-0.9,-0.8
2047,-0.6,-0.7,-0.8,-0.7
2048,-0.6,-0.6,-1.4,-0.7
2049,-0.5,-0.7,-0.8,-0.8
2050,-0.5,-0.7,-0.7,-0.8
2051,-0.5,-0.7,-0.8,-0.8
2052,-0.5,-0.8,-0.8,-0.8
2053,-0.6,-0.5,-0.7,-0.9
2054,-0.6,-0.7,-1,-0.8
2055,-0.5,-0.7,-0.8,-0.9
2056,-0.6,-0.8,-0.9,-0.8
2057,-0.5,-0.8,-0.9,-0.9
2058,-0.7,-0.7,-0.8,-1
2059,-0.5,-0.8,-1.1,-0.9
2060,-0.6,-0.8,-1.2,-1
2061,-0.5,-0.6,-1.1,-0.9
2062,-0.5,-0.7,-0.9,-0.9
2063,-0.6,-0.8,-0.9,-0.9
2064,-0.5,-0.8,-0.9,-1
2065,-0.5,-0.7,-1.2,-1
2066,-0.6,-0.8,-1.2,-0.8
2067,-0.5,-0.8,-1.1,-1
2068,-0.5,-0.7,-1.1,-1
2069,-0.6,-0.8,-1,-0.9
2070,-0.5,-0.8,-1.1,-0.9
2071,-0.2,-0.8,-0.9,-1
2072,-0.6,-0.8,-1.2,-1
2073,0.1,-0.8,-1.2,-1
2074,-0.5,-0.8,-1.1,-1
2075,-0.6,-0.8,-1.2,-0.9
2076,-0.6,-0.7,-1,-1
2077,-0.5,-0.8,-1.1,-1
2078,-0.2,-0.7,-1.3,-1
2079,-0.7,-0.7,-1.2,-1
2080,-0.7,-0.8,-1.1,-1
2081,-0.5,-0.7,-1.2,-1
2082,-0.5,-0.8,-1.4,-1
2083,-0.5,-0.8,-1.4,-1
2084,-0.3,-0.8,-1.2,-1
2085,-0.5,-0.8,-1.2,-1
2086,-0.6,-0.8,-1.2,-1
2087,-0.5,-0.8,-1.4,-1
2088,-0.7,-0.8,-1.4,-1
2089,-0.7,-0.8,-1.3,-1
2090,-0.5,-0.7,-0.9,-1
2091,-0.6,-0.8,-1.1,-1
2092,-0.7,-0.8,-1.2,-1
2093,-0.2,-0.8,-1.2,-1
2094,-0.4,-0.8,-1.4,-0.9
2095,-0.6,-0.8,-1.4,-1
2096,-0.5,-0.8,-1.1,-1
2097,-0.2,-0.8,-1.2,-1
2098,-0.4,-0.8,-1.2,-1
2099,-0.5,-0.8,-1.2,-1
