Year,RCP26,RCP45,RCP60,RCP85
1981,-0.3,-0.4,-0.6,-0.3
1982,-0.4,-0.2,-0.6,-0.3
1983,-0.8,-0.9,-1.6,-0.8
1984,-0.1,-0.6,0.1,-0.7
1985,-1,-0.7,-1.1,-0.7
1986,-0.3,-0.2,-0.3,-0.2
1987,-0.6,-0.7,0.3,-0.8
1988,-0.6,-0.6,-1.4,-0.5
1989,-0.3,-0.2,-0.4,-0.3
1990,-0.1,-0,1.2,-0.1
1991,0.2,-0.3,-1.4,-0.2
1992,-0.2,-0.6,-0.1,-0.6
1993,-0.7,-0.4,-1.5,-0.4
1994,0.5,-0,0.1,-0
1995,-0.8,-0.1,-0.4,-0.1
1996,-0.3,-0.1,-0.5,-0.1
1997,0.3,0.1,-1.2,0.6
1998,0.5,0.6,-0.2,0.4
1999,-0.1,-0,0.8,0.1
2000,0.1,0.6,-0.3,0.7
2001,0.2,-0.2,0.5,-0.3
2002,0.7,1.2,0.8,1
2003,1.1,0.7,1.3,0.7
2004,0.9,1,1.7,1.1
2005,0.4,-0.2,1.2,-0.1
2006,3.7,3.9,3.5,4.1
2007,4.3,3.6,3.1,3.1
2008,3.5,5.1,3.9,8.8
2009,5.3,5.4,5.6,4.1
2010,5.4,3.4,2.7,3.7
2011,4.4,6.6,8,4.2
2012,4.5,4.5,11.7,5
2013,8.3,5.4,3.7,5.8
2014,6.7,5.1,8.6,7.5
2015,4.5,7,5,5.6
2016,7.1,7,6.6,6.4
2017,9.1,7.5,3,9.2
2018,5.6,5.7,9.8,5.6
2019,6.6,7.2,2.3,4.5
2020,6.2,2.3,6.2,8.9
2021,10.3,6.9,7.1,6
2022,7,5.3,10.7,7.3
2023,6.3,5.2,3.3,10.4
2024,9.5,10.7,5.7,9.7
2025,6.4,8.3,12.6,8.3
2026,6.3,10.6,9.9,7.1
2027,10.5,12.3,15.9,9.1
2028,7.4,8.5,6.4,9
2029,11.1,10.7,5.9,13.3
2030,11.2,7.3,12.1,12.9
2031,12.5,9.8,9.9,9.5
2032,9,11.6,8.2,12.6
2033,8.8,14.6,8.5,14.7
2034,10.1,10,10.6,11.8
2035,11.2,12.8,10.6,14.5
2036,8.9,12.5,6.5,13.1
2037,15.4,9.8,9.7,12.9
2038,10.3,15.2,13.2,19
2039,12.9,12.6,15.5,16.3
2040,11.2,11.7,14.4,15.4
2041,13.3,18.8,7.6,17.4
2042,10.9,13.6,9,20.3
2043,12.6,17.5,12.2,18.2
2044,13.5,16.8,9.6,19.5
2045,12.1,19.4,13,15.6
2046,15.3,22.6,18.8,17.1
2047,12.7,13.7,13.6,16.7
2048,9.9,15.8,11,17.1
2049,18.1,13.2,13.9,21.5
2050,11.3,12.3,10.5,19
2051,17.7,18.8,17.5,25.9
2052,12.4,20.1,15.5,23.4
2053,12.2,21.3,16.7,34
2054,19,19.7,18.5,29.5
2055,13.4,21.9,12.8,30.7
2056,9.9,20.8,15.2,33.7
2057,9.8,15.3,24.4,25.6
2058,13.1,20.9,19.7,38.5
2059,10.3,20.9,15.2,32.1
2060,16.5,19.5,20.5,32.2
2061,14.4,24.7,21,35.7
2062,14.9,27.2,26.9,35.1
2063,10.9,20.4,16.9,39.2
2064,14.1,22.8,19.9,44.4
2065,14.8,18.3,26.9,46.4
2066,11.7,23,31.1,46.5
2067,11.7,29.4,26.3,46.5
2068,15.3,24.7,27.1,47
2069,12.6,26,34.7,43.6
2070,10.1,24.6,23.4,43.7
2071,11.9,26.5,26,54.8
2072,12.7,24.8,16.6,47.8
2073,16.8,32.3,40.3,61.5
2074,13.4,25.8,29.4,59.8
2075,16.2,28,28.9,60.6
2076,8.1,27.2,33.7,59.4
2077,13.7,28,26.3,63.3
2078,11.5,29.8,37.3,69.2
2079,14.9,31.8,31,64.9
2080,13.8,32.1,44.4,66
2081,13,31.7,36.5,68.2
2082,11.8,33.8,26.6,72.5
2083,10.9,26.5,38.8,68.9
2084,15.9,28.6,43,72.5
2085,8.9,27,42.7,73.7
2086,17,27.3,33.8,84.9
2087,16.5,30.3,36.8,81.5
2088,18.6,22.9,47.1,87
2089,11.9,33.7,54.3,81.2
2090,15.5,23.4,43.9,83.4
2091,10.5,26.4,51.4,86.9
2092,9,27.9,40,85.5
2093,10.7,25.6,29.4,109
2094,15.7,25,53.4,98.5
2095,10.1,36.6,43.2,89.6
2096,9.3,37.6,46,92.3
2097,15,33.6,47.9,101
2098,16.1,26.4,40.8,103.6
2099,12.9,31.2,58.1,101.9
