RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	ALGOMA,78.9,72.7,47.2,60.7,69.9,62.8,61,66.6,86.4,81.1,74.8,57.6,58.9,77.4,58.6,75.4,85.6,83,84.8,83,83.6,84.4,89.5,96.9,93.4,103,78.6,102.4,101.5,96.8,111.5,113.9,110,119.1,118.1,129,130.7,119.7,132.8,108.2,131.6,126.7,128.4,156.1,132.2,138.4,158.3,147.7,141.2,138.6,163.5,161.6,149.3,166.1,145.8,141,159,165.1,156.2,143.7,170.1,176.6,150.8,142.8,144.6,167.3,157.8,165.4,155.7,169.6,161.7,155.9,181,162.4,164.6,170.6,155.1,163,168.4,173,166.1,163.6,164.1,178.3,169.5,163.2,159,186.5,153.1,167.3,172.4,162.3,176.4,165,159.6,191,158.7,159.2,169.1,163.5,158.4,149.9,163.8,163.2,158.7,179.3,174.7,148.2,165.3,156.9,164.7,158.1,156.8,145.6,146.3,162.9,165.6,187,152.2
RCP2.6,	BRANT,290.5,264.7,213.6,237.2,269.9,269.8,264.1,281.7,307.4,300.6,295.9,233.7,249.8,302.2,266.7,297.3,310.1,310.2,332,325.9,316.2,323.9,329.2,323.2,339.3,348.5,299.7,347.4,353,329.4,357.2,361.6,375,382.7,377.3,387.4,393.2,353.1,402,393.1,415.9,408.6,433.1,450.4,439.8,421.4,450.3,436.8,433.8,424.5,461.5,443.7,460.7,465.4,450.8,439.1,448.9,457.5,446,447.8,466.8,492.3,439.4,460,445.1,477.8,468.7,479.2,462.4,489.6,457.2,450.4,506.5,477.5,468.4,469.5,461.8,463.2,477.2,469.7,472.1,460.7,468.1,490.3,454.7,461.2,474.6,499.4,478.8,475.3,473.1,476.9,495.4,481.4,462.2,478,461.5,485,470.4,449.1,469.5,433.4,486.9,476.9,463.5,468,456.8,444.1,450.2,446.6,468.5,459.5,452.2,445.3,427.9,442.4,472.9,485.5,462
RCP2.6,	BRUCE,149.6,128.2,94.6,112.8,135.1,131.6,123.7,138.7,165.5,157.1,144.3,115.2,118.3,149.2,126.9,152.6,166.2,163.5,175.5,169.8,164.9,174.7,171.4,170.4,181.8,195.3,150,184.7,187.8,175.1,197.4,198.7,206.1,212.1,215.5,217.8,224.7,198.5,234.7,215.3,236.1,224.6,248.1,271.3,253.3,238.4,268.4,258.3,253.2,248,278,264.8,268.6,279.4,265.5,253,268.6,281.7,267.7,267.1,289.2,298,263.1,270.6,261.3,290.5,275.1,288.5,279,297.1,273.4,265.2,310.7,287.6,280.3,283.4,265.1,282.2,284.4,283.5,279.2,273.2,276.2,300.8,277.7,279.7,284.6,311.6,275,286.7,288,279.2,293.8,290.6,267.6,296.9,272.6,284.7,280.2,268.5,275.9,252,289.3,287.1,278.5,284.8,272.4,259,269.4,264.3,282.9,275.2,266.5,260.3,250.5,268.7,278.3,296.5,266.4
RCP2.6,	COCHRANE,105.7,101.4,77.4,84.2,99,86.8,88.3,99.6,112.1,101.8,102.8,79.7,81.5,96.7,81.7,101.7,113.9,106.2,110.2,102,106.9,107.7,114.4,125.5,121.7,128,102.1,128.9,132.1,121.4,131.9,135.4,133.3,144.3,146.3,153.6,158.1,143.8,141.9,133.7,151,145.3,149.7,172.5,151.7,166.2,180.7,169,162.2,160,175.1,184.3,161.5,187.5,168.6,162.7,179.7,175.4,174.7,161.7,191.4,194.6,167.4,156.8,161.8,186.8,174,184,179.2,193.6,184.8,177,192.4,178.6,181.2,193.6,171.4,180.9,185.7,195.8,185.6,187.5,187.7,199,191,183.2,176.8,208.5,171.2,183.6,185.5,180.6,199.9,181.9,177.7,205.3,183,182,193.2,187.7,177.9,175.6,185.3,178.9,177.3,199.8,194.1,163.9,190.1,180.2,182.5,174.5,177.8,170.8,175.1,184.6,183,212.3,172.2
RCP2.6,	DUFFERIN,225.6,200.7,155.4,176.6,204,201.3,196.7,211.7,237.8,232.4,219.8,175.2,185,226,198.9,227.7,238.9,242.6,255.9,249.7,247,255.8,255.7,254.7,264.7,277,232.5,276.7,278.5,264.6,285.7,287.4,300.6,307.4,302.3,312.1,319.8,285,328.7,315,338.3,332.8,352.1,372.7,361.1,349.3,378.2,357.4,362.3,351.5,389.8,371.2,382.5,392.4,372.1,362.4,379.5,387.1,370.1,374,398.1,413.1,366.3,378.8,368.4,406.5,390.2,403.7,390.9,412.6,379.6,381.1,431.1,396.9,394.8,395.9,380.7,390.1,402.3,396.9,393.9,385.5,391.5,415.7,388.7,390.4,400.2,429.4,395.5,400.8,402.3,396.4,417.2,405.9,386.7,402.4,387.7,405.4,393.4,375,390.9,358.8,407.5,400.6,392.1,391.3,382.7,367.2,382.7,369.7,394.5,382.2,376.8,364.6,357.9,375.7,394.6,407.3,380.6
RCP2.6,	DURHAM,245.2,220,172.7,196.6,224,221.6,216.9,231.9,258.4,255.7,244.2,191.6,204.5,243.9,215.8,247.8,260.3,261.3,275.9,271,265.4,273.9,275.7,270,283.7,296,251.1,298,299.8,281.8,305.9,310,321.1,328.4,319.1,332.2,335.1,300,347.1,333.3,354.4,350.1,368.2,389.3,381.7,368.3,393.7,374.8,377,367.1,402.8,387.5,399.9,404.2,390.6,380,390.9,400.2,386,392,412.2,423.6,377.5,395.7,383.6,422,409,419.1,400.1,429.5,393.8,397.7,446.1,414,408.8,409.8,394.5,405.9,414.4,409.8,409.7,397.9,406.6,427.3,400.9,407.3,415,441.9,408.5,415.6,416.2,409.8,431.4,422.8,396.2,417.4,399.6,416.5,410.3,387.8,407.8,374.1,416.6,412.8,403.7,402.3,395.7,378.3,393.7,387,409.7,394.4,392,377.9,376.8,388.6,405.1,424.8,393
RCP2.6,	ELGIN,305.2,277.1,228.6,249.7,284.3,286.1,280.2,296.2,322.9,316.5,311.2,249.6,266.8,321.8,285,315.5,328.2,327.1,346.9,346.7,333.9,345.7,344.7,345.4,359.8,367.8,312,360.6,370.5,343.8,374.1,378.5,391.9,397.2,397.9,406.2,413.8,371.6,420.8,411.8,435.7,425,457.8,473.5,459.2,435.5,467.5,454.2,452.7,440.6,478.9,460.9,481.2,483.4,470,456.3,467.7,475.1,464,465.8,483.8,512.1,459.9,481.8,465.9,495.1,484.6,494.7,482.3,505.9,479,464.1,519.9,498.5,488.8,486,480.4,483.5,497.9,489.6,492.2,481.2,482.1,507.7,471.2,477.7,493.1,516,498,487.9,483.1,497,510.1,499.1,478.8,504.6,479.4,502.1,490.7,468.6,489.2,453.2,508.3,497,480,488.6,475.5,464.3,464.4,464.6,486.6,482.3,468.4,465.1,443.3,462.8,493.8,504,484.7
RCP2.6,	ESSEX,387.1,352,297.9,320.3,354.2,362.1,359.5,370.4,401.7,395,393.5,319,345.3,405.6,366.2,396.8,409,406.7,424.6,432.7,412.6,427.9,426.3,433,443.6,448.7,390,436.7,451.3,427.6,457.5,457.7,476.9,485.7,485.9,491,505.9,458,507.3,502,529.8,516.5,550.9,567.4,547.6,521.6,551.1,540.3,542.8,524.9,570.2,545.8,573.2,576.3,563,546.7,558.6,561.8,554.3,550.9,569.1,604.2,548.9,574.5,557.7,583.1,571.2,581.4,571.6,592.9,571.6,547.8,603.1,589,578.1,571.6,572,578.4,593.3,575.9,587.1,573.2,567.2,597.2,554.1,566.7,582.8,604.1,591,575.7,565.9,595.4,596.4,591.6,573.5,606.3,562.4,589.6,581.3,557.6,577.8,540.8,598.8,587.5,567.3,574.6,564,559.2,548.1,555.8,577.9,576.7,552.1,559.4,528.9,551,585.4,598.4,581
RCP2.6,	FRONTENAC,246.2,224.1,182.4,204.5,226.2,221.1,220.1,235.4,255.9,258,243.1,196.1,209.4,240.7,218.8,247.4,260.1,262.6,269,263.6,268,271.8,271.8,274.2,284.5,296,251.8,300.1,307.1,285.9,310.3,311.6,319.1,329.3,317.8,332.3,332.6,302.3,343.8,331.4,349.2,354.8,368.8,382,378.2,375.5,391.8,373.4,378.1,358.8,399,394.9,393.2,398.6,394.9,388.1,391.4,396.8,380.8,392.6,415.4,416.3,371.2,394.5,384.1,419.3,409.4,416.9,397,429.2,396.1,402,440.3,410,410.2,406.8,395.1,411.6,413.7,413.5,411.9,399.7,407.5,426,413.7,409.6,414.4,439,401.6,412.6,412.6,408.5,425.2,428.3,393.2,418.6,403.1,410.4,411.9,394.2,407.7,378,402,409.7,400.6,397.1,400.7,379.3,400.1,388.8,407,386.8,391.8,378.6,385.3,390.8,401.3,421.9,386.2
RCP2.6,	GREY,173.9,151.3,113,132.4,156.3,154.2,147.2,161.5,188,181.2,167.8,133.3,139.4,172.3,149.4,176.7,189.2,188.6,201,194.8,191.4,201.7,199.2,198.7,209,221,177,216.4,217.1,205,226.3,228,237.8,243.8,244.3,249.4,256.6,227.8,267.1,248.8,270.9,262.1,282.4,305.8,289.8,277.8,306.7,291,291.7,284.1,317.8,301.2,308.7,319.7,301.5,291.2,308.1,318.4,302.1,303.9,328.5,338.8,298.5,307.3,298.4,331.5,314.6,329.2,319.4,337.3,310.5,307.3,353.2,324.1,320.9,323.1,305.8,319.3,327.6,324.4,319.4,312.3,317.2,341.8,319,319.2,324.8,354.2,317.5,328.3,330.6,320.7,337.2,331.4,309.5,333.7,314,327.9,319.9,305.3,316.3,288.5,330.6,326.5,319,321.2,311.6,296.2,310.7,300.5,321.5,312.4,305.1,294.8,289.1,306.6,320.2,335.4,305.5
