RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	ALGOMA,172.3,170.6,166.5,171.5,171.5,168,170.9,169.3,168.3,172.7,173,170.9,174.5,174.1,171.5,174.9,177.4,173.1,172.5,172,175.4,176,175.8,178.5,171.9,177.8,175.5,177.7,180.1,173.8,178.4,177.5,178.1,171.7,183,187.4,182.5,177.2,183.7,186.5,183.5,184.9,189.1,186.3,181.6,178,181.8,183.3,184.1,183.6,179.9,185.3,174.2,180.6,181.9,187,186.2,184.3,187.1,183.7,193.9,186.4,188.7,185,192.4,192.1,185.7,193.1,190.1,189.1,192.3,188.1,183.8,185.6,192.3,185.5,186.2,190.2,194,192.7,187.3,185.7,185.6,189.5,192,183.2,189.2,191.6,193.4,188.8,190.8,188.4,185.6,188.6,190.7,193.6,185.9,184.3,189.4,189.8,187.5,183.8,186.6,195.3,186.4,188.6,191.2,193.4,189,189,183.5,186.1,189.3,185.7,186.6,184.6,184.8,186,190.4
RCP2.6,	BRANT,234.4,232.9,222.4,222.9,223.3,230.2,225.7,221.9,228.1,227.7,233.9,224.6,226.3,230.6,227,232.2,229.9,234,231.3,230.1,234.4,233,226.2,237.4,235.5,234.1,230.7,232.5,239.5,236.7,249,236.7,241.7,239.6,234.7,242.2,243,241.4,244.4,244.2,244.5,255.6,247.7,245,234,244.2,253.2,240.5,245.8,247.9,250.5,234.6,244.8,241.4,244.8,252.3,246.4,252.3,246.8,250,256.3,242.8,252.9,246.7,249.7,251,247.7,251.7,258.1,260,243.4,250.5,252.5,260,247.5,250.9,242.1,247.9,252,254.1,244.3,247.4,242.2,252.9,250.5,252,251.7,248.7,243.4,247.4,243.4,243.8,239.4,255,248.9,254.9,246.7,251.8,246,247.4,247.5,241.8,250.8,254.1,254.9,253.2,250,260.1,262.6,253,242.2,245.4,245.6,246.6,245.5,245.5,245.8,252.3,252.1
RCP2.6,	BRUCE,206.5,208.7,195.5,200.2,201.8,201.2,204.4,197.9,208.5,207.4,208.3,200.2,203.5,209.9,208.1,211.7,209,215,207.1,207.2,212.8,211.8,210.9,210,212.3,215.6,207.6,209.9,212.9,217.7,218.6,213.9,216.1,211,215.6,218.3,213.2,217.4,216.9,219.2,224.5,226.7,221.4,222.2,214.1,216.3,222.2,218.6,225.3,220.9,218.3,217.6,218.8,222.2,224.6,225.8,222.2,227.3,221.9,223.9,234.5,219.6,224.4,221.8,231.6,229.3,222.8,224,231.4,228.8,225.7,225.6,230,230.4,230.5,228.3,223.9,227.4,231.1,225.7,222.8,220.3,219.3,234.3,226.1,227.2,227.2,229.3,226.7,223.3,224.3,221.1,220.8,232.5,223.6,232.1,220.2,224.7,223.7,222.5,216.3,221.1,224.9,234.4,231.9,227.1,223.5,235.7,234.1,227.8,219.2,224.7,223.7,224.2,228.8,230.4,222.4,228.1,227.4
RCP2.6,	COCHRANE,156.3,151.5,150.4,155.1,153.3,150.9,150.5,152.9,150.3,155.9,150.7,150.2,155.1,151.5,151.2,154.3,157.3,154.6,156.2,155.3,157.6,156.5,159.2,157.9,152.2,155.8,158.8,158.1,157.8,151.2,157.9,159.9,152.4,154.4,164.7,168,162.7,156.6,164.5,169.3,164.1,168.1,169.6,165.8,160.1,159,162.6,160,162,163.8,158.1,165.2,153.3,160.4,165.8,163.9,167.7,163,167.8,162.8,171.6,167.6,169.8,166.6,170.1,172.7,162.5,171.2,168.6,168.2,171.1,167.5,161.9,163.7,174.8,164.5,164.4,173.6,171.8,170.6,169.5,165.1,165.8,166.6,168.2,163.6,168,171.4,171.3,166.5,172.2,164.4,166,166.9,171,173.9,167.4,165.8,170.8,169.8,165,165.3,165.6,176.8,168.2,166.8,169.8,171.4,166,169.7,165.6,163.1,168.3,167.6,166.3,163.5,167.7,167.5,167.5
RCP2.6,	DUFFERIN,210,210.7,205.1,209.6,206,215.7,210.9,205.7,211.3,212.9,219.1,212.6,208,215.8,213.1,220.9,214.2,220.4,212.8,217.4,220,215.4,215.3,218.5,220,220.6,214.6,215.4,221.7,219.8,225.9,222.5,222.6,217.3,222.6,226.9,220.5,226.3,223.8,233.1,225.3,236.7,226.8,231.2,220.1,229.5,227.2,226.6,233.4,231.1,229.2,222.7,225.7,228.5,227.3,228.3,224.2,232.6,225.9,228.1,240.3,226.9,238.1,230.4,235.1,236,231.1,233.3,239.9,240.3,230.1,235,236.3,240.2,236.1,239.9,231.3,228.7,234.9,230.5,229,226.9,227.8,240.1,236,230.9,233.2,233,230.5,229.7,227.8,227.8,229.8,235.1,228.6,240.2,226.2,227.7,230,228.9,219.5,228.5,230.6,237.9,241.5,234.2,233,237.6,239.8,235.2,221.9,230.4,234.3,231.2,234.6,230.4,229.1,235.5,230.5
RCP2.6,	DURHAM,213.4,216.3,208.9,211.8,209.3,216.7,212.5,207.9,213.5,216.8,221.2,213.9,211.7,218.4,217.1,223.3,218.1,224.1,217.8,218.7,220.5,218.3,216.8,221.1,222.6,221.2,216,218.9,223.6,224.8,230.1,223.2,233.9,222.1,224.2,230.3,223,229.9,230.6,235.9,231,239.7,230.4,231.8,222.1,234,231.9,230.2,233.2,233.4,233,223.4,231.4,228.6,230.3,229.7,228.2,233,230.9,230,241.6,228.8,240.7,231.3,237.1,239.3,229.9,234.5,243,243.9,232,237,238.5,245.7,236.5,237.4,233.7,230.5,236.6,232.9,227.3,231,228.3,241.6,237,236.1,235.1,234.9,232.5,232.4,229.3,228.8,231.6,239,233.1,244.3,228.4,230.1,231.7,231.4,232.8,231,235.2,241.5,241.8,239.6,236.6,240.8,243.7,235.9,225.8,232.7,235,232.7,232.4,231.2,229.2,237.2,236.6
RCP2.6,	ELGIN,237.2,230.7,224.8,224.4,222.5,229.6,223.5,224.6,227.8,229.1,235.4,224.8,227.3,230.4,225.7,229.4,230.1,234.9,231.5,228.7,233.4,233,227.6,236.7,236.2,235.3,235.1,233.8,239.9,237,242.6,238.4,240.4,239.7,237.9,242.4,242.6,240,244.3,244.2,245.4,254.9,248.9,246.6,234.8,240.7,253.9,241.8,244.3,248,247.6,238.6,240.7,239.8,244.8,251.9,244.2,253.2,247,251.7,256.3,242.9,252.6,245.9,252.5,247.9,248.6,250.1,258.8,259.4,242.7,250.3,252.1,261.2,249,250.3,240.6,249,250.6,254.4,243.7,247.3,245.2,253.2,249.8,255.3,253.6,249,244.8,244.7,241.9,245.2,239.4,254.6,248.5,255,252.2,249.1,245.6,247.1,245.5,242.8,252.4,253.8,254.8,252.5,248.7,261,258.2,253.4,243.2,247.1,245.9,249,245.7,245,246.4,255.8,253.7
RCP2.6,	ESSEX,244.4,234.8,232.2,234.8,229.3,234.2,229.4,232.9,234.6,234.6,242,229.7,233.4,235,233.1,236.3,238.6,241.5,239.9,235.9,238.5,236.3,238.9,241.7,242.8,243.4,235.6,237.7,246.3,244.4,245,242.1,247.1,246.3,246.9,249.1,249.4,244,249.4,252.1,249.4,257.4,254.6,252.1,244,243.8,257.4,246.3,246.8,248.6,253.9,247.2,247.4,247.9,248.2,258.6,248.3,257.7,254.8,259.9,255.9,250.1,262.4,250.3,259.2,254,252.7,246.9,260.7,266.7,247.9,252.8,258.1,265,253.3,252.2,243.2,255.1,253.2,255.9,249.8,256.1,249.7,257.7,258.5,259,256.6,255.8,247.7,248.9,246.2,253.2,251.6,258.2,251.8,262,262.4,254.5,249.6,250.3,251.5,247.1,264,257.6,257.6,256.8,255.2,262.5,265.7,257.6,248.9,253.6,251.6,253.1,249.9,253,252.3,265.9,255.7
RCP2.6,	FRONTENAC,207.6,215.3,203.5,210.7,207.3,213.3,211.7,202.2,210.2,214.5,217.3,207.5,207.4,216.5,213.4,219.8,213.2,220.2,214.5,214.5,218.4,215.6,213.4,217.7,218.5,218.6,212.1,217.7,220.3,218.5,224.5,218.5,230.9,216.3,218.4,224.4,220.5,229.1,227.1,232.7,225.7,232.5,227.2,227.8,219.5,226,227.1,226.3,220.9,229.2,229.8,221.5,225.6,226.1,225.1,226.7,226.4,228.2,227.3,227.5,235.2,224.9,231,229.1,233.6,235.4,224.5,225.4,234.7,234.5,231.2,231.2,228.7,236.6,233,232.2,229.5,224.8,232.1,229.9,225.1,231,230.3,237.3,236.8,228.5,233.1,234.2,227.7,231.4,228.3,228.2,229.3,230.9,230.6,236.2,229.9,226.5,229.8,229.2,228.9,228.6,231.3,234.6,238.6,235.3,232.7,237.5,234,232.3,224,229.2,229.7,228,230.2,229.1,222.1,232.2,231.1
RCP2.6,	GREY,205.5,208.3,198.6,204.4,203.9,206,205.7,199.5,209.7,208.6,211.5,203.2,203.3,210.4,208.2,214.1,211,216.2,208.5,209.3,215.2,212.2,211.5,212.3,213.5,216.2,210.4,211.8,216.4,218.1,221.7,217.1,216.8,211.6,218.5,220.8,214.5,221.1,217.6,220.1,222.2,231.1,222.6,224.7,213.9,219.2,222.2,219.6,227.9,224.8,220.9,218.3,218.8,223.5,224.9,224.7,222.4,226.8,221.4,223.6,235.1,221.1,226.9,223.8,231.9,229.3,224,225.4,233.5,232.7,226.2,227.2,229,232.1,230.8,231.7,226.5,226,232,227.5,223.5,222.4,220.7,234,228.6,225.5,228.8,229.1,226.6,223.6,224.6,222.2,222.7,233.2,223.3,234.5,222.3,224,225,224,215.7,223.9,222,234.7,234.2,228.3,225.5,236.5,235.4,228.1,218.6,225.1,224.4,224,230.7,227.4,223.9,229.5,226.2
