RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	ALGOMA,5605.7,5739.6,5894.9,5816.4,5767.5,5732.6,5699.2,5823.4,5619.1,5594.6,5570.4,5843.3,5683.2,5580.3,5595.6,5581.8,5534.8,5517.7,5448.1,5487.2,5615.3,5457.9,5482.5,5507.3,5483.2,5546.3,5515.1,5421.5,5301.9,5385.6,5354,5294.6,5301.7,5359.7,5314.9,5131.3,5233.9,5250.8,5170.8,5174.5,5166.5,5135.6,5112.9,5120.5,5246.5,5292.4,5101.4,5110.9,5139.3,5168.6,5146.1,5113.7,5189.4,5061.5,5077.3,5039.7,4973.2,5049.7,4967.4,4996.7,4894.2,4953.6,5033.9,5079.3,4965.1,4935,4976.1,4901,4932,4976.3,4912.3,4974.4,5017.1,4901.6,4948.7,4943.5,5021.9,4954.6,4916.9,4951,4968,4961.6,5030.7,4928.3,4832,4947.8,4955.6,4813.6,4939.7,5054.9,4982.2,5006.2,4939,4955.4,5016.7,4910,5017.3,4962.3,4967.6,4972.4,5054.5,5015.7,4982.5,4921.1,5027.9,4893.2,4908.9,4884.6,4925.9,4994.8,4989.3,5019.9,5028.9,5092.4,5016.2,5030.3,4994.9,5005.3,4983.4
RCP2.6,	BRANT,3713.8,3762.7,3928.1,3870.9,3813,3779,3740.5,3850.2,3692.9,3734.7,3618.7,3839.4,3765.6,3677.6,3654.1,3673.7,3667.4,3616.9,3579.6,3606.6,3659.9,3551.9,3587.7,3620.6,3591,3617.6,3601.7,3585.8,3515.1,3530.5,3459.6,3463.4,3484.9,3518.6,3528.7,3395.7,3376.7,3421.9,3391.6,3386.2,3384.5,3368,3313,3328.5,3429.4,3458.1,3330.1,3392.3,3356.9,3383.8,3311.3,3361.8,3370.8,3289.7,3321,3251.3,3230.1,3284.6,3248.3,3239.9,3167.6,3211.5,3238.9,3297.3,3207.4,3239.6,3212.2,3160.8,3180.2,3232.5,3195.1,3243.1,3221,3186.3,3189.7,3253.4,3247.5,3243.3,3227.1,3242.1,3226.7,3246.7,3235.7,3238,3153.7,3192.5,3222.3,3153.7,3241.2,3295.8,3265.1,3236.7,3186.3,3268.8,3264.1,3239.3,3196.1,3180.8,3223.3,3252.8,3302.9,3285.9,3211.5,3200.8,3289.8,3199,3194.1,3171.9,3202.3,3257.6,3227.3,3297.6,3314.6,3242.5,3294.2,3249.3,3291.7,3253.7,3246.1
RCP2.6,	BRUCE,4178.3,4234.8,4416,4351.4,4290,4258.5,4221.9,4325.8,4161,4183.3,4100.6,4320,4226.8,4129.2,4126.3,4121.7,4121.6,4077.9,4040.9,4058,4124.9,4008.6,4040.8,4060.7,4033.9,4090.2,4076.6,4020.5,3951.3,3991.6,3915.6,3915.6,3924.7,3955.1,3955.5,3823.6,3817.8,3866.5,3821.1,3827,3825.6,3789.7,3747.9,3771.2,3855.5,3894.7,3751.6,3802.4,3782.6,3822.1,3752.8,3773.6,3793.6,3710.3,3747.3,3679.3,3647.5,3710.9,3667.9,3665,3570.4,3623.6,3668.4,3727.2,3638.1,3643.4,3629.2,3582,3596.4,3643,3610.3,3661.9,3645.9,3603.3,3597.6,3655.1,3671.3,3646.5,3629.2,3650.3,3627.8,3650.1,3663.3,3635.8,3564.6,3592.1,3631.7,3551.7,3632.2,3706.8,3675.9,3656.7,3588.4,3659,3672,3641.7,3626.2,3596,3634.2,3654.1,3713.6,3697.3,3635.3,3610.3,3680.8,3613.7,3618.6,3575.2,3612.5,3683.5,3650.2,3704.1,3720.7,3682,3708.5,3665,3694.2,3662.1,3673.9
RCP2.6,	COCHRANE,6335,6495.2,6644.6,6515.8,6465.7,6473.6,6394.4,6497.9,6345.8,6318.7,6300.9,6564.5,6390,6315.4,6357.3,6308.2,6261.4,6253.2,6155,6221.6,6318,6173.5,6169.8,6183.2,6220,6268.3,6200.6,6138.8,6002.4,6089.1,6123,6018.8,5995.7,6051.8,6009.8,5838.1,5957.4,5969.4,5925.5,5864.2,5878.8,5827.5,5853.9,5895.7,5965.8,5991.1,5815.3,5815.9,5839.5,5909.9,5894.9,5822.4,5948,5812.7,5792.5,5800.3,5722.4,5791.7,5684.2,5712.5,5601.6,5649.9,5773.7,5820.5,5703.7,5614.7,5726,5594.7,5645,5677,5629.6,5677.5,5771.6,5658.7,5672.4,5670.4,5756.9,5685.3,5641.4,5665.4,5685.3,5666.2,5745.9,5636.3,5535.3,5696.2,5716.8,5511.8,5647.4,5752.8,5665.9,5696.6,5652.6,5657.5,5719.9,5620.9,5777.3,5710.2,5655.2,5698.5,5781.6,5701.2,5689.6,5626,5752.8,5611.1,5645.3,5605.1,5690.2,5681.1,5696.3,5724.7,5712.2,5805.9,5716.2,5750,5681.2,5736.2,5692.7
RCP2.6,	DUFFERIN,4154.4,4205.9,4390.4,4326.8,4262.4,4239.5,4187.5,4298.7,4134.7,4160.2,4066.2,4286.3,4203.9,4117.8,4091.4,4103.9,4100.3,4043.6,4006.3,4031.3,4093.9,3971.7,4007.3,4039,4016.5,4051.2,4026.5,3989.7,3920.5,3954.5,3860.2,3869.1,3895.3,3931.5,3928.1,3784.3,3776.8,3830.5,3780.5,3783.8,3785.5,3761.4,3709,3733.7,3825.6,3860.8,3718.9,3771.9,3753.6,3778.1,3705.8,3735.1,3758.4,3672.4,3703.1,3632.7,3607.9,3665.1,3621.2,3616,3529.9,3577.2,3619.7,3676,3584.7,3605.2,3573.4,3529.1,3540.7,3597.2,3558,3615.5,3596,3550.6,3554,3617.3,3623,3608.4,3593.3,3613,3593.9,3617.6,3606.4,3600.8,3516.2,3551.4,3584.8,3513.9,3604.7,3663.8,3639.9,3613.3,3547.6,3625.1,3634.4,3602.4,3566.4,3553.7,3591,3618.7,3668.7,3658.3,3586.5,3567.2,3651.1,3561.6,3569.4,3530.5,3573.6,3632.4,3600.2,3667.9,3689.4,3630.3,3666.5,3620,3669.9,3622.6,3632.6
RCP2.6,	DURHAM,4034.5,4071.1,4250.9,4191.1,4127.2,4113.1,4055.8,4162.7,4011.1,4029.3,3943.3,4153.6,4074.9,3992.8,3969.3,3979.8,3983,3920.4,3883.4,3911.4,3968.7,3851.9,3889.4,3928.3,3903.5,3934.6,3903.5,3872.8,3811.1,3842.3,3746.8,3756.6,3784.7,3820.5,3818.7,3683.9,3675.6,3724.9,3676.3,3680.5,3680.9,3666.7,3608.2,3638.9,3714.6,3754.6,3620.8,3680,3656.3,3676.6,3604,3636.9,3663.8,3577.9,3604.8,3537.3,3522.7,3567.9,3527.3,3522.5,3447.4,3486,3529.2,3583.7,3500.3,3509.6,3481.1,3440.5,3455.9,3507,3474.2,3525,3505.3,3464.7,3474.5,3532.2,3531.7,3526.8,3507.5,3520.8,3512.3,3532,3516.1,3511.4,3426.6,3472.3,3486.6,3423.7,3518.8,3569.2,3546,3521.4,3455.9,3539.6,3544.2,3520.5,3477.7,3468.1,3500.3,3527,3572.8,3568,3501.1,3479.2,3557.2,3475.5,3481.8,3445.3,3491.6,3539,3504.3,3575.7,3596.3,3535.1,3569.5,3533.1,3576.2,3529.4,3543.8
RCP2.6,	ELGIN,3649.9,3708.1,3851.9,3802.4,3751.4,3705.9,3677.9,3786.6,3629,3677.4,3557.1,3778.7,3701.4,3607.2,3589.2,3608,3602.6,3553.8,3525,3541.8,3594.9,3492.5,3528.3,3555.6,3519.8,3553.2,3549.7,3527.5,3453.6,3463.6,3416.5,3405,3421.8,3460.5,3472.7,3346.6,3319.3,3359.8,3342,3329.9,3331.6,3311.4,3260.1,3265.7,3371.5,3397.1,3275.5,3340,3291.5,3329.7,3258.3,3312.8,3307.1,3237.3,3266.4,3198.5,3171.9,3234.2,3197.6,3185.9,3115.8,3166.9,3188.9,3247,3150.5,3190.6,3163.1,3111.8,3133.4,3185.9,3143.6,3190,3174,3132.1,3138.8,3199.7,3189.4,3183.3,3176,3191.1,3170.8,3191.7,3190.9,3186.2,3106.8,3138.5,3180.5,3101.3,3187.1,3245.5,3213.7,3183.9,3139,3218.4,3209.7,3185.4,3147.9,3122.8,3175.1,3201.2,3257,3233.9,3161.8,3151.8,3234.8,3146.8,3137.2,3118,3144.5,3208.1,3174.5,3244.7,3258.3,3189.4,3245,3193.3,3235.6,3202.4,3190.7
RCP2.6,	ESSEX,3471.3,3538.9,3655.7,3618.3,3583.4,3515.6,3501.8,3612.1,3450.4,3509.7,3378.3,3609.5,3524.4,3439.5,3417.1,3436.4,3423.4,3380.1,3360.2,3365.1,3429.6,3330.6,3358.2,3396.1,3348.9,3382,3387.8,3369.5,3296.4,3292,3268,3243.9,3262.1,3299,3319.8,3192.8,3171.4,3206.7,3194.9,3173,3178.1,3158.1,3113.4,3103.3,3215.1,3238.3,3124,3192.4,3135.7,3171.8,3110.1,3175,3151.3,3093,3121.5,3048.7,3028.7,3089.2,3057.3,3042.2,2977.6,3027.6,3053.4,3106.7,3000.2,3060.2,3024.8,2982.2,3000.1,3058.6,2998.6,3049,3039,2986.9,3008.4,3061.3,3042.6,3040.2,3033.9,3051.8,3033.1,3046.1,3052.7,3049.5,2970.1,3000.6,3046.8,2966.4,3051.8,3101.3,3071.7,3040,3004.9,3075,3068.4,3045.2,3009.2,2982.4,3042.5,3063.9,3121.2,3100.5,3027,3016.6,3094.5,3007.4,2989.9,2985.3,3001,3064,3034.9,3105.3,3106.6,3041.9,3106.1,3048.2,3094.1,3067.9,3044.8
RCP2.6,	FRONTENAC,4240.5,4261.1,4443.8,4399.7,4326.6,4324.6,4253.3,4355,4220.2,4218.7,4165.8,4356.1,4276.6,4202.2,4172,4175.1,4192.8,4112.7,4087.6,4096.5,4164.1,4038.9,4079.3,4128.8,4104.7,4140.3,4095,4064.5,4000.8,4036.7,3927.8,3941.7,3969.9,4018.4,4000.1,3869.2,3866.1,3910.9,3844.8,3864,3876.9,3857.5,3786.5,3849.2,3885.6,3936.3,3809.8,3857.6,3836.1,3861.7,3789.1,3811.4,3861.9,3763.5,3779.9,3715.7,3708,3745.7,3706.2,3699,3625.2,3651.4,3711,3758,3682.8,3668,3636.6,3615,3645.2,3686.9,3663.9,3703.9,3691.9,3637.1,3657.2,3709.2,3714,3704.8,3696.9,3691.9,3702.7,3722.9,3693.5,3683.4,3591.4,3665.8,3649.5,3587.7,3708.3,3745.4,3729.5,3700.4,3632.5,3725.5,3727.3,3700.2,3650.7,3657.4,3678.2,3699,3741.3,3753.3,3695.8,3661.6,3728.6,3644.6,3661,3613.8,3675.5,3706.9,3672.8,3754.6,3777.2,3717.8,3735.3,3711.3,3761,3700.3,3739.5
RCP2.6,	GREY,4198.6,4251.4,4437.8,4371.6,4308.6,4283.5,4235.7,4344.3,4180.6,4201.8,4118,4335,4247.7,4156.1,4140.7,4144.7,4143.2,4090.7,4054.9,4077.1,4140.4,4022.2,4055.3,4080,4056.9,4103.6,4083.2,4035.6,3965.3,4003.6,3916.9,3923.3,3939.3,3972.3,3970.5,3834.4,3826.6,3880.2,3829.1,3831,3833.6,3803.3,3758.4,3784.5,3868.6,3906.2,3763.2,3813.8,3796.4,3830.5,3757.7,3781.1,3803.8,3718.8,3751.7,3683.1,3655.2,3714.9,3672.2,3669.2,3577.6,3626.5,3672.1,3728.3,3639.8,3650.6,3628.3,3582.4,3595.4,3645.7,3611.1,3668.1,3647.2,3604.1,3603.3,3662.8,3673.8,3653.8,3636.3,3657.9,3636.8,3661.7,3659.2,3643.7,3566.6,3599.5,3634.6,3557.1,3643.4,3712.3,3685.8,3660.9,3593.9,3667.3,3679.2,3648.7,3622.8,3601.9,3639.1,3662.9,3716.1,3703.2,3638.5,3614.2,3692.1,3617.5,3621.2,3578.3,3619.7,3685.8,3653,3712.5,3733.4,3684.3,3714.8,3669.2,3710.5,3668.4,3682.8
