RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	ALGOMA,242.6,187.4,149.2,170.8,156.9,183.1,177.1,171.4,233.2,231.4,223.3,180.2,176,253.6,207.8,249.8,274.5,252.7,253.1,275.1,208.3,267.9,267.1,270.6,274.3,263,296.1,328.4,327,328.5,352.4,359,400,350.4,362.3,441.7,428.9,416.4,401.4,376.9,426.7,438,401,484.3,405.2,403.9,472.7,444,408.9,470.5,521.7,457,451.6,511.4,472.7,471.6,560.2,509.4,553.8,499.4,591,576.3,565,489.5,518.8,578.2,564.2,581.1,604,527.5,599.2,565.2,584.1,743.7,599.5,582.2,529.1,596.8,634.2,630.8,592.8,622.2,552.6,599,621,533.5,635.7,662.6,532.2,489.8,588,585.6,639.8,629.4,566.1,598.7,632.4,623.7,647.5,573.8,581.6,559.5,544.8,627.5,560.9,641.6,652.6,712.2,619.3,567.8,601.3,515,570.3,552.8,533.3,514.2,669.4,646.9,592.6
RCP2.6,	BRANT,116.3,82,55.6,60.8,47.9,65.4,91.2,76.9,115.6,75.1,134.1,74.1,64.4,128.6,123.8,139.1,136.8,120.2,120.8,160.7,118.9,146.9,133.4,122.9,155.2,161.2,189.7,204.6,166.5,209.9,232.5,191.3,199.3,211.8,198.7,232.1,237.9,228.6,235.4,247.2,279.1,242.6,246.5,286.8,310.8,248.5,303.2,262.3,255.8,306.4,395,284.6,359.2,404.4,363.6,317.1,406.8,377.4,402.4,317.4,412.1,427.2,376.1,370.2,376.9,437.7,440.7,427.7,424.5,392.8,457.5,408.6,486.5,538.3,412.1,407.3,372.8,371.4,422.3,438.6,425.1,438.6,407.5,439.9,414.1,392.6,445.7,466.8,402.2,383.6,427,481.2,474.8,462.8,414.5,395.1,527.9,441.9,454.4,374.2,420.7,354.2,442.8,471,429.1,465.6,481.7,519.1,447.6,399.9,435.2,383.4,378.7,399.7,361.6,366.8,447.2,465.3,437.1
RCP2.6,	BRUCE,65.9,31.2,-4.5,-5.7,11.3,-12,21.7,21.2,57,53.6,80.3,1.4,-6.1,106.3,82.5,115,116.6,86.3,80.5,147.1,76.6,132.7,119.2,117.5,154.3,115.2,160.5,180.3,145.9,195.2,202.3,163.7,225.3,220.2,208.4,216.1,220.5,211.1,231,224.6,260.6,254.6,246.5,273,335.9,252.8,294.4,287.1,263.9,291.1,427.8,280.4,327.5,395,351.4,303.8,416.2,391.7,427.4,345.4,410.2,449.7,403.5,366.1,388,450.1,444.2,430.2,448.3,407,467.4,434.4,509,553.6,456.8,423.5,388.5,396.2,440.6,449.7,435.2,454.9,418.5,459.7,423.9,399.7,466.5,484.9,393.3,351.4,449,489.7,458.6,487.1,417.9,400.6,529.9,444.2,464.9,385.3,456.2,366.5,428.7,462.8,425.1,461.6,508.3,554.8,440.2,425,461.4,378.8,365.8,404.8,394.5,367.8,456.1,510.9,427.7
RCP2.6,	COCHRANE,333.9,261.5,222.4,257.8,234.4,252.7,268.5,265.7,285.8,307.6,303.8,259.5,262.5,330.7,274.3,331.6,322.4,313.4,325.1,330.5,283.7,364.2,328.3,355,338.9,340,364.7,411.9,438,396.8,425.3,428.3,495,440.4,486.3,526.5,535.2,461.9,481.3,487.5,508.2,496.7,492.8,544.3,479.1,504,594,514.2,481.5,543,567.1,532.9,510.3,551.7,563.6,543.3,628,544.7,626,560.7,663.8,632.4,630.8,530.4,581.6,672.4,627.8,664.3,667.2,608.4,673.6,643.3,627.1,761.6,639.4,683.7,607.3,679.6,687.5,706.8,686.1,717.1,615,676.3,715,604.7,695.9,781.7,609.6,579.3,635.3,662.4,737.8,711.8,647.5,680.8,692.2,701.8,737.2,647.5,662.9,666.3,636.3,709.9,631.7,703.1,687.4,789.9,680.5,669.3,683.1,590.8,666.8,661.1,635.5,605,769.8,729.5,682.1
RCP2.6,	DUFFERIN,123.4,101.9,73.2,76.1,73.9,87.4,107.7,93,135.6,97.3,138.5,82.1,89.7,141.5,136.3,151.3,149.3,154.8,133.3,177.3,126.3,168.3,164.7,152.4,163.3,162.9,196.8,199,185.7,210.1,243.6,208,219.9,189.6,202.3,244.1,244.4,241.8,251.8,250.5,265.2,267.7,262.2,297.8,339.8,258.2,309.4,284.6,266.1,319.1,398.9,301.4,340.4,378.3,357.1,316,404.4,385.7,394.8,328.3,405.3,427.4,390.9,375.6,389.9,455.6,423.9,430.1,451.5,396.4,429,401.6,485,526.6,413,404.2,369.4,394.1,436.1,432.9,406.5,422.8,407,427.3,434.6,386.5,448.4,482.2,387.8,374.8,433.2,453.8,470.5,464.1,422.5,414.8,515.9,433.8,447.9,361,433.6,355.2,433.9,480.9,405,449,474.4,516.1,440.9,396.9,453.6,374.8,382.9,396,371.1,380,453.3,456.3,415.7
RCP2.6,	DURHAM,100.3,69.2,49.9,48.4,49.3,57.4,73.4,65.2,112.7,77.2,117,64.5,62.1,113.9,117.6,125.7,115,111,104.9,155.3,100.2,144.4,129.5,121.7,128.5,150.8,187.4,199.7,170,188,225.6,185.7,222.7,187.9,201.8,225.1,233.1,214.3,232.5,223.3,263.9,241,245.3,274.7,315.8,248.6,306.1,263.8,262.5,311.1,385.4,280.8,340.1,382.6,341.4,318,398.6,373.3,399.1,304.4,380.2,427.9,379.2,353.2,363.3,443.3,418.3,423.8,427.1,380.1,420.5,406.5,481.7,518.9,397.1,387.7,377.6,371.3,416.6,416.3,404.3,421,416.3,416.7,411.8,368.7,445.3,464.6,363,362,417.7,450.5,463,467.5,395.6,393.4,496.6,433.8,442.7,368.6,412.7,335.6,410.7,456.2,419.3,440.2,464.3,505,439.9,405.1,440,370.1,352.5,382.4,364.3,364.1,435.9,459.9,413
RCP2.6,	ELGIN,86.4,56.9,36.7,36.6,29.2,53.1,70.2,54.1,95,56.8,108.8,54.3,39.5,117.3,100.5,112.7,128.8,94.3,95.9,145.8,95.7,140.8,121.1,117.1,165.1,140.8,170.7,175.1,158.3,186,213.1,154.3,187,200.7,197.5,208.1,230.6,205.1,220.8,243.1,264.8,232.5,246,290,298.5,222.7,295.2,253.5,242.8,265.8,373.3,246.7,339.1,381.9,344,296.1,389.3,341.1,399.8,302.6,393.4,410.2,370.7,345.6,374.3,427.9,415.2,409.3,402.4,380.9,441.2,411,463,510.8,412.9,411.9,350.7,361.7,408.4,420,432.4,437.2,372.3,436.9,394.7,393.6,413.1,453.8,402.2,359.4,419.8,490.5,455.8,448.8,414.3,386.8,528.4,438.9,437.7,360,396.6,348.8,428.8,448.3,420.4,460.9,484.3,507.8,429.8,377.7,431.5,385.3,351.9,415.6,367.2,369.5,426.5,476.1,419
RCP2.6,	ESSEX,87.8,54.7,30.4,26.6,19.8,54,58.2,57.7,81,59.7,100.4,45.3,36,121,100.2,115.2,120,104.6,100.6,143.7,75.8,145.4,110.8,116.1,169.5,132.5,159.3,159.4,158.1,191,200.7,143,185.7,203.9,219.8,202.1,244.3,190.5,217.4,235.1,275.4,231.2,259,290.9,283.6,224,289.9,234,248.6,258.6,374.3,252.7,340.6,373.4,325.1,294.8,366.3,318.4,394.1,295.2,393.3,391.1,368.3,339.3,372.1,406.4,405.9,406.8,359.7,357.4,435.1,403.5,439.8,501.9,404.5,395.8,328.3,379.3,402.8,411.1,413.1,433.2,377,427.4,392.5,386.8,385.2,431.1,401.9,347.4,394.3,491.9,453.6,429.6,416.5,388.1,533.9,446,428.1,362.2,384.6,340.6,408.5,449.5,404.8,438.6,477.4,525,411.9,362.1,440.1,398.7,330.6,397.5,363.5,360.5,417.9,481.7,405.5
RCP2.6,	FRONTENAC,159.8,113.2,87.8,81.5,90.6,98.6,112.6,118.7,153,131.7,136.9,100.3,101,134.7,160.8,164.6,185,142.4,140.7,211.4,142.6,198.1,191.4,190.4,183,201.8,243.4,241.2,225.1,238.2,278.9,256.6,298.1,249,282.9,289.3,322.3,271.5,310.1,286.2,338.9,294.4,319.9,347.7,404.7,326.1,398.6,337.7,330.1,377.8,494.3,357.4,399.2,468.8,421.5,405.2,485.8,462.4,469.7,440.8,457.4,522.3,458.7,432.7,447,520.3,516.5,521.3,519.7,475.8,478.1,506.9,545.8,588.3,506.5,459.8,452.9,464.5,494.1,510.6,520.5,501.7,498.7,485,526.7,417.5,524.3,551.3,432.2,443.6,505.7,544.9,582.6,575.6,488.9,476.1,575.4,538.9,542.4,490.6,487.4,441.3,478.3,554.8,492.8,522.4,537.7,586.5,520.4,494.9,531.9,442.5,442.7,469.5,455.8,435.8,502.4,537.6,491.1
RCP2.6,	GREY,98.8,75.1,41.8,46.3,47.9,46.1,70.2,65.5,102.5,75.2,112.3,50.9,51.3,125.8,123,142.7,146.6,130.5,116.9,165.2,108.9,157.1,143.8,139.6,156.9,141.1,179.9,203.6,164.3,206,227.8,196.7,221,198.2,204.1,230.7,242.6,233.1,246.4,240.6,265.6,265.6,254.4,286.2,346.9,259.6,304.1,291.4,266.9,311.2,423.5,305.4,335,384.2,357.4,312.4,410.7,403.2,413.5,334.6,416.3,446.6,398.1,378.7,399.4,460.6,432.9,433.9,457.6,394,450.9,432.8,501,546,440.3,426.7,387.3,398.3,454.6,441.2,421.3,445.7,429.7,448.1,438.1,398.1,463.1,489.1,397.4,367.9,447,470.9,471.6,481.7,421,417.7,528,442.9,456.3,376.9,452.2,367.7,440.2,474.6,418.1,464.5,499.8,546.4,441.6,417.6,472.3,378.9,377.8,402.2,391.6,380.3,462,476,433
