RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	ALGOMA,158.3,168.6,177.8,162.7,163.1,181.3,207.3,169.2,157.2,192.9,181.4,168.6,157.2,180,161.5,182.8,168.7,198.5,180.1,168.1,198.8,176.6,183.9,194.8,192.4,186.2,173.7,169.3,202.2,220.8,210.7,178.3,188,202.5,194.1,190.3,189.4,194.7,184.4,220.8,196.9,200.7,197.3,180.1,219.3,193.9,205.5,197.4,186.6,206.1,183,201.4,219,200.6,194.2,215.3,194,201.5,200.9,206.6,221,202.3,187.8,224.9,260.7,198.2,232.4,237.3,242.5,233.3,192.9,227.5,214.1,226.1,204.2,171.1,212.9,227.6,195.8,190.4,222.7,204.2,227.1,197.2,238.3,219.1,200,177.7,214.2,221.4,191.8,226.5,180.7,236.9,227.1,201.7,244.1,216.7,198.9,212.8,217.3,218,219,209.9,178.3,197.6,202.8,213.7,211.5,221.6,200.5,230.2,205.9,244.5,218.5,215.5,193.1,192.6,197.3
RCP2.6,	BRANT,176.4,171,190.9,160.4,185.5,187.4,219.2,183.4,182.4,197.5,184.2,189.9,199,191,152.2,138,171.7,184,202.6,186.4,202.5,185,179.7,208.5,212.3,179.6,192.4,186.1,235,187.8,190.8,208.1,179.4,224.7,234.6,234.4,219.1,234.1,201.2,195.7,207.3,186.7,181,196.7,225.6,223.3,212.3,230.7,226.4,192.2,204.8,254.5,240.7,223,243.4,218.5,224.9,229.5,186.5,228.9,272.1,200.9,205.3,217.2,224,215.5,228.4,253.8,242.2,205.1,221,243.3,220.9,208.2,224,203.9,241.1,218.2,241,207.5,218.4,264.6,237.5,211.9,263.6,203,204.6,229.4,227.5,215.3,219.8,236.8,180.7,229.8,226.6,229.8,262.1,260.6,256,221.6,196.8,203.4,195.1,209.6,192.8,252.4,243,210.1,256.1,246.7,217,206,219.8,241.5,241.5,210.1,207.9,173.1,225.8
RCP2.6,	BRUCE,174.2,182.8,197.6,153.1,186.7,183.8,206,218.9,215.6,213.1,189,210.3,179.8,198.7,158.8,169.4,188.1,203.9,205.8,204.3,218.6,208.3,202.4,207.6,217.8,172.1,183.9,187,233.6,219.2,228,216,179.5,232.4,215.8,238.1,226.1,258.5,218.2,221.7,231,196,192.5,204.3,242.9,233.1,243.9,238.9,244.5,197.8,200.9,243.3,250.2,237.8,230.7,222.6,240.6,235.4,205.3,238.5,267.5,227.6,227.2,248.2,229.7,232.4,271.2,276.2,274.3,231,225,241.5,238.4,212.2,238.4,224,247.4,253.1,225,206,224.8,241.1,245.9,208.8,281,207.1,219.1,213.4,247.4,263,222.3,273,180.1,240.5,243.1,233.8,262.6,259.2,246.3,234.5,215.6,235.7,213.2,214.5,230.5,266.1,269.2,220,262.8,282.1,220.2,252.7,215.8,261.7,263.2,204,248.2,210.9,258.3
RCP2.6,	COCHRANE,171.5,171.6,154.6,170.6,161.3,179.7,177.3,164.5,159.4,176.6,159.6,148.7,152.5,167.3,154.5,162.4,182.7,191.7,165.8,177.7,172,167.5,166.1,183.6,171.2,176.3,165.4,178.1,183.7,205.9,172.4,174.3,169.3,198.6,179.9,174.2,186.6,179.9,188.6,205.2,195,194.5,195.2,181,183.6,196.1,199.3,192.4,189.3,207.5,198.1,212.5,198.4,207.4,206.7,211.7,197,215.9,194.6,203.4,212.4,213.5,188.2,219.8,240,199.2,219.7,223.2,221,199.6,192.6,210.6,205.9,232.2,193.1,201.7,198.6,206.5,192.9,183.4,215.5,192.8,213.4,199.9,201.2,189.7,198.5,173.4,204.7,201.3,203.2,207.7,187,211.5,210,191.4,233.1,213.8,212.8,208.8,213.7,190.6,205.6,208.9,188.3,192.6,184.3,211.2,188.7,197,204.1,192.1,185.2,207.3,200.7,208,183.7,198.7,188.6
RCP2.6,	DUFFERIN,180.8,177.1,190.1,153.4,183.1,184.5,216.5,216.7,211,203.8,169.7,182.2,186.1,209,155.8,157,174.4,202.5,204.6,176.8,212.7,200.3,200.9,215.8,232.5,160.4,180.5,181.2,236.7,207,226.8,209.2,175.7,227.1,218.7,231.4,228.8,258.5,208.3,202.6,222.9,189.5,203.6,196.9,238.4,216.3,230.6,237.6,241.2,194.2,194.5,244.3,227.7,229.7,226.7,230.2,228.9,228.4,198.6,224.8,269.2,206,225.8,238.9,226.4,245.5,254.7,267.6,261.4,218.5,228.6,253,229,222.6,248.9,207,250.2,239.4,235.4,195.3,225,249.7,236.7,204.9,274.5,202.2,199.7,213,233.5,231.5,225.3,240.2,182.8,250,237.3,244.1,262.9,262.1,235,227.1,196.9,236.4,194.9,211,213.7,255,257,220.4,269.1,266.5,210.7,224,200.7,256.8,241.9,210.3,230.1,212,253.7
RCP2.6,	DURHAM,150.4,178,158.7,142.7,149.2,164.9,218,186.6,182,183,148.6,157.4,169,182,132,137.8,168.2,179.5,181,172.1,173.7,186.3,172.9,191.8,195,135.8,166.2,167.6,203.7,188.6,207.9,173.8,169.7,216.2,195.3,216.2,190.2,225.6,186.6,176.3,203,173.8,180.6,172.1,221.7,184.5,178.3,215.8,204,171.7,174.1,227.9,208.2,215.3,217.4,205.3,197.7,205.3,181.6,195.6,244.5,196.1,190.8,213,205.6,214.7,239,235.6,219.1,200.2,192.3,232.4,214.7,209,210.6,179.2,217.1,202.2,218.1,167.4,194.9,217.7,197.2,186.4,231.7,173.3,172.9,196,210.4,185.3,197.4,222.5,166.4,210.7,217.9,215.9,227.7,216.2,206.4,182.7,165.5,220.7,176.6,175.1,176.8,222.6,215.7,196.9,238.7,224.8,190.8,200.1,183.6,231.8,216.7,207.1,206.4,180.6,220
RCP2.6,	ELGIN,182.2,163.6,197.5,170.4,185.9,173,209.4,178.2,164.7,204.3,174.2,190.3,179.5,194.9,151.2,142.8,171.4,186.5,201.9,188.1,215.1,170.9,189.6,178.9,203.3,196.3,199.9,180,229.2,186,181,205.2,177,211.1,224.5,218.2,213,219.7,192.5,204.8,205.5,193.6,174.8,196.9,216.1,212.8,208.1,224.9,216.9,192.9,209.3,245.7,259.4,213.3,228.3,215.6,226.1,228.2,188.8,238.9,260.4,187.7,204.4,220.7,222.3,202,223.1,252.4,228.4,195.9,218.8,229.2,213.6,180.9,208.3,206.6,217.2,222.1,228.5,207.6,224.8,258.2,236.6,196.8,267.2,209.9,217.9,231.4,219.2,218.2,219.4,229,181.4,231.4,204.3,219.9,246.4,262.6,255.2,220.2,200.9,201.6,191.6,211.5,207.3,244.1,250.5,211.9,255.2,247.8,205.5,196.3,224.5,225.2,236.6,203.7,214.5,167.1,226
RCP2.6,	ESSEX,177.9,145.5,189.9,145.1,177.9,160.1,194.8,163.6,146.8,173.2,149,185.4,159.8,169.9,132.5,136.4,154.2,178.8,176.5,183.9,194.6,164,176.8,175.8,169.9,166.5,182.7,162.4,203.3,186.3,161.5,198.2,170.4,199.9,220.8,188.5,192.9,188.9,179.8,200.6,190.2,190.6,161.3,178.2,185.6,192.5,202.7,218,187.6,197.6,193.1,230.6,231.3,188.3,209.8,190.3,207.5,196,190.2,217.8,234.3,179.1,184.5,185.7,196.1,192.9,192.7,236.2,222.5,174.1,208.8,194,194.9,183.1,214.3,177.5,193.9,202.6,201.9,196.1,217.4,230.7,231,179.6,228.8,197.9,205.7,223.9,198.2,196.2,198.1,208.8,165.2,209.8,175.7,199,198,237.2,248.3,199.5,177.7,190.4,175,209.7,203.5,224,241.8,191.2,233.3,223.7,180.8,181.6,222.4,192.3,223.8,199.3,209,151.3,201.8
RCP2.6,	FRONTENAC,205.7,239.5,222.4,178.1,206.3,215.6,266.3,225.2,217,223.3,195.7,234,225.4,223.5,189.1,192.7,234.6,227.4,242.4,245.8,209.1,264.7,236.7,244.8,230.7,196.3,246.4,227.2,252.7,248.1,254.9,234.5,210.8,283.1,236.3,281,251.1,279.1,230.6,256.9,257.9,232.7,249.1,255.5,255.2,222.8,250.6,295.8,266,256.4,250.7,267.6,270.1,283.4,303.1,263.6,262.7,261.5,242.9,249.9,300.9,258.6,265.4,288.5,241.9,271.2,296.4,291.7,279.8,266.3,265.9,299.6,287.5,278.8,252.7,252,284.6,250.5,258.5,233.3,256.7,291.5,249.5,276,294.6,265.9,255.4,261.2,269.3,255.7,257.4,269.3,226,265.9,284.4,277.2,298.6,268.8,262.4,225.7,239.5,244.9,270.6,212.7,245.5,281.4,281.2,274.5,295.9,276,260.7,275.6,254.6,280.4,295.5,266.5,269.3,255.1,277.4
RCP2.6,	GREY,174.3,181.3,195.4,152.9,186.1,185.1,208.2,221.9,219.3,215.9,184,199.3,186.5,206.6,153.7,164.6,183.9,205.6,206.1,193.7,224.6,213.1,199.4,212.7,224.4,169,181,189.2,235.8,212.9,227.6,215.2,179.2,229.1,216.8,235.2,231.1,263,210.7,219.2,226.3,193.4,201.4,198.5,242.5,230.9,240.6,243.7,253.1,190.1,199,241.8,238.4,235.8,229.7,228.6,236.8,231,201.4,236,265.9,218.8,229.6,244.2,231,246.4,260.4,273.8,280.4,232.3,222.8,250.2,241.3,225,248.5,218.2,247.2,253,228.5,203.1,223.8,246.3,247.2,210.3,276.9,200.7,216.1,210.7,243,252.9,224.3,264.8,175.9,245.4,243.7,242.6,258,261.8,244,234.2,210.5,234.7,208,218.6,224.3,266,272.8,219.7,263.8,277,216.3,241.4,209.5,263.2,262.9,211,243.6,213.2,263.1
RCP2.6,	HALDIMAND-NORFOLK,184.5,176.2,197,163,183,188.6,222.3,181.9,177.1,195.9,179,194.4,204.8,187.3,154.5,138,169.6,188.6,202.6,190.4,203.3,183.2,182.7,208.5,212.9,185.5,203.1,181.9,236.3,190.5,190.4,212.2,187.7,224.6,241.2,227.9,210.2,232.7,195.5,190.6,209.1,192.2,181.5,210.8,225.4,229.8,205.1,231,213.8,189.5,209.5,251,254.4,226.6,245.5,224.1,227.6,232.8,186.1,229,270.5,198.2,208.7,215.7,224.1,216.9,229.9,258.7,246.3,205.7,228,239.9,225.8,207.2,226.4,202.6,233.9,223.7,238.8,213.9,227.4,268.9,241.3,212.9,262.4,207.8,210.1,239.1,229.5,220.2,220.5,234.3,180.7,228.6,222.5,229.6,264,263,259.3,220.6,193.5,199.9,195.9,211.4,197.4,254.3,236.2,215.3,250.6,249,224,208.8,226.4,234.6,244.1,220.7,211.1,173,237
RCP2.6,	HALIBURTON,183.2,205.6,200.1,166.1,169.5,181.1,243.9,210.3,225.3,207.3,195.6,205.9,179.2,209.9,177.9,178.2,215.7,206.3,207.7,203.8,221,236,200.9,215.8,221.1,179.1,193.8,200.5,236,232.6,242.8,214.9,186.2,252,194.6,262.3,231.9,272.6,198.2,240.9,230.4,213.6,233.6,234.6,256.2,217.1,241.5,255.4,245.1,209,205,264,221.2,238,255.7,235.9,232.4,224.6,214.8,243.5,273,235.9,247.3,235.6,239.6,258.9,278.6,278.3,262.2,247.4,218.3,281.2,250.9,243.9,259.2,206.8,263.5,238.9,246.8,207.1,222.6,256.5,233.3,238.8,242.3,228.6,218.1,218.1,260.8,226.4,226.9,266,190.3,241.3,263.2,250.9,262.3,240.6,242.1,217.1,205.3,254.9,226.2,202.2,224.9,264.3,260.4,209,259.7,255.3,226.3,257.8,227,237.7,255.3,236.8,238.4,214.5,256.9
