id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-126.3,-52.5,29.7,115.1,232.3,-88.9,-8.0,47.9,100.8,200.9,-145.0,-75.3,-3.6,74.3,201.7,-144.5,-83.9,-15.3,66.2,175.2,-102.0,-21.8,76.2,175.0,300.6,-50.1,26.9,81.8,155.5,241.5,-128.9,-58.6,9.3,103.0,225.1,-143.8,-84.7,-24.3,52.2,168.0,521.6
2,-88.875,56.875,-126.7,-52.2,29.2,113.9,232.5,-90.0,-10.4,46.7,101.0,197.2,-144.5,-75.4,-4.3,74.1,200.7,-144.4,-84.1,-13.9,65.7,174.9,-101.5,-21.1,76.6,174.2,300.0,-49.4,26.1,81.8,154.4,239.5,-127.8,-59.1,8.8,103.7,226.5,-144.3,-84.8,-25.3,52.8,169.3,521.6
3,-89.25,56.75,-132.4,-60.0,17.5,106.7,224.8,-115.5,-16.2,36.7,103.1,199.0,-149.8,-79.9,-10.0,70.9,195.3,-145.4,-84.7,-20.1,64.3,167.5,-108.2,-27.5,59.5,157.8,287.8,-75.1,6.7,71.5,142.7,227.3,-133.3,-65.6,3.8,95.2,218.9,-148.2,-87.4,-31.9,44.1,168.1,526.8
4,-89.125,56.75,-130.1,-58.2,19.0,105.5,223.4,-114.5,-15.8,35.3,104.1,199.2,-148.0,-78.5,-9.9,71.1,196.3,-144.7,-83.4,-18.9,63.3,166.5,-106.4,-26.6,58.5,157.0,288.9,-70.7,6.4,71.4,143.2,222.9,-131.8,-64.7,2.4,97.0,220.5,-146.5,-86.5,-30.2,45.5,167.1,524.5
5,-89.0,56.75,-127.4,-57.0,20.2,106.8,223.6,-112.7,-16.5,37.8,105.6,199.8,-145.5,-77.6,-8.1,71.9,197.3,-143.9,-83.0,-18.6,64.1,166.9,-104.4,-24.7,59.8,156.8,285.4,-71.1,6.4,71.3,142.4,224.0,-129.6,-62.4,3.2,97.0,220.5,-145.3,-85.5,-29.3,45.4,169.0,522.2
6,-88.875,56.75,-125.9,-56.1,21.6,107.2,222.6,-113.6,-17.4,37.5,105.2,197.9,-143.7,-76.1,-6.6,72.6,198.3,-142.1,-81.3,-17.7,63.5,166.1,-101.9,-24.0,61.3,156.3,286.3,-71.2,7.0,70.8,140.8,224.5,-128.2,-60.8,3.4,96.1,223.9,-143.7,-84.3,-28.8,45.8,165.7,519.8
7,-88.75,56.75,-124.1,-53.8,22.1,107.9,223.1,-111.2,-16.4,38.2,105.9,198.5,-141.9,-75.7,-6.0,72.9,199.5,-141.3,-80.2,-17.1,64.2,167.3,-102.7,-23.0,61.7,158.4,286.3,-70.6,9.0,71.5,141.1,226.2,-126.4,-59.5,4.5,96.2,223.0,-142.4,-82.9,-28.1,46.3,165.6,519.0
8,-89.375,56.625,-116.1,-43.2,28.9,109.4,227.7,-99.1,-12.9,43.4,100.8,195.7,-132.4,-63.9,0.4,72.4,196.0,-128.2,-69.4,-6.8,64.5,170.3,-92.9,-11.1,70.9,163.0,290.0,-54.2,18.9,78.3,149.2,235.2,-117.3,-47.3,12.3,98.3,218.7,-131.9,-73.5,-18.3,50.3,169.8,518.2
9,-89.25,56.625,-126.6,-57.2,17.2,104.4,224.3,-120.5,-19.3,33.2,98.3,192.3,-143.7,-74.9,-8.4,69.2,193.0,-139.0,-78.1,-17.9,62.5,166.1,-103.3,-22.4,58.8,153.6,285.6,-77.6,4.1,67.3,139.0,222.8,-128.3,-61.1,4.7,93.8,216.4,-142.6,-83.6,-28.6,43.3,165.7,528.6
10,-89.125,56.625,-124.7,-54.8,17.5,103.2,223.1,-116.0,-17.7,32.3,96.9,192.0,-141.4,-72.9,-7.4,69.1,193.7,-136.1,-75.9,-17.1,61.5,163.9,-101.5,-21.1,59.8,153.2,285.0,-77.3,3.8,64.8,137.4,214.2,-126.8,-59.5,5.3,93.6,215.2,-140.3,-81.7,-27.1,44.3,162.5,526.2
