id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,1.3,2.6,3.7,4.9,6.8,0.4,1.7,2.5,3.5,5.3,0.8,1.9,2.9,4.0,5.5,0.0,1.2,2.1,3.2,5.0,3.7,5.1,6.6,8.5,10.6,1.8,3.1,4.2,5.8,8.2,1.4,2.8,3.7,4.9,6.9,0.1,1.2,2.1,3.1,4.9,-6.1
2,-88.875,56.875,1.3,2.6,3.8,4.9,6.9,0.4,1.7,2.5,3.6,5.5,0.8,1.9,2.9,4.1,5.6,-0.0,1.2,2.1,3.3,5.0,3.7,5.1,6.6,8.6,10.8,1.8,3.1,4.2,5.9,8.2,1.4,2.8,3.8,5.0,7.0,0.1,1.2,2.2,3.2,5.0,-6.2
3,-89.25,56.75,1.4,2.8,4.0,5.2,7.3,0.6,1.7,2.7,4.0,6.0,0.9,2.1,3.1,4.3,6.1,0.0,1.3,2.3,3.6,5.4,3.8,5.3,7.0,8.9,11.7,1.9,3.4,4.5,6.4,8.9,1.6,2.9,4.0,5.2,7.3,0.1,1.4,2.3,3.5,5.4,-5.5
4,-89.125,56.75,1.4,2.8,4.0,5.2,7.3,0.6,1.8,2.7,4.0,6.0,0.9,2.0,3.1,4.3,6.1,-0.0,1.2,2.3,3.6,5.4,3.8,5.3,7.0,9.0,11.7,1.9,3.4,4.5,6.4,9.0,1.6,2.9,4.0,5.2,7.3,0.1,1.4,2.3,3.5,5.4,-5.5
5,-89.0,56.75,1.4,2.8,4.1,5.2,7.4,0.6,1.8,2.7,4.0,6.0,0.8,2.1,3.1,4.3,6.1,0.0,1.3,2.3,3.6,5.4,3.8,5.4,7.1,9.0,11.7,1.9,3.4,4.6,6.4,9.0,1.6,3.0,4.1,5.3,7.4,0.1,1.4,2.3,3.5,5.4,-5.5
6,-88.875,56.75,1.4,2.8,4.1,5.3,7.5,0.6,1.8,2.8,4.0,6.1,0.9,2.1,3.1,4.3,6.1,0.0,1.3,2.3,3.6,5.5,3.9,5.5,7.1,9.1,11.8,2.1,3.5,4.6,6.5,9.0,1.6,3.0,4.1,5.3,7.4,0.1,1.4,2.4,3.5,5.4,-5.6
7,-88.75,56.75,1.4,2.8,4.1,5.3,7.6,0.6,1.8,2.7,4.1,6.2,0.9,2.1,3.1,4.3,6.3,0.0,1.3,2.4,3.7,5.6,3.8,5.4,7.1,9.1,12.1,2.0,3.5,4.6,6.5,9.3,1.6,3.0,4.1,5.3,7.6,0.1,1.4,2.4,3.6,5.5,-5.6
8,-89.375,56.625,1.3,2.6,3.8,4.9,6.9,0.4,1.7,2.5,3.7,5.5,0.8,2.0,2.9,4.0,5.7,-0.0,1.1,2.1,3.3,5.2,3.6,5.1,6.6,8.5,10.9,1.8,3.1,4.3,6.0,8.4,1.4,2.7,3.8,4.9,6.8,0.1,1.2,2.2,3.2,5.1,-5.8
9,-89.25,56.625,1.4,2.8,4.0,5.2,7.4,0.5,1.7,2.7,4.0,6.0,0.9,2.0,3.1,4.2,6.1,0.0,1.2,2.3,3.6,5.5,3.7,5.3,7.0,8.9,11.8,1.9,3.4,4.5,6.4,9.0,1.5,2.9,4.0,5.2,7.4,0.1,1.3,2.3,3.5,5.4,-5.4
10,-89.125,56.625,1.4,2.8,4.0,5.2,7.4,0.6,1.8,2.7,4.0,6.1,0.9,2.0,3.1,4.3,6.1,0.0,1.3,2.3,3.6,5.5,3.8,5.3,7.0,9.0,11.8,1.9,3.4,4.5,6.5,9.0,1.6,2.9,4.0,5.2,7.4,0.1,1.4,2.3,3.6,5.5,-5.4
