id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-2.1,0.7,2.5,4.4,7.4,-2.7,0.3,1.9,3.5,6.4,-2.5,0.0,1.9,3.7,6.4,-2.9,-0.5,1.6,3.3,5.9,-0.4,3.1,5.1,7.3,10.5,-1.6,1.2,3.5,5.6,8.3,-1.7,1.0,2.9,4.6,7.2,-3.1,-0.5,1.4,3.1,5.7,-9.0
2,-88.875,56.875,-2.1,0.6,2.5,4.4,7.4,-2.7,0.3,1.9,3.5,6.4,-2.5,0.0,1.9,3.7,6.3,-2.9,-0.5,1.6,3.3,5.9,-0.4,3.1,5.1,7.3,10.6,-1.5,1.2,3.5,5.7,8.5,-1.7,1.0,2.9,4.6,7.1,-3.1,-0.5,1.5,3.1,5.6,-9.0
3,-89.25,56.75,-2.3,0.7,2.7,4.7,8.2,-3.0,0.2,2.0,3.8,7.2,-2.5,-0.0,2.0,4.0,7.1,-3.0,-0.6,1.7,3.6,6.6,-0.5,3.1,5.5,7.8,11.3,-1.8,1.2,3.6,6.0,8.9,-1.8,1.0,3.1,5.1,7.9,-3.3,-0.6,1.5,3.3,6.2,-8.4
4,-89.125,56.75,-2.3,0.7,2.7,4.7,8.1,-3.0,0.2,2.0,3.8,7.2,-2.6,-0.0,2.0,4.0,7.1,-3.0,-0.5,1.7,3.6,6.6,-0.5,3.2,5.5,7.8,11.3,-1.8,1.2,3.7,6.0,9.0,-1.9,1.1,3.1,5.0,7.9,-3.4,-0.6,1.4,3.4,6.2,-8.4
5,-89.0,56.75,-2.2,0.7,2.7,4.7,8.1,-2.9,0.2,2.0,3.8,7.1,-2.6,-0.0,2.0,4.0,7.0,-3.0,-0.5,1.7,3.6,6.5,-0.4,3.2,5.4,7.8,11.2,-1.8,1.2,3.7,6.0,9.0,-1.9,1.1,3.1,5.0,7.7,-3.4,-0.5,1.4,3.3,6.1,-8.5
6,-88.875,56.75,-2.2,0.7,2.7,4.8,8.0,-2.8,0.2,2.1,3.8,7.1,-2.6,0.0,2.0,4.0,7.0,-3.0,-0.5,1.7,3.6,6.5,-0.3,3.2,5.5,7.8,11.2,-1.7,1.3,3.7,6.0,9.0,-1.8,1.1,3.1,4.9,7.7,-3.4,-0.5,1.5,3.3,6.1,-8.6
7,-88.75,56.75,-2.2,0.7,2.7,4.8,8.1,-2.8,0.3,2.1,3.8,7.1,-2.5,0.0,2.0,4.0,6.9,-2.9,-0.5,1.7,3.6,6.5,-0.3,3.2,5.5,7.8,11.2,-1.7,1.3,3.8,6.1,9.2,-1.8,1.1,3.1,4.9,7.6,-3.4,-0.5,1.6,3.3,6.1,-8.6
8,-89.375,56.625,-2.3,0.6,2.6,4.6,7.8,-2.9,0.2,1.9,3.6,6.9,-2.5,-0.1,1.9,3.9,6.7,-2.9,-0.6,1.6,3.4,6.3,-0.4,3.0,5.3,7.5,10.9,-1.7,1.1,3.5,5.8,8.8,-1.8,1.0,2.9,4.9,7.6,-3.2,-0.6,1.4,3.2,6.0,-8.6
9,-89.25,56.625,-2.3,0.6,2.7,4.8,8.2,-3.1,0.2,2.0,3.7,7.3,-2.6,-0.1,2.0,4.0,7.2,-3.0,-0.5,1.7,3.6,6.6,-0.5,3.1,5.5,7.8,11.4,-1.8,1.2,3.7,6.1,9.2,-2.0,1.0,3.1,5.1,8.0,-3.2,-0.6,1.5,3.4,6.2,-8.3
10,-89.125,56.625,-2.3,0.7,2.7,4.8,8.2,-3.0,0.2,2.0,3.8,7.2,-2.6,-0.0,2.0,4.0,7.1,-3.0,-0.6,1.7,3.6,6.6,-0.5,3.2,5.5,7.8,11.3,-1.8,1.1,3.7,6.0,9.3,-2.0,1.0,3.1,5.1,8.0,-3.4,-0.6,1.5,3.4,6.2,-8.4
11,-89.0,56.625,-2.3,0.7,2.7,4.8,8.1,-3.0,0.2,2.0,3.8,7.2,-2.6,-0.0,2.0,4.0,7.1,-3.0,-0.6,1.7,3.6,6.6,-0.5,3.2,5.5,7.8,11.3,-1.8,1.2,3.7,6.1,9.4,-1.9,1.1,3.1,5.1,7.9,-3.4,-0.5,1.4,3.4,6.2,-8.5
12,-88.875,56.625,-2.3,0.7,2.7,4.8,8.1,-3.0,0.2,2.0,3.8,7.2,-2.6,-0.0,2.0,4.0,7.0,-3.0,-0.5,1.7,3.6,6.6,-0.5,3.2,5.4,7.8,11.3,-1.8,1.1,3.7,6.1,9.4,-1.9,1.1,3.1,5.1,7.9,-3.4,-0.5,1.4,3.4,6.2,-8.5
13,-88.75,56.625,-2.2,0.7,2.7,4.8,8.1,-3.0,0.2,2.0,3.8,7.2,-2.6,0.0,2.0,4.0,7.0,-3.0,-0.5,1.7,3.6,6.6,-0.4,3.2,5.5,7.8,11.3,-1.7,1.2,3.7,6.1,9.4,-1.8,1.1,3.1,5.1,7.8,-3.4,-0.5,1.5,3.4,6.2,-8.5
14,-88.625,56.625,-2.2,0.7,2.7,4.8,8.0,-3.0,0.2,2.0,3.8,7.1,-2.6,0.0,2.0,4.0,7.0,-3.0,-0.5,1.6,3.5,6.5,-0.3,3.2,5.5,7.8,11.3,-1.7,1.3,3.7,6.0,8.8,-1.8,1.1,3.1,5.0,7.8,-3.3,-0.5,1.5,3.3,6.2,-8.6
15,-88.5,56.625,-2.2,0.7,2.7,4.8,8.0,-2.9,0.3,2.0,3.8,7.1,-2.6,0.0,2.0,4.0,6.9,-3.0,-0.5,1.6,3.6,6.5,-0.4,3.2,5.5,7.7,11.2,-1.7,1.3,3.7,6.0,8.8,-1.8,1.1,3.1,5.0,7.7,-3.3,-0.5,1.5,3.2,6.1,-8.6
