id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-0.5,1.5,3.2,4.7,7.1,-1.1,0.8,2.0,3.5,5.9,-1.0,1.0,2.3,3.8,6.3,-1.6,0.5,1.7,3.2,5.2,1.4,3.8,5.5,7.5,11.3,-0.2,1.9,3.5,5.6,9.1,-0.3,1.6,3.0,4.5,6.9,-1.4,0.4,1.7,3.0,5.6,8.8
2,-88.875,56.875,-0.5,1.5,3.2,4.7,7.1,-1.2,0.8,2.0,3.5,6.0,-1.1,1.0,2.3,3.8,6.3,-1.6,0.5,1.7,3.2,5.3,1.4,3.9,5.6,7.5,11.4,-0.2,1.9,3.6,5.7,9.2,-0.4,1.7,3.0,4.5,6.9,-1.4,0.4,1.8,3.1,5.6,8.6
3,-89.25,56.75,0.0,1.9,3.3,4.9,7.5,-0.5,1.1,2.3,3.7,6.2,-0.4,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.5,1.9,4.0,5.7,7.9,11.9,0.4,2.3,4.0,5.8,9.4,0.1,1.9,3.2,4.7,7.2,-1.0,0.7,1.9,3.3,5.5,12.0
4,-89.125,56.75,0.0,1.9,3.3,4.9,7.5,-0.5,1.1,2.3,3.7,6.3,-0.4,1.2,2.5,3.9,6.3,-0.9,0.7,1.9,3.2,5.5,2.0,4.1,5.8,7.9,12.0,0.3,2.3,4.0,5.9,9.4,0.1,1.9,3.2,4.7,7.2,-1.0,0.7,1.9,3.3,5.5,11.9
5,-89.0,56.75,0.0,1.9,3.4,4.9,7.6,-0.5,1.1,2.4,3.7,6.4,-0.5,1.3,2.5,3.9,6.3,-0.9,0.7,1.9,3.2,5.5,2.0,4.1,5.8,8.0,12.1,0.3,2.3,4.1,5.9,9.5,0.2,1.9,3.3,4.8,7.3,-1.0,0.7,1.9,3.3,5.6,11.8
6,-88.875,56.75,0.0,1.9,3.4,4.9,7.7,-0.5,1.1,2.4,3.8,6.4,-0.4,1.3,2.6,4.0,6.4,-0.9,0.7,1.9,3.3,5.5,2.0,4.2,5.9,8.0,12.2,0.3,2.4,4.1,6.0,9.6,0.2,1.9,3.3,4.8,7.3,-1.1,0.7,1.9,3.3,5.7,11.7
7,-88.75,56.75,0.1,1.9,3.4,4.9,7.6,-0.5,1.0,2.3,3.7,6.4,-0.4,1.3,2.6,4.0,6.3,-0.9,0.7,1.9,3.3,5.5,2.0,4.2,5.9,7.9,12.1,0.3,2.3,4.0,5.9,9.6,0.2,1.9,3.3,4.8,7.3,-1.1,0.7,1.9,3.4,5.7,11.6
8,-89.375,56.625,-0.1,1.6,3.1,4.6,7.0,-0.6,0.9,2.0,3.5,6.0,-0.7,1.1,2.3,3.7,6.0,-1.1,0.5,1.7,3.0,5.1,1.7,3.7,5.4,7.4,11.4,0.1,2.1,3.6,5.6,8.9,-0.1,1.7,3.0,4.4,7.0,-1.2,0.5,1.7,3.1,5.4,10.4
9,-89.25,56.625,0.0,1.9,3.3,4.9,7.5,-0.5,1.1,2.3,3.7,6.2,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.5,1.9,4.0,5.7,8.0,12.0,0.4,2.3,4.0,5.9,9.4,0.1,1.8,3.2,4.7,7.2,-1.0,0.7,1.9,3.3,5.5,12.2
10,-89.125,56.625,0.0,1.9,3.3,4.9,7.5,-0.5,1.1,2.4,3.8,6.3,-0.5,1.2,2.5,3.9,6.3,-0.9,0.7,1.9,3.2,5.6,1.9,4.1,5.8,8.0,12.1,0.4,2.3,4.1,6.0,9.5,0.1,1.9,3.2,4.7,7.3,-1.0,0.7,1.9,3.3,5.6,12.1
11,-89.0,56.625,0.0,1.9,3.4,4.9,7.6,-0.5,1.1,2.4,3.8,6.4,-0.5,1.3,2.5,4.0,6.3,-0.9,0.8,1.9,3.3,5.6,1.9,4.1,5.8,8.0,12.1,0.4,2.3,4.1,6.0,9.6,0.1,1.9,3.2,4.8,7.4,-1.0,0.7,1.9,3.4,5.6,12.0
12,-88.875,56.625,0.0,1.9,3.4,5.0,7.7,-0.5,1.1,2.4,3.8,6.5,-0.5,1.3,2.6,4.0,6.4,-0.9,0.8,1.9,3.3,5.6,1.9,4.1,5.9,8.1,12.2,0.4,2.3,4.1,6.0,9.6,0.1,1.9,3.3,4.8,7.4,-1.0,0.7,1.9,3.4,5.7,11.9
13,-88.75,56.625,0.0,1.9,3.4,5.0,7.7,-0.6,1.1,2.4,3.8,6.5,-0.4,1.3,2.6,4.0,6.4,-0.9,0.7,1.9,3.3,5.5,2.0,4.2,5.9,8.0,12.2,0.4,2.4,4.1,6.0,9.6,0.2,1.9,3.3,4.8,7.4,-1.0,0.7,1.9,3.4,5.7,11.8
14,-88.625,56.625,0.0,1.9,3.3,4.9,7.6,-0.5,1.0,2.3,3.7,6.4,-0.4,1.3,2.5,4.0,6.3,-0.9,0.7,1.9,3.2,5.5,2.0,4.2,5.9,7.9,12.2,0.4,2.3,4.0,6.0,9.6,0.2,1.9,3.3,4.8,7.3,-1.1,0.6,1.9,3.3,5.7,11.7
15,-88.5,56.625,0.1,1.9,3.3,4.8,7.5,-0.5,1.0,2.3,3.7,6.4,-0.5,1.3,2.5,3.9,6.1,-0.9,0.7,1.9,3.2,5.5,2.0,4.2,5.8,7.9,12.1,0.3,2.3,3.9,5.8,9.5,0.2,1.9,3.3,4.8,7.2,-1.1,0.6,1.8,3.2,5.7,11.6
16,-88.375,56.625,0.1,1.9,3.4,4.9,7.5,-0.5,1.0,2.3,3.7,6.4,-0.5,1.3,2.5,4.0,6.2,-0.9,0.7,1.9,3.3,5.6,2.0,4.2,5.9,7.8,12.0,0.3,2.3,3.9,6.0,9.4,0.2,1.9,3.3,4.8,7.2,-1.1,0.6,1.8,3.2,5.8,11.4
17,-89.625,56.5,0.0,1.9,3.3,4.8,7.3,-0.4,1.1,2.3,3.7,5.9,-0.5,1.2,2.5,3.9,6.1,-0.9,0.7,1.9,3.2,5.4,1.8,3.9,5.7,7.8,11.8,0.4,2.3,4.0,5.9,9.3,0.0,1.8,3.2,4.7,7.1,-0.9,0.6,1.9,3.3,5.4,12.7
18,-89.5,56.5,0.0,1.9,3.3,4.8,7.4,-0.4,1.1,2.3,3.7,6.1,-0.5,1.2,2.5,3.9,6.1,-0.9,0.7,1.9,3.2,5.5,1.8,4.0,5.7,7.9,11.9,0.4,2.3,4.0,5.9,9.3,0.0,1.8,3.2,4.7,7.2,-1.0,0.6,1.9,3.3,5.5,12.6
19,-89.375,56.5,0.0,1.9,3.3,4.9,7.4,-0.5,1.1,2.3,3.8,6.2,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.5,1.8,4.0,5.7,7.9,12.0,0.4,2.3,4.0,5.9,9.4,0.0,1.8,3.2,4.7,7.2,-1.0,0.7,1.9,3.3,5.5,12.5
20,-89.25,56.5,0.0,1.9,3.3,4.9,7.5,-0.5,1.1,2.3,3.8,6.3,-0.5,1.2,2.5,3.9,6.2,-0.8,0.7,1.9,3.2,5.5,1.8,4.0,5.8,8.0,12.1,0.4,2.3,4.1,5.9,9.4,0.0,1.9,3.2,4.7,7.3,-1.0,0.7,1.9,3.3,5.5,12.4
21,-89.125,56.5,0.0,1.9,3.3,4.9,7.6,-0.5,1.1,2.4,3.8,6.3,-0.5,1.2,2.5,4.0,6.3,-0.9,0.7,1.9,3.2,5.6,1.8,4.1,5.8,8.0,12.1,0.4,2.3,4.1,6.0,9.5,0.0,1.9,3.2,4.8,7.3,-0.9,0.6,1.9,3.3,5.6,12.3
22,-89.0,56.5,-0.0,1.9,3.4,5.0,7.6,-0.5,1.1,2.4,3.8,6.4,-0.5,1.3,2.5,4.0,6.3,-0.9,0.7,1.9,3.3,5.5,1.9,4.1,5.8,8.1,12.2,0.4,2.4,4.1,6.0,9.6,0.0,1.9,3.2,4.8,7.4,-1.0,0.7,1.9,3.4,5.7,12.2
23,-88.875,56.5,-0.0,1.9,3.4,5.0,7.7,-0.4,1.1,2.4,3.8,6.5,-0.5,1.3,2.5,4.0,6.4,-0.9,0.7,2.0,3.3,5.6,1.9,4.1,5.8,8.1,12.3,0.4,2.3,4.1,6.1,9.7,0.0,1.9,3.3,4.8,7.5,-1.1,0.7,1.9,3.4,5.7,12.1
24,-88.75,56.5,0.0,1.9,3.4,5.0,7.6,-0.4,1.1,2.3,3.7,6.5,-0.5,1.3,2.5,4.0,6.3,-0.9,0.7,2.0,3.2,5.6,1.9,4.1,5.9,8.0,12.3,0.4,2.3,4.1,6.0,9.6,0.1,1.9,3.2,4.8,7.4,-1.0,0.6,1.9,3.3,5.7,12.0
25,-88.625,56.5,0.0,1.9,3.4,5.0,7.6,-0.5,1.1,2.3,3.7,6.5,-0.5,1.3,2.5,4.0,6.4,-0.9,0.7,2.0,3.2,5.6,1.9,4.2,5.9,8.0,12.2,0.4,2.3,4.1,6.0,9.6,0.1,1.9,3.3,4.8,7.3,-1.0,0.6,1.9,3.3,5.7,11.9
26,-88.5,56.5,0.0,1.9,3.4,5.0,7.6,-0.6,1.0,2.3,3.7,6.5,-0.4,1.3,2.6,4.0,6.3,-0.9,0.7,1.9,3.3,5.7,2.0,4.1,5.9,8.0,12.2,0.4,2.3,4.0,6.1,9.5,0.2,1.9,3.3,4.8,7.3,-1.1,0.6,1.9,3.3,5.7,11.8
27,-88.375,56.5,0.0,1.9,3.4,4.9,7.6,-0.5,1.0,2.3,3.7,6.4,-0.4,1.3,2.5,4.0,6.3,-0.9,0.7,1.9,3.3,5.6,1.9,4.1,5.8,7.9,12.1,0.3,2.3,4.0,6.1,9.5,0.1,1.9,3.3,4.8,7.3,-1.1,0.6,1.9,3.3,5.8,11.6
28,-88.25,56.5,0.1,1.9,3.4,4.9,7.6,-0.5,1.0,2.3,3.7,6.4,-0.5,1.3,2.5,3.9,6.2,-1.0,0.7,1.9,3.3,5.6,2.0,4.2,5.9,7.8,12.1,0.3,2.3,3.9,6.0,9.5,0.1,1.9,3.3,4.7,7.2,-1.1,0.6,1.8,3.2,5.8,11.4
29,-88.125,56.5,0.0,1.9,3.4,4.9,7.5,-0.6,1.0,2.2,3.6,6.4,-0.5,1.3,2.5,3.9,6.2,-1.0,0.7,1.8,3.3,5.5,1.9,4.2,5.9,7.8,12.0,0.3,2.2,3.9,5.9,9.4,0.2,1.9,3.3,4.7,7.1,-1.1,0.6,1.8,3.2,5.9,11.1
30,-88.0,56.5,-0.5,1.6,3.2,4.8,7.3,-1.2,0.8,2.0,3.6,6.5,-1.0,1.0,2.4,3.9,6.4,-1.7,0.5,1.7,3.3,5.7,1.5,3.9,5.7,7.7,11.6,-0.0,2.0,3.5,5.9,9.0,-0.4,1.8,3.1,4.7,7.2,-1.7,0.4,1.7,3.1,5.8,9.0
31,-89.875,56.375,0.0,1.8,3.3,4.8,7.2,-0.4,1.0,2.3,3.6,5.8,-0.5,1.2,2.5,3.8,6.0,-0.9,0.7,1.9,3.1,5.3,1.8,3.9,5.6,7.7,11.6,0.3,2.3,3.9,5.8,8.9,-0.0,1.8,3.1,4.6,7.0,-0.9,0.6,1.8,3.2,5.4,13.1
32,-89.75,56.375,0.0,1.8,3.3,4.8,7.2,-0.4,1.0,2.3,3.7,5.9,-0.5,1.2,2.4,3.8,6.0,-0.9,0.7,1.9,3.1,5.4,1.8,3.9,5.7,7.8,11.6,0.3,2.3,3.9,5.8,9.0,0.0,1.8,3.1,4.7,7.0,-0.9,0.6,1.9,3.3,5.4,13.0
33,-89.625,56.375,0.0,1.8,3.3,4.8,7.2,-0.4,1.0,2.3,3.7,5.9,-0.5,1.2,2.4,3.8,6.1,-0.9,0.7,1.8,3.1,5.3,1.9,3.9,5.7,7.7,11.6,0.3,2.3,3.9,5.8,9.1,-0.0,1.8,3.1,4.6,7.1,-0.9,0.6,1.9,3.3,5.4,12.9
34,-89.5,56.375,0.0,1.8,3.3,4.8,7.3,-0.5,1.1,2.3,3.7,5.9,-0.5,1.2,2.5,3.8,6.1,-0.9,0.7,1.9,3.1,5.3,1.9,3.9,5.7,7.8,11.6,0.3,2.3,3.9,5.8,9.2,0.0,1.8,3.1,4.7,7.1,-0.9,0.6,1.9,3.3,5.5,12.8
35,-89.375,56.375,-0.0,1.8,3.2,4.8,7.4,-0.6,1.0,2.3,3.7,6.1,-0.5,1.2,2.5,3.8,6.1,-0.9,0.7,1.9,3.1,5.5,1.8,3.9,5.7,7.8,11.7,0.3,2.3,4.0,5.9,9.2,0.0,1.8,3.1,4.7,7.2,-0.9,0.6,1.9,3.3,5.5,12.8
36,-89.25,56.375,-0.0,1.8,3.3,4.9,7.4,-0.6,1.0,2.3,3.7,6.1,-0.5,1.2,2.5,3.9,6.1,-0.9,0.7,1.9,3.1,5.5,1.8,4.0,5.7,7.9,11.8,0.4,2.3,4.0,5.9,9.3,0.0,1.8,3.1,4.7,7.2,-0.9,0.6,1.9,3.3,5.5,12.7
37,-89.125,56.375,-0.0,1.8,3.3,4.9,7.5,-0.5,1.1,2.3,3.7,6.3,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.5,1.8,4.0,5.7,7.9,11.9,0.4,2.3,4.0,5.9,9.4,0.0,1.8,3.2,4.7,7.2,-1.0,0.6,1.9,3.3,5.6,12.6
38,-89.0,56.375,-0.0,1.8,3.3,4.9,7.5,-0.4,1.1,2.3,3.7,6.3,-0.5,1.2,2.5,3.9,6.1,-0.9,0.7,1.9,3.2,5.6,1.8,4.0,5.7,7.9,12.0,0.4,2.3,4.0,5.9,9.3,0.0,1.8,3.2,4.7,7.2,-1.0,0.6,1.9,3.2,5.6,12.5
39,-88.875,56.375,-0.0,1.9,3.3,4.9,7.5,-0.4,1.1,2.3,3.7,6.4,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.6,1.9,4.0,5.8,8.0,12.1,0.4,2.3,4.0,6.0,9.4,0.0,1.9,3.2,4.7,7.2,-1.0,0.6,1.9,3.3,5.6,12.4
40,-88.75,56.375,0.0,1.9,3.3,4.9,7.4,-0.4,1.1,2.3,3.7,6.4,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.6,1.9,4.1,5.8,8.0,12.1,0.4,2.3,4.0,5.9,9.4,0.0,1.9,3.2,4.7,7.2,-1.0,0.6,1.8,3.3,5.6,12.3
41,-88.625,56.375,0.0,1.9,3.4,4.9,7.5,-0.4,1.0,2.3,3.7,6.4,-0.5,1.2,2.5,4.0,6.2,-0.9,0.7,1.9,3.2,5.6,1.9,4.1,5.8,7.9,12.0,0.4,2.3,4.0,5.9,9.4,0.1,1.9,3.2,4.7,7.2,-1.1,0.6,1.8,3.3,5.7,12.3
42,-88.5,56.375,0.0,1.9,3.4,4.9,7.4,-0.4,1.0,2.3,3.7,6.4,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.6,1.9,4.1,5.8,7.9,12.0,0.4,2.3,4.0,5.9,9.4,0.1,1.9,3.2,4.7,7.2,-1.1,0.6,1.8,3.3,5.7,12.2
43,-88.375,56.375,0.0,1.8,3.4,4.9,7.4,-0.6,1.0,2.3,3.7,6.4,-0.5,1.2,2.5,3.9,6.2,-0.8,0.7,1.9,3.2,5.6,1.9,4.1,5.8,7.9,12.0,0.3,2.3,4.0,5.9,9.3,0.1,1.9,3.2,4.7,7.2,-1.1,0.6,1.8,3.3,5.7,12.1
44,-88.25,56.375,0.0,1.9,3.4,4.9,7.4,-0.6,1.0,2.3,3.7,6.4,-0.5,1.2,2.5,3.9,6.2,-0.9,0.7,1.9,3.2,5.7,1.9,4.1,5.8,7.8,11.9,0.4,2.3,4.0,6.0,9.3,0.1,1.9,3.2,4.7,7.2,-1.1,0.6,1.8,3.3,5.7,12.0
