id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-0.3,1.2,2.6,4.2,6.8,-1.0,0.4,1.4,3.0,5.4,-0.8,0.6,1.8,3.4,5.5,-0.9,0.3,1.3,2.7,4.8,1.3,3.4,4.9,7.2,10.6,-0.1,1.4,2.8,4.9,8.0,-0.4,1.1,2.4,4.3,6.8,-0.9,0.1,1.3,2.7,5.1,3.1
2,-88.875,56.875,-0.3,1.2,2.6,4.2,6.9,-0.9,0.4,1.5,3.0,5.5,-0.7,0.6,1.8,3.4,5.5,-0.9,0.2,1.3,2.7,4.9,1.3,3.4,4.9,7.2,10.8,-0.1,1.4,2.8,4.9,8.1,-0.4,1.1,2.5,4.3,7.0,-0.9,0.1,1.3,2.7,5.2,3.0
3,-89.25,56.75,-0.9,1.2,2.9,5.2,9.1,-1.8,0.2,1.8,4.2,7.8,-1.4,0.6,2.1,4.0,7.4,-1.8,0.0,1.6,3.7,6.8,0.9,3.5,5.5,8.6,14.7,-0.6,1.7,3.6,6.6,11.2,-0.9,1.1,2.7,5.1,9.4,-1.7,-0.1,1.5,3.7,7.5,7.1
4,-89.125,56.75,-0.8,1.2,3.0,5.2,9.2,-1.8,0.2,1.9,4.2,7.9,-1.3,0.6,2.1,4.0,7.6,-1.8,0.0,1.7,3.7,6.9,1.0,3.5,5.6,8.6,14.8,-0.6,1.7,3.6,6.7,11.4,-0.9,1.1,2.7,5.2,9.5,-1.7,-0.0,1.5,3.8,7.6,6.9
5,-89.0,56.75,-0.8,1.3,3.0,5.3,9.3,-1.8,0.2,1.9,4.2,8.0,-1.3,0.6,2.1,4.0,7.6,-1.8,0.1,1.7,3.8,7.0,1.0,3.6,5.7,8.8,15.0,-0.4,1.7,3.6,6.7,11.5,-0.9,1.1,2.8,5.3,9.6,-1.7,-0.1,1.6,3.8,7.7,6.8
6,-88.875,56.75,-0.8,1.3,3.0,5.3,9.5,-1.8,0.3,1.9,4.3,8.0,-1.4,0.7,2.1,4.1,7.7,-1.8,0.1,1.7,3.8,7.1,1.1,3.7,5.8,9.0,15.2,-0.4,1.8,3.7,6.8,11.7,-0.9,1.2,2.8,5.4,9.7,-1.6,-0.1,1.6,3.8,7.7,6.6
7,-88.75,56.75,-0.8,1.3,3.0,5.4,9.8,-1.7,0.3,1.9,4.2,8.3,-1.3,0.7,2.2,4.1,8.0,-1.7,0.1,1.7,3.9,7.3,1.1,3.8,5.7,9.0,15.7,-0.4,1.8,3.7,6.9,12.0,-0.9,1.2,2.8,5.4,9.9,-1.6,-0.1,1.6,3.9,7.8,6.5
8,-89.375,56.625,-0.6,1.2,2.6,4.4,7.6,-1.3,0.2,1.5,3.4,6.3,-1.1,0.6,1.9,3.5,6.2,-1.3,0.1,1.4,3.0,5.6,1.1,3.2,4.9,7.3,12.0,-0.3,1.5,3.0,5.4,9.2,-0.6,1.0,2.4,4.5,7.8,-1.3,0.0,1.3,3.1,6.1,5.1
9,-89.25,56.625,-1.0,1.2,3.0,5.2,9.3,-1.9,0.1,1.8,4.3,8.0,-1.4,0.6,2.1,4.0,7.6,-1.9,-0.0,1.7,3.8,7.0,0.8,3.5,5.5,8.5,15.0,-0.6,1.8,3.7,6.8,11.5,-1.0,1.0,2.7,5.2,9.6,-1.8,-0.1,1.6,3.8,7.7,7.4
10,-89.125,56.625,-1.0,1.3,3.0,5.3,9.4,-1.9,0.1,1.9,4.3,8.1,-1.4,0.6,2.1,4.0,7.7,-1.9,0.0,1.7,3.9,7.1,0.9,3.5,5.6,8.7,15.2,-0.6,1.7,3.7,6.8,11.6,-1.0,1.1,2.7,5.2,9.7,-1.8,-0.1,1.6,3.8,7.8,7.2
11,-89.0,56.625,-0.9,1.3,3.0,5.3,9.5,-1.8,0.2,1.9,4.3,8.2,-1.4,0.6,2.1,4.1,7.7,-1.9,0.0,1.7,3.9,7.2,0.9,3.5,5.6,8.7,15.3,-0.6,1.7,3.7,6.9,11.8,-0.9,1.1,2.8,5.2,9.9,-1.7,-0.1,1.6,3.9,7.9,7.0
12,-88.875,56.625,-0.9,1.3,3.0,5.4,9.6,-1.8,0.2,1.9,4.4,8.2,-1.4,0.6,2.1,4.0,7.8,-1.9,0.1,1.7,3.9,7.3,1.0,3.6,5.7,8.8,15.5,-0.6,1.8,3.7,7.0,12.0,-0.9,1.1,2.8,5.3,9.9,-1.8,-0.1,1.7,3.9,7.9,6.9
13,-88.75,56.625,-0.9,1.3,3.0,5.4,9.6,-1.8,0.2,1.9,4.3,8.2,-1.4,0.7,2.2,4.1,7.8,-1.8,0.1,1.7,3.9,7.2,1.0,3.6,5.7,8.8,15.4,-0.5,1.8,3.8,6.9,11.9,-0.9,1.2,2.8,5.3,9.9,-1.8,-0.1,1.6,3.9,7.8,6.8
14,-88.625,56.625,-0.8,1.3,3.0,5.3,9.4,-1.7,0.3,1.9,4.3,7.9,-1.3,0.7,2.1,4.1,7.6,-1.8,0.0,1.7,3.8,7.0,1.1,3.6,5.8,8.8,15.1,-0.5,1.8,3.7,6.9,11.4,-0.9,1.1,2.8,5.3,9.6,-1.7,-0.1,1.6,3.8,7.7,6.6
15,-88.5,56.625,-0.7,1.3,3.0,5.3,9.1,-1.7,0.2,1.9,4.3,7.7,-1.3,0.7,2.1,4.0,7.5,-1.7,0.1,1.7,3.7,6.7,1.2,3.7,5.7,8.7,14.6,-0.6,1.8,3.6,6.7,11.2,-0.8,1.1,2.8,5.2,9.4,-1.7,-0.1,1.6,3.7,7.5,6.5
