id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-1.6,1.4,4.1,6.7,10.2,-2.6,0.2,2.5,4.7,8.3,-1.7,0.9,3.3,5.8,9.2,-3.0,-0.0,2.3,4.8,8.1,0.7,4.6,7.6,11.1,15.5,-1.2,2.1,4.5,7.6,11.5,-1.2,1.9,4.2,6.6,10.5,-3.2,-0.4,2.1,4.5,7.6,-17.5
2,-88.875,56.875,-1.6,1.4,4.2,6.8,10.5,-2.6,0.3,2.5,4.8,8.5,-1.7,0.9,3.3,5.9,9.4,-3.0,0.0,2.4,4.8,8.3,0.7,4.6,7.6,11.4,15.8,-1.1,2.1,4.5,7.7,12.0,-1.2,2.0,4.2,6.7,10.8,-3.1,-0.4,2.1,4.5,7.8,-17.6
3,-89.25,56.75,-1.6,1.5,4.2,6.9,10.5,-2.7,0.2,2.6,5.0,8.7,-1.8,1.0,3.5,6.0,9.3,-3.0,0.1,2.5,5.0,8.5,0.8,4.8,7.7,11.2,15.5,-1.3,2.1,4.6,7.9,12.1,-1.3,2.0,4.3,6.9,10.6,-3.5,-0.3,2.1,4.7,8.0,-17.6
4,-89.125,56.75,-1.6,1.5,4.2,6.9,10.5,-2.8,0.2,2.6,5.0,8.7,-1.8,1.0,3.5,6.0,9.4,-3.0,0.0,2.5,5.0,8.5,0.8,4.8,7.7,11.2,15.5,-1.3,2.1,4.6,7.8,12.1,-1.3,2.0,4.3,6.9,10.7,-3.5,-0.3,2.1,4.7,8.0,-17.6
5,-89.0,56.75,-1.6,1.4,4.2,6.9,10.6,-2.8,0.3,2.6,5.0,8.7,-1.8,1.0,3.5,6.0,9.4,-3.0,0.0,2.5,5.0,8.6,0.7,4.8,7.8,11.4,15.6,-1.4,2.2,4.7,7.8,12.1,-1.3,2.0,4.4,6.9,10.7,-3.5,-0.3,2.1,4.8,8.0,-17.7
6,-88.875,56.75,-1.6,1.4,4.3,7.0,10.6,-2.7,0.3,2.6,5.0,8.7,-1.7,1.0,3.5,6.0,9.4,-3.0,0.0,2.5,5.0,8.6,0.8,4.8,7.9,11.5,15.7,-1.2,2.2,4.7,7.9,12.1,-1.3,2.1,4.4,6.9,10.7,-3.3,-0.3,2.2,4.8,8.0,-17.7
7,-88.75,56.75,-1.6,1.5,4.3,7.1,10.8,-2.7,0.4,2.6,5.1,8.8,-1.7,1.0,3.5,6.1,9.6,-3.0,0.1,2.5,5.1,8.8,0.8,4.9,8.0,11.9,16.2,-1.1,2.3,4.8,8.1,12.7,-1.2,2.1,4.4,7.0,11.1,-3.2,-0.3,2.3,4.7,8.1,-17.7
8,-89.375,56.625,-1.6,1.4,4.0,6.6,10.1,-2.6,0.2,2.5,4.8,8.3,-1.8,1.0,3.4,5.8,9.1,-3.0,0.0,2.4,4.8,8.2,0.7,4.5,7.3,10.6,15.0,-1.4,2.0,4.4,7.6,11.6,-1.3,1.9,4.2,6.6,10.4,-3.4,-0.2,1.9,4.6,7.7,-17.5
9,-89.25,56.625,-1.7,1.5,4.2,6.8,10.5,-2.8,0.3,2.6,5.0,8.7,-1.8,1.0,3.5,6.0,9.3,-3.1,0.1,2.5,5.0,8.6,0.8,4.7,7.6,11.0,15.5,-1.4,2.0,4.6,7.9,12.1,-1.3,1.9,4.3,6.8,10.7,-3.6,-0.2,2.1,4.8,8.0,-17.6
10,-89.125,56.625,-1.6,1.5,4.2,6.9,10.5,-2.8,0.3,2.6,5.0,8.7,-1.8,1.0,3.6,6.0,9.4,-3.0,0.1,2.5,5.0,8.6,0.8,4.8,7.7,11.2,15.6,-1.3,2.1,4.6,7.9,12.1,-1.3,2.0,4.3,6.8,10.7,-3.5,-0.3,2.1,4.8,8.0,-17.7
