id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.3,1.8,2.9,3.9,5.4,-0.3,1.1,2.1,3.2,4.7,-0.1,1.4,2.2,3.2,4.6,-0.4,0.9,1.9,2.8,4.0,2.0,3.6,4.7,6.2,8.3,0.5,2.1,3.1,4.5,6.1,0.5,1.9,2.8,3.8,5.1,-0.6,0.8,1.8,2.7,4.4,1.3
2,-88.875,56.875,0.3,1.8,2.9,3.9,5.5,-0.3,1.1,2.1,3.2,4.7,-0.1,1.3,2.2,3.2,4.6,-0.4,0.9,1.9,2.8,4.1,2.0,3.6,4.7,6.2,8.3,0.5,2.1,3.2,4.5,6.1,0.4,1.9,2.8,3.8,5.2,-0.6,0.8,1.8,2.8,4.4,1.3
3,-89.25,56.75,0.3,2.1,3.4,4.6,6.5,-0.3,1.3,2.5,3.9,5.7,-0.3,1.6,2.5,3.7,5.5,-0.7,1.1,2.3,3.5,5.1,2.1,4.0,5.4,7.0,9.6,0.4,2.5,3.8,5.3,7.3,0.4,2.2,3.3,4.5,6.2,-0.8,1.0,2.2,3.4,5.4,0.3
4,-89.125,56.75,0.3,2.1,3.3,4.6,6.5,-0.3,1.3,2.5,3.9,5.6,-0.3,1.6,2.5,3.7,5.5,-0.7,1.1,2.3,3.5,5.0,2.1,4.0,5.3,7.0,9.5,0.4,2.5,3.8,5.3,7.3,0.4,2.2,3.3,4.4,6.2,-0.8,1.0,2.2,3.4,5.4,0.3
5,-89.0,56.75,0.3,2.1,3.3,4.6,6.4,-0.3,1.2,2.5,3.9,5.6,-0.3,1.6,2.5,3.7,5.5,-0.7,1.1,2.2,3.4,5.0,2.1,4.0,5.4,7.0,9.5,0.4,2.5,3.8,5.3,7.3,0.4,2.1,3.3,4.4,6.2,-0.8,1.0,2.2,3.4,5.4,0.4
6,-88.875,56.75,0.3,2.1,3.3,4.6,6.4,-0.3,1.2,2.5,3.9,5.6,-0.2,1.6,2.5,3.7,5.5,-0.7,1.1,2.2,3.4,5.0,2.1,4.0,5.3,7.0,9.5,0.4,2.5,3.8,5.2,7.3,0.4,2.2,3.3,4.4,6.1,-0.7,1.0,2.2,3.3,5.3,0.4
7,-88.75,56.75,0.3,2.1,3.3,4.7,6.5,-0.3,1.3,2.5,3.9,5.6,-0.2,1.6,2.5,3.7,5.5,-0.7,1.1,2.3,3.5,5.1,2.1,4.0,5.3,7.0,9.8,0.5,2.6,3.8,5.3,7.5,0.4,2.1,3.3,4.5,6.1,-0.7,1.0,2.2,3.4,5.3,0.5
8,-89.375,56.625,0.4,2.0,3.1,4.2,5.9,-0.2,1.2,2.2,3.5,5.1,-0.2,1.5,2.3,3.4,4.9,-0.6,1.0,2.0,3.1,4.5,2.0,3.7,4.9,6.4,8.8,0.3,2.2,3.4,4.8,6.7,0.5,2.0,3.0,4.0,5.6,-0.6,0.9,1.9,3.0,4.8,0.8
9,-89.25,56.625,0.3,2.1,3.4,4.7,6.6,-0.3,1.3,2.6,3.9,5.7,-0.4,1.6,2.5,3.8,5.6,-0.8,1.0,2.3,3.5,5.1,2.1,4.0,5.4,7.0,9.7,0.3,2.5,3.8,5.4,7.4,0.3,2.1,3.4,4.5,6.3,-0.8,1.0,2.2,3.5,5.5,0.2
10,-89.125,56.625,0.3,2.1,3.4,4.7,6.6,-0.3,1.3,2.6,3.9,5.7,-0.3,1.6,2.5,3.7,5.6,-0.8,1.1,2.3,3.5,5.1,2.1,4.0,5.4,7.0,9.7,0.5,2.5,3.8,5.3,7.4,0.3,2.2,3.3,4.5,6.3,-0.8,1.0,2.2,3.5,5.5,0.3
