id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.1,1.7,2.7,4.0,6.2,-0.9,0.9,2.1,3.3,5.3,-0.7,1.1,2.1,3.4,5.1,-1.0,0.5,1.7,2.9,4.5,1.8,3.5,4.9,6.6,9.6,0.3,2.1,3.4,5.0,7.3,-0.1,1.6,2.7,4.0,6.1,-1.2,0.4,1.6,3.0,5.0,6.6
2,-88.875,56.875,0.1,1.7,2.7,4.1,6.2,-0.8,0.9,2.1,3.3,5.3,-0.6,1.1,2.1,3.4,5.2,-1.1,0.5,1.7,2.9,4.6,1.7,3.5,4.9,6.6,9.7,0.3,2.1,3.5,5.0,7.3,-0.1,1.6,2.7,4.0,6.1,-1.2,0.4,1.6,3.0,5.1,6.5
3,-89.25,56.75,0.2,1.8,2.8,4.2,6.5,-0.6,1.1,2.3,3.6,5.6,-0.7,1.2,2.3,3.5,5.5,-1.0,0.5,1.7,3.1,4.8,2.0,3.7,5.2,7.0,10.2,0.5,2.5,3.7,5.3,7.7,-0.2,1.7,2.9,4.1,6.3,-1.2,0.5,1.7,3.1,5.1,7.1
4,-89.125,56.75,0.2,1.8,2.9,4.2,6.5,-0.5,1.1,2.3,3.6,5.6,-0.7,1.2,2.4,3.5,5.5,-1.0,0.5,1.7,3.1,4.8,2.0,3.7,5.2,7.0,10.2,0.5,2.5,3.7,5.3,7.7,-0.1,1.7,2.9,4.2,6.3,-1.2,0.5,1.7,3.1,5.1,7.1
5,-89.0,56.75,0.2,1.8,2.9,4.2,6.5,-0.5,1.1,2.3,3.6,5.6,-0.7,1.2,2.4,3.5,5.5,-1.0,0.5,1.8,3.1,4.8,2.0,3.7,5.2,7.0,10.2,0.6,2.5,3.7,5.3,7.7,-0.1,1.8,2.9,4.2,6.3,-1.2,0.5,1.7,3.1,5.1,7.1
6,-88.875,56.75,0.2,1.8,2.9,4.2,6.5,-0.5,1.1,2.3,3.6,5.6,-0.7,1.2,2.4,3.5,5.4,-0.9,0.5,1.8,3.1,4.8,2.0,3.7,5.2,7.0,10.2,0.6,2.5,3.7,5.3,7.7,-0.1,1.8,2.9,4.2,6.3,-1.1,0.5,1.7,3.2,5.1,7.1
7,-88.75,56.75,0.2,1.8,2.9,4.2,6.5,-0.5,1.1,2.3,3.6,5.6,-0.6,1.2,2.4,3.6,5.5,-0.9,0.6,1.8,3.1,4.8,2.0,3.7,5.2,7.0,10.3,0.6,2.5,3.8,5.4,7.7,-0.1,1.8,2.9,4.2,6.3,-1.1,0.5,1.8,3.2,5.1,7.0
8,-89.375,56.625,0.1,1.7,2.7,4.1,6.3,-0.7,0.9,2.1,3.4,5.4,-0.7,1.1,2.2,3.4,5.3,-1.1,0.4,1.7,2.9,4.6,1.8,3.5,4.9,6.6,9.7,0.3,2.2,3.5,5.0,7.4,-0.2,1.6,2.7,4.0,6.1,-1.2,0.4,1.6,3.0,4.9,6.8
9,-89.25,56.625,0.2,1.8,2.8,4.2,6.5,-0.6,1.1,2.3,3.6,5.6,-0.8,1.2,2.3,3.5,5.5,-1.0,0.5,1.7,3.1,4.8,2.0,3.7,5.2,7.0,10.3,0.5,2.5,3.8,5.3,7.7,-0.3,1.8,2.9,4.2,6.3,-1.2,0.5,1.7,3.1,5.1,7.1
10,-89.125,56.625,0.2,1.8,2.9,4.2,6.5,-0.6,1.1,2.3,3.6,5.7,-0.7,1.2,2.4,3.5,5.5,-1.0,0.5,1.7,3.1,4.8,2.0,3.7,5.2,7.1,10.3,0.5,2.5,3.8,5.3,7.7,-0.2,1.8,2.9,4.2,6.3,-1.2,0.5,1.7,3.1,5.1,7.1
