id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-0.5,1.6,3.1,4.6,7.4,-1.3,0.6,1.9,3.6,6.5,-0.8,1.0,2.3,3.8,6.8,-1.6,0.2,1.7,3.3,6.0,1.5,3.7,5.6,8.2,11.3,-0.2,1.8,3.4,5.7,9.1,-0.3,1.7,2.9,4.7,7.9,-1.8,0.2,1.5,3.0,5.8,-9.5
2,-88.875,56.875,-0.5,1.6,3.1,4.6,7.6,-1.3,0.6,1.9,3.6,6.5,-0.8,0.9,2.2,3.8,6.9,-1.6,0.2,1.7,3.3,6.1,1.6,3.7,5.6,8.3,11.5,-0.2,1.8,3.4,5.7,9.2,-0.3,1.6,2.9,4.7,7.9,-1.7,0.2,1.5,3.0,5.8,-9.5
3,-89.25,56.75,-0.6,1.7,3.4,5.0,8.2,-1.6,0.6,2.1,3.8,7.2,-0.9,1.0,2.4,4.1,7.5,-1.8,0.3,1.9,3.6,6.5,1.6,4.0,6.0,8.7,12.3,-0.4,1.8,3.8,6.3,10.0,-0.4,1.8,3.2,5.1,8.8,-2.1,0.2,1.7,3.2,6.4,-8.7
4,-89.125,56.75,-0.6,1.7,3.4,4.9,8.2,-1.5,0.6,2.1,3.8,7.2,-0.9,1.0,2.4,4.1,7.5,-1.8,0.2,1.9,3.6,6.5,1.6,4.0,6.0,8.8,12.3,-0.4,1.8,3.8,6.2,10.0,-0.5,1.8,3.2,5.1,8.8,-2.0,0.2,1.7,3.2,6.4,-8.8
5,-89.0,56.75,-0.6,1.7,3.3,4.9,8.2,-1.5,0.6,2.1,3.9,7.2,-0.9,1.0,2.4,4.1,7.5,-1.8,0.3,1.9,3.6,6.5,1.6,4.0,6.0,8.8,12.3,-0.4,1.8,3.8,6.2,10.1,-0.5,1.8,3.2,5.1,8.8,-2.1,0.2,1.7,3.2,6.4,-8.8
6,-88.875,56.75,-0.6,1.7,3.4,5.0,8.2,-1.5,0.6,2.2,3.9,7.1,-0.9,1.0,2.4,4.1,7.5,-1.7,0.3,1.9,3.6,6.5,1.6,4.0,6.0,8.8,12.3,-0.4,1.8,3.9,6.3,10.2,-0.5,1.8,3.2,5.0,8.7,-2.0,0.2,1.7,3.2,6.4,-8.9
7,-88.75,56.75,-0.6,1.7,3.4,5.0,8.3,-1.5,0.6,2.1,3.9,7.3,-0.9,1.0,2.4,4.1,7.5,-1.8,0.3,1.9,3.6,6.7,1.6,4.0,6.0,8.9,12.4,-0.4,1.8,3.8,6.4,10.1,-0.4,1.7,3.2,5.1,8.9,-1.9,0.2,1.7,3.2,6.4,-8.9
8,-89.375,56.625,-0.6,1.6,3.2,4.8,7.7,-1.4,0.6,2.0,3.6,6.8,-0.9,1.0,2.4,4.0,7.2,-1.7,0.2,1.8,3.5,6.2,1.5,3.8,5.7,8.3,11.5,-0.4,1.6,3.6,5.9,9.5,-0.4,1.7,3.1,4.9,8.3,-1.9,0.2,1.5,3.0,6.0,-9.0
9,-89.25,56.625,-0.6,1.7,3.4,5.0,8.2,-1.6,0.6,2.1,3.9,7.3,-0.9,1.0,2.5,4.2,7.6,-1.8,0.2,1.9,3.6,6.5,1.6,4.0,6.0,8.7,12.4,-0.4,1.7,3.8,6.3,10.1,-0.4,1.8,3.3,5.2,8.9,-2.1,0.2,1.7,3.3,6.4,-8.6
10,-89.125,56.625,-0.6,1.7,3.4,5.0,8.3,-1.6,0.6,2.1,3.9,7.3,-0.9,1.0,2.4,4.2,7.6,-1.8,0.2,1.9,3.6,6.5,1.6,4.0,6.0,8.8,12.4,-0.4,1.8,3.8,6.3,10.1,-0.5,1.8,3.3,5.2,8.9,-2.1,0.2,1.7,3.3,6.5,-8.7
