id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.2,1.7,2.9,4.3,6.5,-0.3,1.0,1.8,3.1,5.2,-0.3,1.1,2.2,3.5,5.2,-0.6,0.6,1.6,3.0,4.8,2.1,3.8,5.4,7.4,10.2,0.5,2.1,3.3,5.0,7.8,0.1,1.8,2.9,4.4,6.3,-0.8,0.6,1.7,2.9,4.8,5.9
2,-88.875,56.875,0.3,1.7,3.0,4.3,6.5,-0.3,1.0,1.8,3.1,5.3,-0.3,1.1,2.2,3.6,5.3,-0.6,0.6,1.7,3.1,4.9,2.1,3.8,5.4,7.4,10.2,0.5,2.1,3.3,5.1,7.9,0.1,1.8,2.9,4.5,6.4,-0.8,0.6,1.7,2.9,4.9,5.8
3,-89.25,56.75,0.4,1.8,3.1,4.8,7.6,-0.1,1.2,2.2,3.5,6.5,-0.1,1.3,2.4,3.8,6.4,-0.7,0.6,1.9,3.5,5.7,2.3,4.1,5.7,8.2,12.6,0.7,2.4,3.8,6.1,10.0,0.4,2.0,3.1,4.8,7.7,-0.8,0.7,1.9,3.4,6.2,10.2
4,-89.125,56.75,0.4,1.8,3.1,4.9,7.7,-0.1,1.2,2.2,3.6,6.5,-0.1,1.3,2.4,3.8,6.4,-0.7,0.6,2.0,3.5,5.8,2.3,4.1,5.7,8.3,12.7,0.7,2.5,3.9,6.2,10.1,0.4,1.9,3.2,4.9,7.8,-0.8,0.7,1.9,3.5,6.3,10.1
5,-89.0,56.75,0.4,1.9,3.2,4.9,7.8,-0.1,1.2,2.2,3.7,6.6,-0.1,1.3,2.4,3.9,6.5,-0.7,0.6,2.0,3.6,5.8,2.3,4.1,5.9,8.4,12.9,0.7,2.5,3.9,6.3,10.2,0.4,2.0,3.3,5.0,7.9,-0.8,0.7,1.9,3.5,6.3,9.9
6,-88.875,56.75,0.5,1.9,3.2,5.0,7.9,-0.1,1.2,2.3,3.8,6.6,-0.1,1.3,2.5,3.9,6.6,-0.7,0.7,2.0,3.6,5.9,2.4,4.2,5.9,8.5,13.0,0.7,2.6,4.0,6.4,10.4,0.4,2.0,3.3,5.1,8.0,-0.9,0.8,1.9,3.5,6.4,9.7
7,-88.75,56.75,0.5,1.9,3.2,5.0,7.9,-0.1,1.2,2.2,3.7,6.7,-0.1,1.3,2.5,3.9,6.7,-0.8,0.7,2.0,3.6,5.9,2.3,4.2,5.9,8.5,12.9,0.7,2.5,3.9,6.3,10.4,0.5,2.0,3.3,5.0,8.1,-0.9,0.8,2.0,3.5,6.3,9.6
8,-89.375,56.625,0.4,1.7,2.9,4.4,6.7,-0.2,1.0,1.9,3.2,5.7,-0.1,1.1,2.2,3.4,5.6,-0.6,0.6,1.7,3.1,4.9,2.1,3.7,5.3,7.4,10.9,0.5,2.2,3.4,5.4,8.6,0.3,1.7,2.8,4.3,6.7,-0.8,0.6,1.7,3.0,5.3,8.0
9,-89.25,56.625,0.4,1.8,3.1,4.9,7.7,-0.2,1.2,2.2,3.6,6.6,-0.1,1.2,2.4,3.8,6.5,-0.7,0.6,1.9,3.5,5.9,2.3,4.0,5.8,8.2,12.7,0.7,2.5,3.9,6.3,10.1,0.4,2.0,3.1,4.8,7.9,-0.9,0.7,1.9,3.4,6.3,10.5
10,-89.125,56.625,0.4,1.8,3.1,4.9,7.8,-0.1,1.2,2.2,3.6,6.6,-0.1,1.2,2.4,3.8,6.5,-0.7,0.6,2.0,3.6,5.9,2.3,4.1,5.8,8.3,12.9,0.7,2.5,3.9,6.3,10.3,0.4,2.0,3.2,4.9,8.0,-0.9,0.8,1.9,3.5,6.4,10.4
