id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-7.3,0.0,2.1,3.5,5.1,-0.2,1.2,2.1,3.2,4.7,-8.4,-1.1,1.2,2.6,4.3,-9.6,-2.0,0.4,2.0,3.7,-6.4,2.2,4.2,5.8,8.2,1.0,2.4,3.5,4.6,6.5,-9.8,-0.3,1.9,3.3,5.0,-11.6,-2.0,0.3,2.0,3.8,-0.6
2,-88.875,56.875,-7.3,-0.0,2.1,3.5,5.2,-0.2,1.2,2.1,3.2,4.7,-8.4,-1.2,1.2,2.6,4.3,-9.6,-2.1,0.3,2.0,3.8,-6.5,2.1,4.2,5.8,8.3,1.0,2.4,3.5,4.7,6.5,-9.8,-0.4,1.9,3.3,5.0,-11.7,-2.1,0.3,2.0,3.8,-0.6
3,-89.25,56.75,-4.8,1.5,2.8,4.2,5.9,-0.0,1.4,2.5,3.6,5.2,-5.9,0.6,2.0,3.2,4.8,-7.1,-0.2,1.3,2.6,4.2,-4.0,3.7,5.2,6.7,9.2,1.2,2.7,4.0,5.1,7.0,-7.3,1.5,2.8,3.9,5.7,-9.2,-0.3,1.3,2.6,4.3,-3.0
4,-89.125,56.75,-4.9,1.5,2.8,4.1,5.9,-0.0,1.4,2.5,3.6,5.2,-6.0,0.6,2.0,3.2,4.8,-7.2,-0.2,1.3,2.6,4.2,-4.1,3.6,5.1,6.7,9.2,1.2,2.7,3.9,5.1,7.0,-7.4,1.4,2.7,3.9,5.7,-9.3,-0.3,1.3,2.6,4.3,-3.0
5,-89.0,56.75,-4.9,1.5,2.8,4.1,5.9,-0.0,1.4,2.5,3.6,5.2,-6.0,0.6,1.9,3.2,4.7,-7.2,-0.2,1.3,2.6,4.2,-4.1,3.6,5.1,6.7,9.2,1.2,2.7,3.9,5.1,7.0,-7.5,1.4,2.7,3.9,5.6,-9.3,-0.3,1.3,2.6,4.3,-2.9
6,-88.875,56.75,-5.0,1.4,2.8,4.1,5.9,-0.1,1.4,2.5,3.6,5.2,-6.1,0.6,1.9,3.2,4.7,-7.3,-0.2,1.2,2.6,4.2,-4.2,3.5,5.1,6.6,9.1,1.3,2.6,3.9,5.1,7.0,-7.5,1.4,2.7,3.8,5.6,-9.4,-0.4,1.3,2.6,4.2,-2.8
7,-88.75,56.75,-5.1,1.4,2.7,4.0,5.9,-0.1,1.4,2.5,3.6,5.2,-6.2,0.5,1.9,3.1,4.7,-7.4,-0.3,1.2,2.6,4.2,-4.3,3.5,5.0,6.6,9.1,1.2,2.6,3.9,5.1,7.1,-7.6,1.3,2.6,3.8,5.6,-9.5,-0.4,1.2,2.6,4.3,-2.7
8,-89.375,56.625,-6.0,0.9,2.4,3.8,5.4,-0.0,1.3,2.3,3.4,4.9,-7.2,-0.1,1.6,2.9,4.5,-8.4,-0.9,0.8,2.2,3.9,-5.2,3.0,4.7,6.2,8.7,1.1,2.5,3.7,4.8,6.7,-8.6,0.8,2.3,3.6,5.4,-10.4,-1.0,0.8,2.3,4.0,-1.8
9,-89.25,56.625,-4.5,1.7,2.9,4.3,6.0,-0.0,1.4,2.6,3.6,5.3,-5.8,0.8,2.1,3.3,4.8,-6.8,0.0,1.5,2.7,4.3,-3.8,3.8,5.3,6.9,9.3,1.3,2.7,4.0,5.2,7.1,-7.1,1.6,2.9,4.0,5.7,-8.9,-0.1,1.4,2.8,4.4,-3.2
10,-89.125,56.625,-4.6,1.6,2.9,4.2,6.0,-0.0,1.4,2.6,3.6,5.2,-5.8,0.7,2.0,3.3,4.8,-6.9,-0.1,1.4,2.7,4.3,-3.8,3.8,5.2,6.8,9.3,1.2,2.7,4.0,5.2,7.1,-7.2,1.6,2.8,4.0,5.7,-9.0,-0.1,1.4,2.7,4.4,-3.1
