id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.4,2.6,4.6,7.0,9.7,-0.6,1.1,2.3,3.6,6.2,0.1,2.1,4.2,6.4,8.9,-0.5,1.8,4.3,6.4,8.4,2.2,5.2,7.5,10.0,13.4,-0.4,2.2,3.6,5.9,8.6,0.7,3.0,5.0,7.0,9.5,-0.4,1.8,4.0,6.2,8.6,3.8
2,-88.875,56.875,0.4,2.6,4.7,7.1,9.9,-0.5,1.1,2.2,3.6,6.3,0.1,2.2,4.2,6.4,9.0,-0.5,1.8,4.3,6.5,8.6,2.3,5.2,7.6,10.1,13.5,-0.3,2.2,3.6,5.9,8.7,0.7,3.0,5.1,7.0,9.6,-0.4,1.8,4.1,6.4,8.7,3.6
3,-89.25,56.75,0.0,2.1,3.7,5.4,7.8,-0.8,1.3,2.7,4.4,7.6,-0.3,1.5,3.0,4.4,6.6,-0.8,1.2,2.7,4.2,6.0,2.1,4.4,6.4,8.7,12.3,-0.1,2.5,4.4,6.8,10.4,0.5,2.2,3.6,5.1,7.9,-0.9,1.2,2.6,4.0,6.2,7.4
4,-89.125,56.75,0.0,2.1,3.8,5.5,7.9,-0.8,1.3,2.7,4.4,7.6,-0.2,1.6,3.0,4.5,6.7,-0.8,1.3,2.8,4.3,6.1,2.1,4.5,6.5,8.8,12.5,-0.1,2.5,4.4,6.9,10.6,0.5,2.3,3.7,5.2,8.0,-0.9,1.3,2.7,4.1,6.3,7.2
5,-89.0,56.75,0.1,2.2,3.9,5.7,8.0,-0.9,1.3,2.8,4.4,7.7,-0.2,1.7,3.1,4.6,6.8,-0.8,1.3,2.9,4.4,6.2,2.2,4.6,6.6,8.9,12.6,-0.1,2.5,4.4,7.0,10.8,0.5,2.3,3.8,5.4,8.1,-0.8,1.4,2.8,4.2,6.4,7.1
6,-88.875,56.75,0.1,2.3,4.0,5.8,8.2,-0.9,1.3,2.8,4.4,7.8,-0.2,1.7,3.2,4.7,6.9,-0.8,1.4,3.0,4.5,6.3,2.3,4.7,6.7,9.0,12.7,-0.1,2.6,4.5,7.1,11.0,0.6,2.4,3.9,5.5,8.2,-0.8,1.5,2.9,4.3,6.5,6.9
7,-88.75,56.75,0.1,2.3,4.0,5.8,8.1,-0.9,1.3,2.7,4.4,7.6,-0.1,1.8,3.3,4.7,6.9,-0.8,1.4,3.0,4.5,6.2,2.2,4.7,6.8,9.1,12.5,-0.1,2.6,4.3,6.8,10.8,0.6,2.5,3.9,5.5,8.1,-0.8,1.5,2.9,4.3,6.5,6.8
8,-89.375,56.625,0.2,2.5,4.3,6.1,8.2,-0.9,1.1,2.4,3.8,6.7,0.0,2.0,3.6,5.2,7.2,-0.6,1.7,3.6,5.1,6.8,2.0,4.9,6.8,9.1,12.1,-0.3,2.2,3.8,6.1,9.2,0.7,2.7,4.3,5.9,8.0,-0.5,1.8,3.4,4.9,7.0,5.6
9,-89.25,56.625,-0.1,2.0,3.7,5.4,7.8,-0.8,1.4,2.8,4.4,7.7,-0.3,1.4,2.9,4.3,6.6,-0.9,1.2,2.6,4.1,6.0,2.0,4.4,6.3,8.6,12.4,-0.1,2.5,4.5,6.9,10.6,0.4,2.1,3.5,5.0,8.0,-1.0,1.1,2.5,3.9,6.1,7.6
10,-89.125,56.625,-0.0,2.1,3.7,5.5,7.9,-0.9,1.4,2.8,4.5,7.8,-0.3,1.5,3.0,4.3,6.7,-0.9,1.2,2.7,4.2,6.1,2.0,4.5,6.4,8.7,12.5,-0.1,2.5,4.5,7.0,10.8,0.4,2.2,3.6,5.1,8.0,-0.9,1.2,2.6,4.0,6.3,7.5
11,-89.0,56.625,-0.0,2.1,3.8,5.6,8.0,-0.9,1.4,2.8,4.5,7.7,-0.2,1.6,3.0,4.5,6.7,-0.9,1.3,2.8,4.3,6.1,2.1,4.5,6.5,8.9,12.7,-0.1,2.6,4.5,7.0,11.0,0.5,2.2,3.6,5.2,8.1,-0.9,1.3,2.7,4.1,6.4,7.3
12,-88.875,56.625,-0.0,2.2,3.9,5.6,8.1,-0.9,1.4,2.8,4.5,7.8,-0.2,1.6,3.1,4.6,6.8,-0.9,1.4,2.9,4.4,6.2,2.2,4.6,6.6,9.0,12.8,-0.1,2.6,4.5,7.1,11.1,0.5,2.3,3.7,5.3,8.3,-0.8,1.4,2.8,4.2,6.5,7.1
