id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-1.0,1.1,2.8,4.7,9.7,-2.3,-0.1,1.5,3.1,5.8,-1.4,0.6,2.2,4.1,8.9,-1.9,0.4,2.0,4.1,8.8,0.5,3.0,5.0,7.7,13.4,-1.3,1.0,2.8,4.7,7.9,-0.8,1.3,2.9,5.0,11.0,-2.0,0.3,1.9,4.0,10.5,-4.0
2,-88.875,56.875,-1.0,1.0,2.8,4.7,9.8,-2.3,-0.1,1.5,3.1,5.9,-1.4,0.5,2.2,4.1,8.9,-1.8,0.4,2.1,4.1,8.9,0.4,3.0,5.0,7.7,13.5,-1.3,1.0,2.8,4.6,8.0,-0.8,1.3,2.9,5.0,11.1,-2.0,0.3,2.0,4.0,10.5,-4.1
3,-89.25,56.75,-1.5,1.1,3.0,5.2,9.8,-2.8,-0.3,1.6,4.0,7.3,-1.9,0.6,2.5,4.5,8.8,-2.5,0.3,2.1,4.5,8.7,0.2,3.4,5.5,8.2,13.8,-1.8,1.0,3.4,5.8,9.7,-1.1,1.4,3.2,5.4,11.0,-2.6,0.2,1.9,4.4,10.3,-3.6
4,-89.125,56.75,-1.5,1.1,3.1,5.2,9.8,-2.7,-0.3,1.6,4.0,7.2,-1.8,0.6,2.5,4.5,8.8,-2.5,0.3,2.2,4.5,8.7,0.2,3.4,5.5,8.2,13.8,-1.8,1.0,3.4,5.8,9.7,-1.1,1.4,3.2,5.4,11.0,-2.5,0.2,2.0,4.4,10.3,-3.6
5,-89.0,56.75,-1.4,1.1,3.0,5.2,9.8,-2.7,-0.3,1.7,4.0,7.2,-1.8,0.5,2.5,4.4,8.8,-2.4,0.3,2.2,4.5,8.7,0.2,3.4,5.5,8.1,13.9,-1.7,1.1,3.5,5.8,9.7,-1.1,1.4,3.2,5.4,11.0,-2.5,0.2,2.0,4.4,10.2,-3.7
6,-88.875,56.75,-1.4,1.1,3.0,5.2,9.9,-2.7,-0.2,1.7,4.0,7.2,-1.8,0.5,2.4,4.4,8.9,-2.4,0.3,2.2,4.5,8.7,0.2,3.3,5.5,8.1,13.9,-1.6,1.1,3.4,5.8,9.8,-1.1,1.3,3.2,5.4,11.0,-2.5,0.3,2.0,4.4,10.3,-3.7
7,-88.75,56.75,-1.4,1.1,3.0,5.1,9.8,-2.7,-0.2,1.8,3.9,7.3,-1.8,0.5,2.4,4.4,9.0,-2.4,0.3,2.2,4.4,8.6,0.2,3.3,5.5,8.1,13.9,-1.6,1.1,3.5,5.8,9.9,-1.1,1.3,3.2,5.4,11.0,-2.6,0.2,2.0,4.4,10.3,-3.7
8,-89.375,56.625,-1.1,1.2,3.1,5.1,9.9,-2.5,-0.2,1.5,3.5,6.6,-1.5,0.7,2.5,4.4,9.0,-2.2,0.4,2.2,4.3,8.8,0.4,3.3,5.4,8.0,13.8,-1.5,0.9,3.1,5.1,8.6,-0.9,1.5,3.2,5.3,11.1,-2.3,0.3,2.1,4.3,10.6,-3.7
9,-89.25,56.625,-1.5,1.1,3.2,5.3,9.9,-2.9,-0.3,1.7,4.0,7.4,-1.9,0.6,2.5,4.6,8.9,-2.5,0.4,2.2,4.6,8.8,0.2,3.4,5.6,8.3,13.9,-1.7,1.0,3.4,5.9,9.8,-1.1,1.4,3.3,5.6,11.1,-2.6,0.2,2.0,4.5,10.3,-3.6
10,-89.125,56.625,-1.5,1.2,3.2,5.4,9.9,-2.8,-0.3,1.7,4.0,7.3,-1.8,0.6,2.5,4.5,8.9,-2.5,0.4,2.3,4.6,8.8,0.2,3.4,5.6,8.3,13.9,-1.8,1.0,3.5,5.9,9.8,-1.1,1.4,3.3,5.5,11.0,-2.6,0.2,2.0,4.5,10.4,-3.6
