id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-8.5,0.2,2.2,3.5,5.2,-0.1,1.1,2.1,3.1,4.7,-9.6,-0.8,1.3,2.5,4.1,-11.0,-1.5,0.6,2.1,3.6,-8.4,2.2,4.1,5.6,8.1,0.6,2.2,3.2,4.6,6.0,-11.4,-0.1,1.9,3.2,4.7,-13.4,-1.7,0.5,2.1,3.7,0.2
2,-88.875,56.875,-8.6,0.2,2.1,3.5,5.2,-0.1,1.1,2.1,3.1,4.6,-9.6,-0.8,1.3,2.5,4.1,-11.0,-1.6,0.6,2.1,3.6,-8.4,2.1,4.0,5.6,8.0,0.6,2.2,3.2,4.5,6.1,-11.5,-0.1,1.9,3.2,4.7,-13.4,-1.8,0.5,2.1,3.7,0.3
3,-89.25,56.75,-6.4,1.3,2.9,4.3,6.2,-0.4,1.2,2.5,3.6,5.5,-7.5,0.5,1.9,3.2,5.0,-8.8,-0.1,1.6,2.8,4.4,-6.2,3.1,4.9,6.6,9.1,0.6,2.4,3.6,5.1,6.9,-9.2,1.2,2.7,3.9,5.6,-11.3,-0.2,1.4,2.7,4.7,-1.9
4,-89.125,56.75,-6.4,1.3,2.9,4.2,6.1,-0.4,1.2,2.5,3.6,5.5,-7.5,0.5,1.9,3.2,5.0,-8.9,-0.1,1.5,2.8,4.4,-6.3,3.1,4.9,6.6,9.1,0.6,2.4,3.6,5.1,6.9,-9.3,1.1,2.6,3.9,5.6,-11.3,-0.3,1.4,2.7,4.6,-1.8
5,-89.0,56.75,-6.5,1.2,2.8,4.2,6.1,-0.3,1.2,2.5,3.6,5.4,-7.6,0.5,1.9,3.2,5.0,-8.9,-0.2,1.5,2.8,4.4,-6.3,3.1,4.8,6.6,9.1,0.6,2.4,3.6,5.1,6.9,-9.3,1.2,2.6,3.9,5.5,-11.3,-0.3,1.4,2.7,4.6,-1.8
6,-88.875,56.75,-6.5,1.2,2.8,4.2,6.1,-0.3,1.2,2.5,3.6,5.4,-7.7,0.4,1.9,3.1,4.9,-9.0,-0.2,1.5,2.8,4.4,-6.4,3.1,4.8,6.6,9.1,0.6,2.4,3.6,5.1,6.8,-9.4,1.1,2.6,3.9,5.5,-11.4,-0.3,1.3,2.7,4.6,-1.7
7,-88.75,56.75,-6.6,1.2,2.8,4.2,6.0,-0.3,1.2,2.4,3.6,5.3,-7.7,0.4,1.9,3.1,4.9,-9.0,-0.2,1.5,2.8,4.4,-6.4,3.1,4.8,6.6,9.1,0.6,2.5,3.6,5.2,7.1,-9.5,1.1,2.6,3.9,5.6,-11.4,-0.3,1.3,2.7,4.6,-1.6
8,-89.375,56.625,-7.4,0.9,2.5,3.8,5.6,-0.1,1.1,2.2,3.3,5.0,-8.5,-0.0,1.6,2.8,4.5,-9.9,-0.8,1.1,2.4,4.0,-7.2,2.6,4.4,6.1,8.5,0.6,2.3,3.3,4.8,6.4,-10.2,0.6,2.3,3.5,5.1,-12.3,-0.9,0.9,2.3,4.1,-0.8
9,-89.25,56.625,-6.1,1.4,3.0,4.3,6.3,-0.4,1.2,2.5,3.7,5.6,-7.2,0.6,2.0,3.2,5.1,-8.6,-0.0,1.7,2.9,4.5,-5.9,3.2,5.0,6.7,9.2,0.6,2.4,3.7,5.2,7.0,-8.9,1.3,2.8,4.0,5.7,-11.0,-0.1,1.5,2.8,4.7,-2.1
10,-89.125,56.625,-6.2,1.4,3.0,4.3,6.2,-0.4,1.2,2.5,3.7,5.5,-7.2,0.6,2.0,3.2,5.0,-8.6,-0.0,1.6,2.9,4.5,-6.0,3.2,5.0,6.7,9.2,0.6,2.4,3.7,5.2,7.0,-9.0,1.2,2.7,4.0,5.7,-11.0,-0.1,1.5,2.8,4.7,-2.0
11,-89.0,56.625,-6.2,1.4,2.9,4.3,6.2,-0.4,1.2,2.5,3.6,5.5,-7.2,0.5,2.0,3.2,5.1,-8.6,-0.1,1.6,2.8,4.5,-6.1,3.2,4.9,6.7,9.2,0.7,2.4,3.7,5.1,6.9,-9.0,1.2,2.7,3.9,5.7,-11.0,-0.1,1.5,2.8,4.7,-1.9
12,-88.875,56.625,-6.2,1.3,2.9,4.3,6.2,-0.4,1.2,2.5,3.6,5.5,-7.2,0.5,1.9,3.2,5.0,-8.6,-0.1,1.6,2.8,4.4,-6.1,3.2,4.9,6.7,9.2,0.6,2.4,3.7,5.1,6.9,-9.1,1.2,2.7,3.9,5.6,-11.1,-0.2,1.4,2.7,4.7,-1.9
13,-88.75,56.625,-6.3,1.3,2.9,4.2,6.1,-0.4,1.2,2.4,3.6,5.5,-7.2,0.5,1.9,3.2,5.0,-8.6,-0.1,1.6,2.8,4.4,-6.1,3.2,4.9,6.6,9.1,0.6,2.4,3.7,5.1,6.8,-9.1,1.2,2.6,3.9,5.6,-11.0,-0.2,1.4,2.7,4.6,-1.8
