id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-4.0,0.7,2.2,3.6,5.9,-0.6,0.9,2.0,3.1,5.2,-4.9,-0.2,1.5,2.8,4.9,-5.6,-0.9,0.6,2.2,4.0,-4.1,2.6,4.3,6.2,9.5,0.4,2.1,3.4,4.9,7.3,-6.5,0.3,2.1,3.5,5.7,-7.7,-1.1,0.7,2.2,4.4,5.4
2,-88.875,56.875,-4.0,0.7,2.2,3.6,5.9,-0.6,0.9,2.1,3.2,5.2,-4.9,-0.3,1.5,2.8,4.9,-5.6,-1.0,0.6,2.2,4.1,-4.1,2.6,4.3,6.2,9.5,0.4,2.1,3.4,5.0,7.4,-6.5,0.3,2.1,3.6,5.8,-7.7,-1.1,0.7,2.2,4.4,5.4
3,-89.25,56.75,-3.1,1.0,2.5,3.8,6.2,-0.5,1.1,2.1,3.2,5.3,-4.0,0.3,1.8,3.1,5.0,-4.7,-0.4,1.0,2.3,4.2,-3.2,3.0,4.7,6.6,9.8,0.8,2.3,3.5,5.0,7.4,-5.6,0.9,2.3,3.8,5.8,-6.8,-0.5,1.1,2.4,4.6,4.5
4,-89.125,56.75,-3.1,1.0,2.5,3.8,6.2,-0.5,1.1,2.1,3.2,5.3,-4.0,0.3,1.8,3.0,5.0,-4.6,-0.4,1.0,2.3,4.2,-3.2,3.0,4.7,6.6,9.8,0.8,2.3,3.5,5.0,7.3,-5.6,0.9,2.3,3.8,5.8,-6.8,-0.5,1.1,2.4,4.6,4.5
5,-89.0,56.75,-3.1,1.0,2.5,3.8,6.2,-0.4,1.1,2.1,3.2,5.3,-4.0,0.3,1.8,3.0,5.0,-4.7,-0.4,1.0,2.3,4.2,-3.2,3.0,4.7,6.6,9.8,0.8,2.3,3.5,5.0,7.3,-5.6,0.9,2.3,3.8,5.8,-6.9,-0.5,1.1,2.4,4.6,4.5
6,-88.875,56.75,-3.1,1.1,2.5,3.8,6.2,-0.4,1.1,2.1,3.2,5.3,-4.0,0.3,1.8,3.0,5.0,-4.7,-0.3,1.0,2.4,4.2,-3.2,3.0,4.7,6.6,9.7,0.8,2.3,3.5,5.0,7.3,-5.6,0.9,2.3,3.8,5.8,-6.9,-0.5,1.1,2.4,4.6,4.5
7,-88.75,56.75,-3.1,1.0,2.5,3.8,6.1,-0.3,1.1,2.2,3.3,5.3,-4.1,0.3,1.8,3.1,4.9,-4.7,-0.3,1.0,2.4,4.2,-3.2,3.0,4.7,6.6,9.8,0.8,2.3,3.5,5.1,7.3,-5.7,0.8,2.3,3.7,5.8,-6.8,-0.6,1.1,2.4,4.6,4.6
8,-89.375,56.625,-3.6,0.9,2.3,3.7,6.0,-0.6,1.0,2.1,3.2,5.3,-4.6,-0.0,1.5,2.9,4.8,-5.2,-0.7,0.8,2.2,4.1,-3.7,2.8,4.4,6.3,9.5,0.6,2.2,3.4,4.9,7.4,-6.0,0.6,2.1,3.6,5.7,-7.5,-0.8,0.8,2.2,4.4,5.0
9,-89.25,56.625,-2.9,1.1,2.5,3.8,6.2,-0.5,1.1,2.1,3.2,5.3,-3.9,0.4,1.8,3.1,5.0,-4.5,-0.3,1.1,2.4,4.2,-3.0,3.1,4.7,6.7,9.8,0.8,2.3,3.6,5.0,7.4,-5.4,0.9,2.4,3.8,5.8,-6.8,-0.5,1.1,2.4,4.6,4.4
10,-89.125,56.625,-3.0,1.1,2.5,3.8,6.2,-0.5,1.1,2.1,3.2,5.3,-3.9,0.3,1.8,3.1,4.9,-4.5,-0.3,1.1,2.4,4.2,-3.1,3.1,4.7,6.6,9.8,0.8,2.3,3.6,5.0,7.4,-5.4,0.9,2.4,3.8,5.8,-6.8,-0.5,1.1,2.4,4.6,4.4
