id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-0.6,1.7,3.4,5.6,10.1,-1.2,0.8,2.2,3.9,6.9,-1.0,1.0,2.5,4.9,9.2,-1.8,0.2,1.9,4.2,8.7,1.8,4.2,6.5,9.7,14.5,0.0,2.0,3.9,6.3,10.1,-0.3,1.7,3.4,5.9,11.5,-2.1,0.2,1.7,4.0,10.6,-11.8
2,-88.875,56.875,-0.6,1.7,3.4,5.6,10.1,-1.2,0.8,2.2,4.0,7.2,-1.0,1.0,2.5,4.9,9.3,-1.8,0.2,1.9,4.3,8.7,1.8,4.2,6.5,9.8,14.5,0.0,2.1,4.0,6.5,10.2,-0.3,1.7,3.4,5.9,11.5,-2.0,0.2,1.7,4.1,10.6,-11.8
3,-89.25,56.75,-0.6,2.0,3.7,6.1,10.7,-1.4,0.8,2.5,4.4,7.8,-0.9,1.2,2.8,5.3,9.8,-1.8,0.4,2.2,4.7,9.2,1.9,4.6,7.0,10.4,15.1,-0.1,2.2,4.5,7.1,11.3,-0.1,1.9,3.8,6.3,12.0,-1.8,0.3,2.1,4.5,11.0,-12.0
4,-89.125,56.75,-0.6,2.0,3.7,6.2,10.8,-1.4,0.8,2.5,4.4,7.8,-0.9,1.2,2.8,5.4,9.9,-1.8,0.4,2.2,4.7,9.2,1.9,4.6,7.0,10.4,15.1,-0.0,2.2,4.5,7.1,11.4,-0.1,1.9,3.8,6.4,12.0,-1.8,0.2,2.1,4.5,11.0,-12.1
5,-89.0,56.75,-0.6,1.9,3.8,6.2,10.8,-1.4,0.8,2.5,4.5,7.8,-0.9,1.3,2.8,5.4,9.9,-1.8,0.4,2.2,4.7,9.2,1.9,4.6,7.0,10.5,15.1,-0.0,2.3,4.5,7.1,11.3,-0.1,2.0,3.8,6.4,12.0,-1.8,0.3,2.0,4.5,11.0,-12.1
6,-88.875,56.75,-0.6,2.0,3.8,6.2,10.8,-1.3,0.9,2.5,4.5,7.8,-0.8,1.3,2.8,5.4,9.9,-1.8,0.5,2.2,4.7,9.2,2.0,4.6,7.0,10.5,15.2,-0.0,2.3,4.5,7.1,11.3,-0.0,2.0,3.8,6.4,12.0,-1.8,0.3,2.1,4.6,11.1,-12.1
7,-88.75,56.75,-0.5,1.9,3.8,6.2,10.9,-1.3,0.9,2.5,4.5,8.1,-0.8,1.2,2.8,5.4,9.8,-1.8,0.4,2.2,4.8,9.1,2.0,4.6,7.1,10.6,15.2,0.0,2.3,4.5,7.3,11.5,-0.1,2.0,3.8,6.5,11.9,-1.8,0.3,2.1,4.7,11.0,-12.1
8,-89.375,56.625,-0.6,1.9,3.6,5.9,10.5,-1.4,0.7,2.3,4.1,7.3,-0.9,1.1,2.7,5.1,9.6,-1.8,0.3,2.0,4.4,8.9,1.7,4.3,6.6,10.0,14.7,-0.1,2.1,4.1,6.6,10.6,-0.1,1.8,3.6,6.1,11.8,-1.9,0.2,1.9,4.2,10.8,-11.8
9,-89.25,56.625,-0.6,2.0,3.8,6.2,10.8,-1.5,0.8,2.5,4.4,7.9,-0.8,1.3,2.9,5.4,9.9,-1.8,0.5,2.2,4.7,9.2,1.9,4.6,7.0,10.5,15.2,-0.1,2.2,4.5,7.1,11.4,-0.0,2.0,3.9,6.4,12.1,-1.8,0.3,2.1,4.6,11.1,-12.1
10,-89.125,56.625,-0.5,2.0,3.8,6.2,10.9,-1.4,0.8,2.5,4.4,7.9,-0.8,1.3,2.9,5.4,9.9,-1.8,0.5,2.2,4.7,9.2,1.9,4.6,7.0,10.5,15.2,-0.1,2.3,4.5,7.1,11.5,-0.0,2.0,3.9,6.5,12.1,-1.8,0.3,2.1,4.6,11.1,-12.1
