id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.7,2.5,4.1,5.7,7.9,-0.3,1.0,2.0,3.3,5.3,0.2,1.9,3.6,4.9,7.0,-0.2,1.5,3.4,4.7,6.5,2.6,4.8,6.6,8.7,11.5,0.7,2.3,3.4,5.3,8.2,0.7,2.6,4.2,5.6,7.6,-0.3,1.5,3.2,4.6,6.7,3.9
2,-88.875,56.875,0.7,2.5,4.1,5.7,8.0,-0.3,1.0,2.0,3.3,5.4,0.2,1.9,3.6,5.0,7.1,-0.2,1.5,3.4,4.8,6.6,2.6,4.8,6.6,8.8,11.5,0.7,2.3,3.4,5.4,8.2,0.7,2.6,4.3,5.6,7.7,-0.2,1.6,3.2,4.6,6.8,3.8
3,-89.25,56.75,0.7,2.1,3.3,4.8,7.0,0.0,1.2,2.2,3.5,6.3,0.3,1.5,2.5,3.7,5.8,-0.2,1.1,2.2,3.4,5.1,2.5,4.3,5.8,7.9,11.4,0.9,2.6,3.7,6.1,9.6,0.8,2.1,3.1,4.4,6.9,-0.4,1.0,2.0,3.4,5.2,6.3
4,-89.125,56.75,0.7,2.1,3.3,4.8,7.1,0.0,1.2,2.2,3.5,6.3,0.4,1.6,2.5,3.8,5.8,-0.3,1.1,2.2,3.5,5.2,2.6,4.4,5.9,8.0,11.5,0.9,2.6,3.8,6.2,9.7,0.9,2.1,3.2,4.5,7.0,-0.4,1.1,2.1,3.4,5.3,6.2
5,-89.0,56.75,0.7,2.2,3.4,4.9,7.2,0.0,1.2,2.2,3.6,6.4,0.4,1.6,2.6,3.8,5.9,-0.3,1.2,2.3,3.5,5.3,2.6,4.4,6.0,8.1,11.6,0.9,2.6,3.8,6.2,9.8,0.9,2.2,3.2,4.6,7.1,-0.3,1.1,2.1,3.5,5.4,6.1
6,-88.875,56.75,0.8,2.2,3.4,5.0,7.3,0.0,1.3,2.2,3.6,6.5,0.4,1.7,2.7,3.9,6.0,-0.2,1.2,2.4,3.6,5.3,2.7,4.5,6.1,8.2,11.7,1.0,2.7,3.8,6.3,9.9,0.9,2.2,3.3,4.7,7.2,-0.3,1.1,2.2,3.6,5.5,5.9
7,-88.75,56.75,0.8,2.2,3.4,5.0,7.3,0.0,1.2,2.2,3.6,6.6,0.4,1.7,2.7,3.9,6.1,-0.3,1.2,2.4,3.7,5.4,2.7,4.5,6.1,8.2,11.7,0.9,2.6,3.8,6.3,9.9,0.9,2.2,3.3,4.7,7.2,-0.4,1.2,2.2,3.6,5.6,5.9
8,-89.375,56.625,0.8,2.4,3.7,5.1,7.2,-0.0,1.1,2.0,3.3,5.8,0.4,1.8,3.0,4.2,6.2,-0.2,1.5,2.8,4.0,5.5,2.8,4.5,6.1,8.1,10.9,0.8,2.4,3.4,5.5,8.6,0.9,2.5,3.6,4.9,6.9,-0.3,1.4,2.6,3.9,5.8,5.2
9,-89.25,56.625,0.7,2.1,3.2,4.7,7.1,0.0,1.3,2.2,3.5,6.4,0.3,1.5,2.4,3.6,5.6,-0.2,1.1,2.1,3.3,5.1,2.6,4.3,5.8,7.9,11.4,1.0,2.6,3.8,6.2,9.7,0.8,2.1,3.1,4.4,6.9,-0.4,1.0,2.0,3.3,5.3,6.5
10,-89.125,56.625,0.7,2.1,3.3,4.8,7.1,0.0,1.3,2.2,3.6,6.4,0.4,1.5,2.5,3.7,5.7,-0.2,1.1,2.2,3.4,5.1,2.6,4.4,5.9,8.0,11.5,1.0,2.6,3.8,6.2,9.8,0.9,2.1,3.1,4.4,7.0,-0.4,1.0,2.0,3.4,5.3,6.3
