id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,1.4,3.1,4.6,6.2,8.8,0.3,1.5,2.3,3.3,4.9,1.0,2.4,4.0,5.6,7.7,0.2,1.8,3.5,5.1,7.1,3.6,5.5,7.5,9.5,13.0,1.5,2.9,3.9,5.3,7.6,1.6,3.2,4.8,6.5,8.7,0.3,1.8,3.5,5.1,7.1,-3.4
2,-88.875,56.875,1.4,3.1,4.6,6.3,8.9,0.3,1.5,2.3,3.4,4.9,1.0,2.5,4.1,5.6,7.8,0.3,1.8,3.6,5.1,7.1,3.6,5.5,7.5,9.6,13.1,1.5,2.9,3.9,5.3,7.6,1.6,3.2,4.8,6.6,8.8,0.3,1.9,3.5,5.2,7.2,-3.5
3,-89.25,56.75,1.3,2.8,4.0,5.2,7.3,0.3,1.6,2.5,3.6,5.3,0.9,2.1,3.3,4.4,6.0,0.1,1.5,2.6,3.7,5.3,3.6,5.2,6.9,9.0,11.5,1.5,3.0,4.2,5.7,8.2,1.6,2.9,4.1,5.3,7.1,0.3,1.6,2.6,3.7,5.3,-1.2
4,-89.125,56.75,1.4,2.9,4.0,5.3,7.4,0.3,1.6,2.5,3.6,5.3,0.9,2.2,3.3,4.4,6.0,0.2,1.5,2.6,3.8,5.3,3.6,5.2,6.9,9.1,11.6,1.5,3.0,4.2,5.8,8.3,1.6,3.0,4.1,5.4,7.2,0.3,1.6,2.7,3.8,5.4,-1.2
5,-89.0,56.75,1.4,2.9,4.0,5.3,7.5,0.3,1.6,2.5,3.7,5.4,1.0,2.2,3.3,4.5,6.1,0.2,1.5,2.7,3.8,5.3,3.6,5.3,7.0,9.1,11.7,1.6,3.1,4.2,5.8,8.3,1.6,3.0,4.2,5.4,7.2,0.3,1.6,2.7,3.8,5.5,-1.3
6,-88.875,56.75,1.4,2.9,4.1,5.4,7.6,0.3,1.6,2.5,3.7,5.4,1.0,2.2,3.4,4.5,6.2,0.2,1.6,2.7,3.9,5.4,3.7,5.3,7.1,9.2,11.7,1.7,3.1,4.2,5.9,8.4,1.7,3.1,4.2,5.5,7.3,0.3,1.6,2.7,3.9,5.5,-1.4
7,-88.75,56.75,1.4,3.0,4.1,5.4,7.6,0.3,1.6,2.5,3.7,5.4,1.0,2.2,3.4,4.6,6.3,0.2,1.6,2.7,3.9,5.4,3.7,5.3,7.1,9.3,11.8,1.6,3.1,4.2,5.9,8.5,1.7,3.1,4.2,5.6,7.4,0.3,1.7,2.8,3.9,5.5,-1.5
8,-89.375,56.625,1.4,3.0,4.3,5.7,8.0,0.2,1.5,2.3,3.4,5.0,1.0,2.4,3.7,5.0,6.9,0.2,1.7,3.1,4.4,6.1,3.5,5.3,7.1,9.1,12.1,1.5,2.8,3.9,5.4,7.7,1.6,3.2,4.4,5.9,7.9,0.3,1.8,3.1,4.4,6.2,-2.3
9,-89.25,56.625,1.3,2.8,4.0,5.2,7.3,0.2,1.6,2.5,3.6,5.3,0.9,2.1,3.2,4.4,5.9,0.1,1.5,2.5,3.7,5.2,3.5,5.1,6.8,9.0,11.5,1.4,3.0,4.2,5.7,8.3,1.5,2.9,4.1,5.3,7.1,0.2,1.5,2.6,3.7,5.3,-1.0
10,-89.125,56.625,1.3,2.8,4.0,5.2,7.4,0.2,1.6,2.5,3.6,5.4,0.9,2.1,3.3,4.4,6.0,0.1,1.5,2.6,3.7,5.2,3.5,5.2,6.9,9.1,11.6,1.5,3.0,4.2,5.8,8.3,1.6,3.0,4.1,5.4,7.2,0.3,1.6,2.6,3.7,5.3,-1.1
11,-89.0,56.625,1.3,2.9,4.0,5.2,7.4,0.3,1.6,2.5,3.7,5.4,0.9,2.2,3.3,4.5,6.0,0.2,1.5,2.6,3.8,5.3,3.6,5.2,7.0,9.1,11.6,1.5,3.0,4.2,5.8,8.4,1.6,3.0,4.2,5.4,7.2,0.3,1.6,2.6,3.8,5.4,-1.2
12,-88.875,56.625,1.3,2.9,4.1,5.3,7.5,0.3,1.6,2.5,3.7,5.4,1.0,2.2,3.3,4.5,6.1,0.2,1.5,2.7,3.8,5.4,3.6,5.2,7.0,9.2,11.7,1.5,3.0,4.2,5.9,8.5,1.6,3.0,4.2,5.5,7.3,0.3,1.6,2.7,3.8,5.5,-1.2
13,-88.75,56.625,1.4,2.9,4.1,5.3,7.5,0.3,1.6,2.5,3.7,5.4,1.0,2.2,3.4,4.5,6.2,0.2,1.6,2.7,3.9,5.4,3.6,5.3,7.0,9.2,11.8,1.6,3.1,4.2,5.8,8.5,1.7,3.0,4.2,5.5,7.4,0.3,1.7,2.7,3.9,5.5,-1.3
14,-88.625,56.625,1.4,3.0,4.1,5.4,7.6,0.3,1.6,2.4,3.7,5.3,1.0,2.2,3.4,4.6,6.2,0.2,1.6,2.7,3.9,5.4,3.6,5.3,7.1,9.2,11.8,1.6,3.1,4.2,5.7,8.4,1.7,3.0,4.2,5.5,7.3,0.3,1.7,2.7,3.9,5.6,-1.4
15,-88.5,56.625,1.4,3.0,4.1,5.4,7.6,0.3,1.6,2.4,3.6,5.3,1.0,2.3,3.5,4.6,6.3,0.2,1.6,2.7,3.9,5.5,3.6,5.3,7.1,9.2,11.8,1.6,3.1,4.2,5.6,8.2,1.7,3.1,4.2,5.5,7.4,0.4,1.7,2.8,3.9,5.6,-1.5
16,-88.375,56.625,1.4,3.0,4.1,5.4,7.6,0.3,1.6,2.4,3.6,5.2,1.0,2.3,3.5,4.6,6.3,0.2,1.6,2.8,4.0,5.6,3.6,5.4,7.1,9.2,11.9,1.6,3.0,4.2,5.6,8.2,1.6,3.1,4.3,5.6,7.4,0.3,1.7,2.8,4.0,5.7,-1.6
17,-89.625,56.5,1.2,2.6,3.8,5.0,7.0,0.2,1.5,2.4,3.5,5.2,0.8,2.0,3.1,4.2,5.7,0.1,1.3,2.3,3.5,4.9,3.3,5.0,6.7,8.7,11.2,1.3,2.9,4.1,5.6,7.9,1.4,2.8,3.9,5.1,6.8,0.1,1.4,2.4,3.5,5.0,-0.6
18,-89.5,56.5,1.3,2.7,3.9,5.0,7.1,0.2,1.6,2.5,3.5,5.3,0.8,2.1,3.1,4.2,5.8,0.1,1.4,2.4,3.5,5.0,3.4,5.0,6.7,8.8,11.3,1.4,3.0,4.2,5.6,8.0,1.5,2.8,4.0,5.1,6.9,0.1,1.5,2.4,3.5,5.1,-0.7
19,-89.375,56.5,1.3,2.8,3.9,5.1,7.2,0.2,1.6,2.5,3.6,5.3,0.9,2.1,3.2,4.3,5.9,0.1,1.4,2.5,3.6,5.1,3.5,5.1,6.8,8.9,11.4,1.4,3.0,4.2,5.7,8.3,1.5,2.8,4.0,5.2,7.0,0.2,1.5,2.5,3.6,5.2,-0.8
20,-89.25,56.5,1.3,2.8,3.9,5.1,7.2,0.2,1.6,2.5,3.7,5.4,0.9,2.1,3.2,4.3,5.9,0.1,1.4,2.5,3.6,5.1,3.5,5.1,6.8,8.9,11.5,1.5,3.0,4.2,5.7,8.3,1.5,2.9,4.0,5.2,7.1,0.2,1.5,2.5,3.6,5.2,-0.9
