id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-1.2,2.5,4.9,7.3,11.5,-1.9,1.8,3.9,5.8,10.7,-3.0,1.7,3.9,6.1,10.2,-4.3,0.1,2.5,4.9,9.4,2.1,5.4,7.9,10.4,14.9,0.6,3.9,5.9,7.9,13.1,-1.4,2.5,4.6,7.2,12.0,-4.3,0.1,2.7,5.2,9.4,-14.7
2,-88.875,56.875,-1.2,2.5,4.7,7.3,11.5,-1.9,1.8,3.9,5.7,10.7,-3.0,1.7,3.9,6.1,10.3,-4.3,0.1,2.4,4.8,9.5,2.1,5.3,7.8,10.4,14.9,0.6,3.8,5.8,7.9,13.2,-1.4,2.4,4.5,7.2,12.0,-4.4,0.1,2.7,5.1,9.4,-14.7
3,-89.25,56.75,-0.7,3.0,5.4,8.0,11.9,-2.3,1.8,4.2,5.9,10.3,-2.3,2.2,4.5,6.7,10.6,-3.5,0.7,3.2,5.5,9.7,2.9,6.0,8.6,11.1,15.4,0.2,4.1,6.0,8.1,12.7,-1.0,3.1,5.2,7.8,12.4,-3.6,0.9,3.3,5.6,9.8,-16.1
4,-89.125,56.75,-0.6,3.0,5.3,7.9,11.9,-2.3,1.8,4.2,5.9,10.4,-2.3,2.2,4.4,6.7,10.6,-3.5,0.7,3.2,5.5,9.7,2.9,6.0,8.5,11.1,15.4,0.3,4.0,6.0,8.1,12.8,-1.0,3.1,5.2,7.8,12.4,-3.6,0.9,3.2,5.7,9.8,-16.0
5,-89.0,56.75,-0.6,3.0,5.3,7.9,12.0,-2.3,1.9,4.2,5.9,10.5,-2.3,2.2,4.4,6.7,10.6,-3.5,0.7,3.2,5.6,9.8,2.9,6.0,8.5,11.1,15.4,0.5,4.1,6.0,8.1,12.8,-1.0,3.1,5.2,7.8,12.4,-3.6,0.9,3.2,5.7,9.8,-15.9
6,-88.875,56.75,-0.5,3.0,5.2,7.9,12.0,-2.2,1.9,4.2,5.9,10.5,-2.3,2.2,4.4,6.6,10.6,-3.5,0.7,3.1,5.5,9.8,2.9,6.0,8.4,11.1,15.4,0.7,4.1,6.0,8.0,12.7,-1.0,3.1,5.2,7.7,12.5,-3.6,0.8,3.2,5.7,9.8,-15.9
7,-88.75,56.75,-0.5,2.9,5.2,7.8,12.0,-2.2,2.0,4.2,5.7,10.5,-2.3,2.1,4.4,6.6,10.7,-3.4,0.7,3.1,5.4,9.7,2.8,5.9,8.3,11.1,15.3,0.7,4.2,6.0,7.8,12.7,-0.9,3.0,5.1,7.7,12.5,-3.5,0.8,3.2,5.6,9.8,-15.8
8,-89.375,56.625,-1.1,2.7,5.1,7.6,11.5,-2.4,1.7,4.1,5.9,10.5,-2.8,1.9,4.2,6.5,10.2,-3.9,0.3,2.8,5.3,9.3,2.4,5.7,8.2,10.7,14.9,0.5,3.9,5.9,7.8,12.7,-1.4,2.7,5.0,7.6,11.9,-4.0,0.5,2.9,5.3,9.3,-15.5
9,-89.25,56.625,-0.8,3.0,5.4,8.0,11.9,-2.3,1.8,4.2,5.9,10.3,-2.2,2.2,4.5,6.7,10.6,-3.4,0.7,3.3,5.6,9.7,2.9,6.1,8.6,11.1,15.3,0.2,4.1,6.0,8.1,12.7,-1.0,3.1,5.3,7.8,12.3,-3.5,0.9,3.3,5.6,9.6,-16.1
10,-89.125,56.625,-0.8,3.0,5.4,8.0,11.9,-2.3,1.8,4.2,6.0,10.3,-2.2,2.2,4.5,6.7,10.5,-3.4,0.7,3.3,5.6,9.6,2.8,6.0,8.6,11.1,15.3,0.3,4.0,6.0,8.2,12.7,-1.0,3.1,5.2,7.8,12.3,-3.5,0.9,3.3,5.6,9.7,-16.1
