id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.3,3.7,6.4,9.5,13.6,-2.0,1.2,3.6,6.0,9.3,-1.2,2.5,5.2,8.0,12.4,-1.9,1.2,3.8,6.9,12.3,3.1,7.7,11.4,15.5,20.2,0.8,3.5,5.9,8.6,12.0,-0.1,3.8,6.6,9.7,14.6,-1.3,2.0,4.7,7.7,12.9,-20.5
2,-88.875,56.875,0.3,3.7,6.5,9.7,13.8,-1.8,1.3,3.6,6.1,9.3,-1.2,2.5,5.3,8.1,12.6,-1.9,1.3,3.9,7.1,12.5,3.1,7.8,11.6,15.8,20.3,0.8,3.5,6.0,8.8,12.3,-0.1,3.8,6.7,9.9,14.9,-1.2,2.0,4.8,7.9,13.0,-20.5
3,-89.25,56.75,-0.1,3.4,6.2,9.2,13.2,-2.3,1.1,3.6,6.0,9.7,-1.6,2.4,5.0,7.6,12.1,-2.2,1.0,3.6,6.7,12.1,2.6,7.3,10.9,14.9,19.6,0.5,3.2,5.8,8.4,11.9,-0.5,3.5,6.2,9.3,14.2,-1.6,1.8,4.5,7.5,12.6,-19.9
4,-89.125,56.75,-0.1,3.5,6.3,9.3,13.3,-2.3,1.1,3.6,6.1,9.6,-1.6,2.4,5.1,7.7,12.2,-2.2,1.0,3.6,6.8,12.1,2.7,7.3,11.0,15.0,19.8,0.6,3.3,5.8,8.5,12.0,-0.5,3.6,6.3,9.4,14.4,-1.6,1.8,4.5,7.6,12.7,-20.0
5,-89.0,56.75,-0.1,3.5,6.3,9.3,13.4,-2.1,1.1,3.6,6.1,9.6,-1.5,2.4,5.1,7.7,12.3,-2.1,1.1,3.7,6.8,12.2,2.8,7.4,11.2,15.2,20.0,0.6,3.4,5.8,8.5,12.0,-0.4,3.6,6.4,9.5,14.4,-1.6,1.8,4.6,7.6,12.8,-20.1
6,-88.875,56.75,0.0,3.6,6.4,9.4,13.5,-2.1,1.1,3.7,6.1,9.6,-1.5,2.5,5.2,7.9,12.3,-2.1,1.1,3.7,6.9,12.3,2.8,7.6,11.3,15.3,20.1,0.7,3.5,5.8,8.5,12.1,-0.4,3.7,6.5,9.7,14.5,-1.5,1.9,4.6,7.7,12.8,-20.2
7,-88.75,56.75,0.1,3.7,6.4,9.5,13.6,-2.0,1.2,3.7,6.2,9.6,-1.4,2.5,5.2,7.9,12.5,-2.1,1.1,3.8,6.9,12.4,2.9,7.6,11.5,15.5,20.4,0.7,3.5,6.0,8.8,12.3,-0.4,3.7,6.6,9.8,14.8,-1.4,2.0,4.7,7.8,12.9,-20.2
8,-89.375,56.625,-0.0,3.4,6.2,9.2,13.3,-2.1,1.1,3.5,5.9,9.3,-1.4,2.4,5.0,7.7,12.2,-2.1,1.1,3.7,6.9,12.2,2.8,7.2,10.7,14.8,19.6,0.5,3.2,5.7,8.4,11.8,-0.3,3.6,6.3,9.3,14.3,-1.5,1.8,4.5,7.6,12.9,-20.1
9,-89.25,56.625,-0.2,3.3,6.2,9.2,13.2,-2.3,1.0,3.6,6.0,9.7,-1.6,2.4,5.0,7.6,12.2,-2.2,1.0,3.6,6.8,12.1,2.7,7.2,10.8,14.8,19.6,0.3,3.2,5.7,8.5,12.0,-0.5,3.6,6.3,9.3,14.2,-1.7,1.8,4.5,7.6,12.8,-19.9
10,-89.125,56.625,-0.1,3.4,6.3,9.2,13.3,-2.3,1.1,3.6,6.1,9.7,-1.6,2.4,5.0,7.7,12.2,-2.1,1.0,3.6,6.8,12.2,2.7,7.3,11.0,14.9,19.8,0.5,3.3,5.8,8.5,12.0,-0.5,3.6,6.4,9.4,14.3,-1.6,1.8,4.6,7.7,12.9,-20.0
