id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-1.2,2.2,5.1,7.8,12.2,-2.9,-0.0,2.1,4.1,7.2,-1.4,2.0,4.5,7.4,12.0,-2.2,1.1,3.7,6.5,11.9,0.9,5.0,8.3,11.8,16.9,-1.8,1.6,3.9,6.5,9.5,-0.9,2.5,5.3,8.2,14.1,-2.7,0.6,3.5,6.7,13.6,-13.7
2,-88.875,56.875,-1.2,2.2,5.2,8.0,12.3,-2.9,0.0,2.1,4.2,7.4,-1.3,2.0,4.6,7.6,12.1,-2.1,1.2,3.7,6.6,12.0,0.9,5.0,8.4,12.0,16.9,-1.8,1.7,4.0,6.7,9.9,-0.9,2.6,5.4,8.3,14.1,-2.6,0.6,3.6,6.7,13.6,-13.8
3,-89.25,56.75,-1.5,1.8,4.5,7.1,11.2,-2.9,-0.1,2.0,4.1,7.0,-1.5,1.6,3.9,6.6,11.0,-2.5,0.9,3.2,5.9,10.8,0.5,4.4,7.7,10.8,15.8,-2.2,1.4,3.7,6.3,9.0,-1.3,2.1,4.8,7.5,13.0,-3.1,0.2,3.0,5.8,12.5,-12.4
4,-89.125,56.75,-1.5,1.9,4.5,7.2,11.3,-2.9,-0.1,2.0,4.1,7.0,-1.5,1.6,4.0,6.7,11.1,-2.5,0.9,3.2,5.9,10.9,0.6,4.4,7.8,10.9,15.9,-2.1,1.4,3.8,6.3,9.0,-1.2,2.1,4.8,7.5,13.1,-3.1,0.2,3.0,5.9,12.5,-12.5
5,-89.0,56.75,-1.5,1.9,4.6,7.3,11.4,-2.9,-0.1,2.1,4.1,7.0,-1.5,1.7,4.1,6.8,11.1,-2.5,0.9,3.2,6.0,11.0,0.6,4.5,7.9,11.0,16.0,-2.1,1.4,3.8,6.3,9.1,-1.3,2.2,4.9,7.6,13.1,-3.1,0.3,3.0,6.0,12.6,-12.6
6,-88.875,56.75,-1.4,1.9,4.6,7.3,11.5,-2.8,-0.0,2.1,4.2,7.0,-1.5,1.7,4.2,6.9,11.2,-2.5,0.9,3.3,6.0,11.1,0.7,4.6,8.0,11.1,16.1,-2.0,1.5,3.9,6.3,9.1,-1.1,2.2,4.9,7.7,13.2,-2.9,0.3,3.1,6.0,12.7,-12.7
7,-88.75,56.75,-1.4,2.0,4.7,7.4,11.6,-2.9,0.0,2.1,4.2,7.2,-1.4,1.7,4.2,6.9,11.3,-2.4,1.0,3.3,6.1,11.0,0.7,4.6,8.1,11.2,16.1,-2.0,1.5,3.9,6.5,9.3,-1.1,2.3,5.0,7.8,13.2,-2.9,0.3,3.1,6.1,12.7,-12.7
8,-89.375,56.625,-1.3,2.0,4.7,7.5,11.9,-2.8,-0.1,2.1,4.1,7.0,-1.4,1.8,4.3,7.0,11.6,-2.3,1.1,3.5,6.2,11.7,0.7,4.5,7.8,11.1,16.4,-2.1,1.4,3.8,6.4,9.1,-1.1,2.3,5.0,7.8,13.9,-2.9,0.5,3.3,6.3,13.3,-13.0
9,-89.25,56.625,-1.5,1.8,4.5,7.1,11.3,-2.9,-0.2,2.1,4.1,6.9,-1.4,1.6,4.0,6.6,11.1,-2.5,0.9,3.2,5.9,10.9,0.4,4.3,7.6,10.8,15.8,-2.2,1.4,3.7,6.2,9.0,-1.3,2.1,4.8,7.4,13.1,-3.1,0.3,3.0,5.9,12.6,-12.3
10,-89.125,56.625,-1.5,1.9,4.5,7.1,11.4,-2.9,-0.1,2.1,4.1,7.0,-1.5,1.7,4.0,6.7,11.2,-2.5,0.9,3.2,5.9,11.0,0.5,4.4,7.7,10.9,15.9,-2.2,1.4,3.7,6.2,9.0,-1.2,2.1,4.8,7.5,13.2,-3.0,0.3,3.0,5.9,12.7,-12.4
11,-89.0,56.625,-1.5,1.9,4.6,7.2,11.5,-2.9,-0.1,2.1,4.1,7.0,-1.5,1.7,4.1,6.8,11.3,-2.5,0.9,3.3,6.0,11.1,0.5,4.4,7.7,11.0,16.0,-2.2,1.4,3.7,6.2,9.0,-1.3,2.2,4.8,7.6,13.2,-3.0,0.3,3.1,6.0,12.8,-12.5
12,-88.875,56.625,-1.5,1.9,4.6,7.3,11.5,-3.0,-0.2,2.1,4.1,7.0,-1.5,1.7,4.2,6.8,11.3,-2.5,1.0,3.3,6.1,11.2,0.4,4.4,7.8,11.0,16.1,-2.2,1.4,3.7,6.2,9.1,-1.2,2.2,4.9,7.7,13.3,-3.0,0.3,3.1,6.1,12.8,-12.6
13,-88.75,56.625,-1.4,2.0,4.7,7.3,11.6,-2.8,-0.0,2.1,4.1,7.0,-1.5,1.8,4.2,6.9,11.3,-2.5,1.0,3.3,6.1,11.3,0.5,4.5,7.8,11.1,16.1,-2.1,1.5,3.8,6.3,9.1,-1.1,2.3,4.9,7.7,13.3,-2.9,0.3,3.2,6.1,12.9,-12.7
14,-88.625,56.625,-1.3,2.0,4.7,7.3,11.6,-2.9,-0.2,2.0,4.1,7.0,-1.4,1.7,4.2,6.9,11.3,-2.5,1.0,3.4,6.0,11.3,0.6,4.6,7.9,11.1,16.2,-2.0,1.4,3.7,6.3,8.8,-1.1,2.3,4.9,7.7,13.3,-2.9,0.4,3.1,6.1,12.9,-12.7
15,-88.5,56.625,-1.3,2.0,4.7,7.3,11.6,-2.9,-0.1,2.0,4.1,7.0,-1.4,1.7,4.2,6.9,11.3,-2.4,1.0,3.3,6.1,11.2,0.7,4.6,7.9,11.3,16.2,-2.0,1.5,3.8,6.3,9.1,-1.1,2.3,4.9,7.8,13.3,-2.8,0.4,3.2,6.1,12.9,-12.7
16,-88.375,56.625,-1.3,2.0,4.7,7.4,11.6,-2.9,-0.1,2.0,4.1,7.0,-1.4,1.8,4.2,7.0,11.3,-2.4,1.0,3.4,6.1,11.2,0.6,4.6,8.0,11.3,16.3,-2.0,1.5,3.7,6.3,9.1,-1.1,2.3,5.0,7.8,13.3,-2.8,0.4,3.2,6.2,13.0,-12.8
17,-89.625,56.5,-1.7,1.7,4.3,6.9,11.1,-2.8,-0.2,2.0,4.0,6.6,-1.6,1.5,3.8,6.4,10.9,-2.6,0.7,3.1,5.7,10.9,0.3,4.0,7.2,10.3,15.5,-2.3,1.3,3.6,5.9,8.6,-1.5,1.9,4.6,7.2,13.1,-3.1,0.2,2.9,5.7,12.4,-11.9
18,-89.5,56.5,-1.6,1.7,4.3,6.9,11.2,-2.8,-0.2,2.1,4.0,6.7,-1.5,1.5,3.9,6.5,11.0,-2.6,0.8,3.1,5.7,10.9,0.4,4.1,7.4,10.5,15.6,-2.3,1.3,3.6,6.0,8.7,-1.5,2.0,4.6,7.2,13.1,-3.1,0.2,2.9,5.8,12.5,-12.0
19,-89.375,56.5,-1.6,1.8,4.4,7.0,11.3,-2.8,-0.1,2.1,4.0,6.9,-1.5,1.6,3.9,6.5,11.1,-2.6,0.8,3.2,5.9,11.0,0.4,4.2,7.5,10.6,15.7,-2.3,1.4,3.7,6.1,8.9,-1.4,2.1,4.7,7.4,13.2,-3.1,0.3,3.0,5.8,12.6,-12.1
20,-89.25,56.5,-1.6,1.8,4.4,7.1,11.3,-2.9,-0.2,2.1,4.1,6.9,-1.5,1.6,4.0,6.6,11.1,-2.5,0.9,3.2,5.9,11.0,0.4,4.2,7.5,10.7,15.8,-2.2,1.4,3.7,6.2,9.0,-1.3,2.1,4.8,7.4,13.1,-3.1,0.3,3.0,5.8,12.7,-12.2
21,-89.125,56.5,-1.5,1.9,4.5,7.1,11.4,-2.9,-0.2,2.1,4.1,7.0,-1.5,1.7,4.1,6.7,11.2,-2.5,0.9,3.2,6.0,11.1,0.4,4.2,7.6,10.8,15.9,-2.2,1.4,3.7,6.2,9.0,-1.3,2.1,4.8,7.5,13.2,-3.0,0.3,3.1,5.9,12.7,-12.4
22,-89.0,56.5,-1.5,1.9,4.5,7.2,11.5,-2.9,-0.2,2.0,4.1,7.0,-1.5,1.7,4.1,6.7,11.3,-2.5,0.9,3.3,6.0,11.1,0.4,4.3,7.7,10.9,16.0,-2.3,1.4,3.7,6.2,9.0,-1.3,2.1,4.8,7.6,13.2,-2.9,0.3,3.1,6.0,12.8,-12.5
