id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-5.9,0.3,2.2,3.8,5.9,-1.9,0.6,2.0,3.4,5.8,-6.6,-0.7,1.4,3.2,5.3,-8.7,-1.6,0.8,2.3,4.7,-3.9,2.4,4.3,6.1,8.7,-0.9,1.8,3.3,4.8,6.9,-7.3,0.2,2.1,3.8,5.9,-9.8,-1.8,0.7,2.4,4.6,-4.1
2,-88.875,56.875,-6.0,0.2,2.2,3.8,5.9,-1.8,0.6,2.0,3.4,5.7,-6.7,-0.7,1.3,3.1,5.3,-8.8,-1.7,0.7,2.3,4.7,-4.0,2.4,4.2,6.1,8.7,-0.9,1.7,3.3,4.8,6.9,-7.4,0.2,2.1,3.8,5.9,-9.9,-1.9,0.6,2.4,4.6,-4.0
3,-89.25,56.75,-4.1,1.1,3.0,4.7,6.9,-2.1,0.7,2.3,3.9,6.4,-4.7,0.1,2.3,4.0,6.3,-6.7,-0.7,1.6,3.3,5.7,-2.2,3.3,5.3,7.2,9.9,-0.8,1.8,3.7,5.4,7.6,-5.4,1.2,3.0,4.7,7.0,-7.8,-0.9,1.7,3.3,5.4,-6.2
4,-89.125,56.75,-4.2,1.1,3.0,4.6,6.8,-2.1,0.7,2.3,3.9,6.4,-4.8,0.1,2.2,3.9,6.3,-6.8,-0.8,1.6,3.2,5.6,-2.2,3.3,5.2,7.1,9.9,-0.8,1.9,3.7,5.4,7.6,-5.4,1.2,3.0,4.7,6.9,-7.9,-0.9,1.7,3.2,5.3,-6.1
5,-89.0,56.75,-4.3,1.1,2.9,4.6,6.8,-2.1,0.7,2.3,3.9,6.4,-4.8,0.0,2.2,3.9,6.1,-6.9,-0.8,1.6,3.2,5.5,-2.3,3.2,5.2,7.0,9.8,-0.8,1.8,3.7,5.4,7.6,-5.5,1.1,3.0,4.6,6.8,-7.9,-0.9,1.7,3.2,5.3,-6.0
6,-88.875,56.75,-4.4,1.0,2.9,4.5,6.7,-2.1,0.7,2.3,3.9,6.4,-4.9,0.0,2.2,3.9,6.0,-6.9,-0.8,1.5,3.1,5.4,-2.4,3.1,5.1,7.0,9.8,-0.7,1.9,3.7,5.3,7.7,-5.6,1.0,2.9,4.6,6.8,-8.0,-1.0,1.6,3.2,5.3,-5.8
7,-88.75,56.75,-4.4,1.0,2.9,4.5,6.6,-2.1,0.7,2.3,3.8,6.3,-4.9,0.0,2.1,3.8,6.0,-7.0,-0.8,1.5,3.1,5.4,-2.5,3.1,5.1,6.9,9.7,-0.8,1.8,3.7,5.3,7.7,-5.6,1.0,2.9,4.5,6.7,-8.0,-0.9,1.6,3.2,5.2,-5.8
8,-89.375,56.625,-4.9,0.8,2.7,4.3,6.5,-1.8,0.6,2.2,3.7,6.2,-5.6,-0.2,1.9,3.7,5.8,-7.5,-1.1,1.3,2.9,5.1,-3.0,3.0,4.9,6.7,9.3,-0.8,1.7,3.5,5.1,7.2,-6.3,0.9,2.7,4.4,6.5,-8.5,-1.2,1.3,2.9,5.0,-5.3
9,-89.25,56.625,-4.0,1.2,3.1,4.8,7.0,-2.0,0.7,2.4,4.0,6.4,-4.6,0.2,2.4,4.1,6.4,-6.6,-0.7,1.7,3.4,5.8,-2.1,3.3,5.4,7.3,10.1,-0.9,1.9,3.7,5.5,7.7,-5.2,1.3,3.1,4.8,7.1,-7.4,-0.7,1.8,3.4,5.5,-6.3
10,-89.125,56.625,-4.0,1.2,3.1,4.8,6.9,-2.0,0.7,2.4,3.9,6.4,-4.7,0.2,2.3,4.0,6.3,-6.7,-0.7,1.7,3.3,5.7,-2.2,3.3,5.3,7.3,10.0,-0.9,1.9,3.7,5.5,7.7,-5.3,1.2,3.1,4.8,7.0,-7.5,-0.8,1.8,3.3,5.4,-6.2
