id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,1.7,4.5,6.4,8.5,11.6,-0.0,2.5,4.0,5.9,8.2,0.9,3.3,5.1,7.1,9.7,-0.3,2.0,3.9,5.6,8.4,5.3,8.3,10.7,13.1,17.6,2.3,4.7,6.5,8.5,11.7,2.0,4.7,6.6,8.5,11.4,0.2,2.6,4.3,5.9,8.6,-19.1
2,-88.875,56.875,1.7,4.5,6.4,8.6,11.6,-0.0,2.5,4.1,5.9,8.2,0.9,3.3,5.1,7.1,9.8,-0.3,2.0,3.9,5.7,8.4,5.3,8.4,10.8,13.2,17.7,2.3,4.8,6.7,8.7,11.7,2.0,4.7,6.7,8.6,11.4,0.2,2.6,4.3,6.0,8.6,-19.1
3,-89.25,56.75,1.6,4.5,6.5,8.6,11.7,-0.3,2.4,4.0,5.9,8.4,0.9,3.4,5.2,7.2,10.0,-0.2,2.2,4.1,5.9,8.7,5.2,8.4,10.8,13.1,17.8,2.0,4.6,6.6,8.6,11.6,1.9,4.7,6.7,8.7,11.6,0.1,2.8,4.5,6.2,8.8,-19.5
4,-89.125,56.75,1.6,4.6,6.5,8.6,11.8,-0.3,2.4,4.0,5.9,8.4,1.0,3.4,5.2,7.2,10.0,-0.2,2.2,4.1,5.9,8.8,5.2,8.5,10.8,13.2,17.8,2.0,4.6,6.6,8.6,11.6,1.9,4.8,6.7,8.7,11.7,0.2,2.8,4.5,6.2,8.8,-19.5
5,-89.0,56.75,1.7,4.6,6.5,8.7,11.8,-0.3,2.5,4.0,5.9,8.4,1.0,3.5,5.3,7.3,10.1,-0.2,2.2,4.1,5.9,8.8,5.3,8.6,10.9,13.3,18.0,2.1,4.6,6.6,8.6,11.7,2.0,4.8,6.8,8.8,11.7,0.2,2.8,4.6,6.2,9.0,-19.5
6,-88.875,56.75,1.7,4.6,6.6,8.7,11.9,-0.1,2.5,4.1,6.0,8.4,1.0,3.5,5.3,7.3,10.1,-0.2,2.2,4.2,5.9,8.8,5.4,8.6,10.9,13.3,18.0,2.2,4.7,6.7,8.6,11.8,2.1,4.8,6.8,8.8,11.8,0.2,2.8,4.6,6.3,9.0,-19.5
7,-88.75,56.75,1.8,4.7,6.6,8.8,12.0,-0.1,2.5,4.1,6.0,8.4,1.1,3.6,5.4,7.4,10.2,-0.2,2.3,4.2,6.0,8.8,5.4,8.7,11.1,13.5,18.1,2.2,4.7,6.9,8.8,11.8,2.1,4.9,6.9,8.9,11.8,0.2,2.9,4.6,6.4,9.1,-19.5
8,-89.375,56.625,1.5,4.3,6.3,8.3,11.4,-0.3,2.3,3.9,5.7,8.3,0.8,3.3,5.1,7.0,9.7,-0.4,2.0,3.9,5.7,8.6,5.1,8.1,10.4,12.9,17.3,1.9,4.4,6.4,8.4,11.5,1.8,4.6,6.5,8.5,11.2,0.0,2.7,4.3,6.0,8.6,-19.3
9,-89.25,56.625,1.6,4.5,6.4,8.6,11.7,-0.5,2.4,4.0,5.9,8.4,0.9,3.4,5.2,7.2,10.0,-0.4,2.2,4.1,5.9,8.8,5.1,8.3,10.7,13.1,17.7,1.9,4.5,6.5,8.6,11.6,1.8,4.7,6.6,8.7,11.5,0.1,2.8,4.5,6.2,8.9,-19.6
10,-89.125,56.625,1.6,4.5,6.5,8.6,11.8,-0.4,2.4,4.0,5.9,8.4,0.9,3.4,5.3,7.2,10.0,-0.3,2.2,4.1,6.0,8.9,5.1,8.4,10.8,13.2,17.7,1.9,4.5,6.6,8.6,11.6,1.9,4.8,6.7,8.7,11.6,0.2,2.8,4.6,6.3,8.9,-19.6
11,-89.0,56.625,1.6,4.6,6.5,8.7,11.8,-0.4,2.4,4.0,5.9,8.5,0.9,3.5,5.3,7.3,10.1,-0.3,2.3,4.2,6.0,8.9,5.1,8.4,10.8,13.2,17.8,2.0,4.5,6.6,8.6,11.6,1.9,4.8,6.7,8.8,11.7,0.1,2.8,4.6,6.3,9.0,-19.6
