id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-1.0,-0.5,-0.2,0.1,0.4,-1.0,-0.3,-0.1,0.2,0.4,-0.7,-0.3,-0.0,0.2,0.5,-0.6,-0.2,0.0,0.2,0.6,-1.4,-0.9,-0.6,-0.1,0.3,-1.3,-0.7,-0.4,-0.1,0.2,-0.9,-0.4,-0.1,0.1,0.4,-0.6,-0.2,-0.0,0.2,0.5,4.4
2,-88.875,56.875,-1.0,-0.5,-0.2,0.1,0.4,-1.0,-0.3,-0.1,0.2,0.4,-0.7,-0.3,-0.0,0.2,0.5,-0.6,-0.2,0.0,0.2,0.5,-1.4,-1.0,-0.6,-0.1,0.3,-1.3,-0.7,-0.4,-0.1,0.2,-0.9,-0.4,-0.1,0.1,0.4,-0.6,-0.2,-0.0,0.2,0.5,4.3
3,-89.25,56.75,-1.1,-0.6,-0.2,0.1,0.4,-1.5,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.0,0.2,0.6,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.2
4,-89.125,56.75,-1.1,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.1
5,-89.0,56.75,-1.1,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.6,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.2,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.1
6,-88.875,56.75,-1.1,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.6,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.0
7,-88.75,56.75,-1.1,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.6,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.7,-0.1,0.3,-1.8,-0.9,-0.4,-0.1,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.8,-0.3,-0.1,0.2,0.6,6.9
8,-89.375,56.625,-1.0,-0.5,-0.2,0.1,0.4,-1.2,-0.4,-0.1,0.2,0.5,-0.7,-0.3,-0.0,0.2,0.5,-0.7,-0.2,0.0,0.2,0.6,-1.4,-1.0,-0.6,-0.1,0.3,-1.6,-0.8,-0.4,-0.1,0.3,-1.0,-0.4,-0.1,0.1,0.4,-0.7,-0.2,-0.0,0.2,0.6,5.7
9,-89.25,56.625,-1.2,-0.6,-0.2,0.1,0.4,-1.5,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.9,-1.0,-0.4,-0.0,0.5,-1.2,-0.5,-0.1,0.1,0.4,-0.7,-0.3,-0.0,0.2,0.6,7.4
10,-89.125,56.625,-1.2,-0.6,-0.2,0.1,0.4,-1.5,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.2,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.0,0.2,0.6,7.4
11,-89.0,56.625,-1.1,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.0,0.2,0.6,7.3
12,-88.875,56.625,-1.2,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.2
13,-88.75,56.625,-1.1,-0.6,-0.2,0.1,0.4,-1.4,-0.4,-0.1,0.2,0.6,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.6,-0.1,0.3,-1.8,-0.9,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.2
14,-88.625,56.625,-1.1,-0.6,-0.2,0.1,0.4,-1.5,-0.5,-0.1,0.2,0.6,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.6,-1.1,-0.7,-0.1,0.3,-1.8,-1.0,-0.4,-0.0,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.7,-0.3,-0.1,0.2,0.6,7.0
15,-88.5,56.625,-1.2,-0.6,-0.2,0.1,0.4,-1.5,-0.5,-0.1,0.2,0.6,-0.9,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.7,-1.1,-0.7,-0.1,0.3,-1.9,-1.1,-0.4,-0.1,0.5,-1.2,-0.5,-0.2,0.1,0.4,-0.8,-0.3,-0.1,0.2,0.6,6.9
16,-88.375,56.625,-1.2,-0.6,-0.2,0.1,0.4,-1.4,-0.5,-0.1,0.2,0.6,-0.8,-0.3,-0.1,0.2,0.5,-0.8,-0.3,-0.0,0.2,0.6,-1.7,-1.1,-0.7,-0.1,0.3,-1.8,-1.1,-0.4,-0.1,0.5,-1.1,-0.5,-0.2,0.1,0.4,-0.8,-0.3,-0.0,0.2,0.6,6.7
17,-89.625,56.5,-1.2,-0.5,-0.2,0.1,0.5,-1.6,-0.4,-0.1,0.2,0.7,-0.8,-0.3,-0.0,0.2,0.6,-0.8,-0.3,0.0,0.3,0.7,-1.7,-1.1,-0.6,-0.1,0.4,-1.9,-1.0,-0.4,0.0,0.6,-1.2,-0.5,-0.1,0.1,0.5,-0.7,-0.3,-0.0,0.2,0.7,7.8
